line_half_width_A,line,relative_depth
15,Hδ,0.0405327890646876
15,Hγ,0.19785628113984044
15,Hβ,0.20384497994953688
15,Hα,0.15753649260921265
25,Hδ,0.0405327890646876
25,Hγ,0.19935652402600346
25,Hβ,0.20657214770509302
25,Hα,0.15475871817854292
35,Hδ,0.0405327890646876
35,Hγ,0.1969276875581646
35,Hβ,0.20217861647393298
35,Hα,0.15275125672904977
45,Hδ,0.0405327890646876
45,Hγ,0.19348307212020632
45,Hβ,0.19877090880927462
45,Hα,0.14865973287439338
