pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
Kepler-475 b,Kepler-475,2016,Transit,3.105508189,2.49,0.05,-0.18,5009.0,0.79,0.07228915662650602
Kepler-1978 b,Kepler-1978,2023,Transit,10.84969477,2.67,0.38,-0.21,5251.0,0.778,0.14232209737827717
Kepler-141 c,Kepler-141,2014,Transit,7.010606,1.41,0.09,-0.09,4910.0,0.787,0.06382978723404255
K2-201 b,K2-201,2018,Transit,1.05979,1.40006712,0.13501309,-0.0774973,5507.0,0.878161,0.09643329814073484
HD 213885 b,HD 213885,2019,Transit,1.008035,1.745,0.051,-0.052,5978.0,1.1011,0.029799426934097418
Kepler-887 c,Kepler-887,2016,Transit,7.63846023,1.13,0.17,-0.11,6194.0,1.29,0.1504424778761062
Kepler-306 d,Kepler-306,2014,Transit,17.326644,2.47,0.24,-0.24,4954.0,0.719,0.097165991902834
Kepler-572 b,Kepler-572,2016,Transit,17.20523483,2.58,0.18,-0.17,5212.0,0.79,0.06976744186046512
Kepler-1450 b,Kepler-1450,2016,Transit,54.5094166,1.71,0.13,-0.11,4524.0,0.68,0.0760233918128655
Kepler-882 b,Kepler-882,2016,Transit,3.989539666,1.23,0.15,-0.09,5476.0,0.87,0.12195121951219512
Kepler-559 b,Kepler-559,2016,Transit,17.58752333,3.61,0.64,-0.36,5630.0,0.95,0.1772853185595568
Kepler-1312 b,Kepler-1312,2016,Transit,5.448325286,2.1,0.08,-0.07,5719.0,0.92,0.03809523809523809
HD 260655 c,HD 260655,2022,Transit,5.70588,1.533,0.051,-0.046,3803.0,0.439,0.033268101761252444
Kepler-968 c,Kepler-968,2016,Transit,5.709404918,1.69,0.08,-0.07,4598.0,0.7,0.04733727810650888
Kepler-144 c,Kepler-144,2014,Transit,10.104665,1.35,0.26,-0.26,6075.0,1.235,0.1925925925925926
Kepler-164 d,Kepler-164,2014,Transit,28.986769,2.45,0.47,-0.47,5888.0,1.148,0.19183673469387752
Kepler-140 c,Kepler-140,2014,Transit,91.353282,1.8,0.35,-0.35,6077.0,1.288,0.19444444444444442
