pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
Kepler-1309 b,Kepler-1309,2016,Transit,28.8432647,2.37,0.2,-0.2,5235.0,0.8
ZTF J1230-2655 b,ZTF J1230-2655,2025,Transit,0.23597766,13.78704626,0.00560449,-0.00560449,10000.0,0.0123
TOI-2525 b,TOI-2525,2023,Transit,23.2856,8.67575106,0.11208981,-0.11208981,5096.0,0.785
Kepler-57 c,Kepler-57,2012,Transit,11.6,2.196,0.067,-0.065,5187.9,0.826
Kepler-1300 b,Kepler-1300,2016,Transit,22.2419092,1.37,0.3,-0.31,6130.0,1.79
K2-104 b,K2-104,2016,Transit,1.9741954,1.79,0.1,-0.06,3712.0,0.48
KOI-134 b,KOI-134,2025,Transit,67.1277,12.03844527,0.19055267,-0.19055267,6160.0,1.667
TOI-1768.01,TOI-1768,2024,Transit,7.337703649,3.453,0.423,-0.287,5994.0,1.1
Kepler-770 b,Kepler-770,2016,Transit,18.92540274,2.3,0.32,-0.17,5598.0,0.92
Kepler-1600 c,Kepler-1600,2021,Transit,7.298049927,1.94206512,,,5119.0,0.834
TOI-1782.01,TOI-1782,2024,Transit,4.987641028,2.368,0.307,-0.244,4336.0,0.669
Kepler-855 b,Kepler-855,2016,Transit,7.886631104,8.35,1.7,-0.81,5835.0,1.03
Kepler-24 e,Kepler-24,2014,Transit,18.998355,2.78,0.64,-0.64,5897.0,1.289
Kepler-1435 b,Kepler-1435,2016,Transit,4.45343281,0.86,0.12,-0.09,6356.0,1.32
Kepler-1771 b,Kepler-1771,2021,Transit,88.64399719,4.05537256,,,5661.0,0.934
Kepler-338 b,Kepler-338,2014,Transit,13.726976,2.44,0.13,-0.13,5923.0,1.735
K2-39 b,K2-39,2016,Transit,4.60543,6.27704,1.68135,-1.68135,4881.0,2.97
Kepler-1872 b,Kepler-1872,2021,Transit,3.825910091,2.38421141,,,5223.0,0.885
K2-130 b,K2-130,2017,Transit,2.49412,1.25,0.2,-0.14,4356.47,0.744261
Kepler-106 e,Kepler-106,2014,Transit,43.8445,2.56,0.33,-0.33,5858.0,1.04
Kepler-430 c,Kepler-430,2015,Transit,110.979,1.75,,,5884.0,1.485
Kepler-869 b,Kepler-869,2016,Transit,40.4287755,3.61,0.83,-0.62,5664.0,0.95
HATS-72 b,HATS-72,2020,Transit,7.3279474,8.0973816,0.0358688,-0.0358688,4656.1,0.7214
WASP-46 b,WASP-46,2011,Transit,1.43036763,13.159366,0.414733,-0.414733,5600.0,0.858
Kepler-932 b,Kepler-932,2016,Transit,1.921437396,1.37,0.13,-0.1,5331.0,0.84
Kepler-1206 b,Kepler-1206,2016,Transit,1.216997663,1.64,0.09,-0.08,4877.0,0.75
Kepler-520 b,Kepler-520,2016,Transit,19.67416124,1.66,0.28,-0.1,6112.0,1.09
Kepler-27 c,Kepler-27,2011,Transit,31.3309,4.9,,,5400.0,0.59
Kepler-1250 b,Kepler-1250,2016,Transit,2.607543834,1.92,0.45,-0.17,5717.0,0.98
TOI-2141 b,TOI-2141,2023,Transit,18.261608,3.147,0.043,-0.042,5635.0,0.95
Kepler-1851 b,Kepler-1851,2021,Transit,12.02289963,3.90012032,,,5982.0,0.879
K2-308 b,K2-308,2019,Transit,3.38628,9.916,0.985,-0.985,6100.0,1.24
Kepler-350 b,Kepler-350,2014,Transit,11.189562,1.85,0.38,-0.38,6186.0,1.534
