common_fwhm_arcsec,intensity_correlation,edge_correlation
0.1,0.9153905677108533,0.8278678481177599
0.12,0.9207930352709228,0.8322427253306492
0.15,0.9255899738588578,0.8338384731243237
0.18,0.9321437827561524,0.8295323724556125
