source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe,distance_pc,upmask_prob
573363982101202048,13.38488319458672,84.79301977946199,1.0581525435850303,0.3475128,-3.562237497701571,0.42912817,-1.5776473294594069,0.40634033,19.999008,2.1525784,0.99040014,945.04332675135,0.57
573549146732432640,9.85340071515932,84.86409439913034,0.7048049128705457,0.07014615,-1.3961341344027178,0.079318285,-1.4298027194518503,0.08118904,17.219107,1.5673656,1.163264,1418.8323346487143,0.97
573557289990402560,9.927045166299116,84.9787249085999,0.2626884627688365,0.041118823,-0.9800407946677072,0.052359562,0.2658453989773752,0.049189065,16.5154,0.73490906,0.9927419,3806.7907111702543,0.75
573557560571101440,10.364904079439995,85.00178396921925,0.2824228403088092,0.07059056,-0.7271573360466865,0.0824353,0.2143981128875893,0.08647801,17.497519,1.1045628,0.95883244,3540.79011069562,0.75
573557564868306560,10.346641378058214,85.00031358707037,0.5251567372471,0.026232595,-2.371077196928734,0.03278112,-1.175829129642204,0.032137197,15.53756,0.8874006,1.03759,1904.193413269444,0.97
573557564868307584,10.321691975598576,84.99321059315415,0.4784007063113397,0.052702796,-2.3661984217324803,0.064655356,-1.135058452212596,0.061221574,17.014591,1.1071892,0.95908135,2090.297917221734,0.97
573564780413370880,8.041193901492644,84.91586010075447,0.6195821288518827,0.07178038,0.3523544684533441,0.07972391,-0.332068192693762,0.095571645,17.415953,1.028492,0.98141736,1613.9910327191828,0.67
573565501967863680,7.632735933210981,84.9808133761993,0.5213027666908698,0.020744776,-2.315881497762995,0.024735784,-1.1132019626654228,0.028496519,14.826034,0.9007416,0.9613345,1918.2710392039708,0.97
573570926508297600,8.95263995964102,85.11922605197363,0.5626902514328728,0.09921208,-2.2259918000502386,0.11618784,-1.2456482113539322,0.1315164,18.114447,1.4114742,1.0410621,1777.1766926004705,0.97
573552204749153408,12.53083923199603,84.88551684225733,0.6130184102761775,0.025873734,0.4123704162582061,0.028581765,-0.2237934366066022,0.0258804,15.416756,0.9791088,0.9711934,1631.2723781810716,0.58
573552445267316352,12.32955775190217,84.9064783467356,0.5763385552365992,0.04227674,-0.2706786512981045,0.05282711,-1.19085125258282,0.041790545,16.399021,1.0253572,1.037348,1735.091277364706,0.97
573553476059458304,11.56316029416635,84.93684319024347,0.2711382213010739,0.08259013,-3.153014551035496,0.10407876,-0.1174011239138962,0.088926084,17.710327,1.0468788,0.9883061,3688.1557871163895,0.97
573555881241149440,11.202650200020818,84.90417282982968,0.5000905688402257,0.04923167,-2.317924682763769,0.05529364,-1.189988778222923,0.05499016,16.725607,1.0697002,0.9926503,1999.6377902489312,0.97
573575328853016448,7.446142494838196,85.21007761459056,0.2466617232403194,0.04326223,-2.28960859964439,0.04994159,0.1193819369136709,0.061227217,16.803041,0.9710407,0.9651491,4054.135302645691,0.93
573622436054166400,6.616649519631345,85.22060826431223,0.5734744238218057,0.022298055,-2.190997398513391,0.02440399,-1.260903412508139,0.027959943,15.294525,0.88162136,0.8983496,1743.7569287496726,0.97
573570140532541312,8.933655025662828,85.03069810359501,0.5256698996220692,0.08423169,-2.824853373291933,0.09181121,-0.5745261714741756,0.104791254,17.693813,1.2701702,1.0565062,1902.3345272745323,0.97
573549009293487360,9.938466351268731,84.83326324481824,0.5096729687884705,0.018406663,-2.353284516363256,0.021143392,-0.9800181884235432,0.021037059,14.864755,1.0506287,0.98215175,1962.0424492534348,0.97
573571171324680064,8.532353410103209,85.13372097360502,0.7814609694788756,0.029659202,-0.4597626339449269,0.037358414,0.7450349372478798,0.038400386,15.816005,0.9670229,1.0296711,1279.6544409209064,0.61
573574985255634816,7.153523280750762,85.17477857094761,0.3959174124280226,0.023679923,-5.4186281371591285,0.026980432,0.1339691494994134,0.03509428,15.531283,0.8482523,1.0119929,2525.7792878250816,0.96
573554231973717632,11.132327968237904,84.85973403587288,0.5743301207740966,0.027985834,-2.364936937300852,0.030024879,-1.1234982922787549,0.031539883,15.568656,0.9049988,1.0559613,1741.1588976948915,0.97
573557083832188288,10.496501966300226,84.9567593400756,0.7901819732188269,0.040696394,-4.218808512553506,0.05124114,-0.8998762059236264,0.04983878,15.640083,1.0002356,1.5000515,1265.5312749371817,0.97
573557388772403712,10.254531001435028,84.98957421002078,0.6721800285027693,0.219886,-2.112056071378673,0.26274154,-2.5011393446263064,0.27821746,19.331036,1.6293106,0.94240886,1487.6966848113968,0.94
573557904168494208,10.16190621171423,85.03909101174862,0.881709840064533,0.282713,-4.868284794880868,0.33370385,-0.0833464828221362,0.34197178,19.748257,2.2408981,0.9906549,1134.15996347144,0.7
573566391022717312,7.021866408111557,85.00881976271371,0.5864462602460776,0.088666275,-2.285930242240342,0.112599276,0.1805854224681844,0.11411765,17.934116,1.4723358,1.0083196,1705.1860806144316,0.97
573566700260378624,6.875646146051027,85.03091874138846,0.8110805553469831,0.15646473,-4.26175635231442,0.2171937,0.565461411932532,0.21611285,18.85247,2.1614742,0.9739616,1232.9231583812243,0.84
573567323034007552,9.081734668890242,84.95295856618316,0.6132956089605259,0.095575795,-2.3654797798497347,0.11401628,-1.1995306861336206,0.1172703,18.026367,1.3882275,0.98213655,1630.535072140658,0.97
573569968733843328,9.227106669095097,85.08053072282613,0.5217622445738388,0.059129722,-1.0693727441523122,0.06723377,-0.7310866080373138,0.075196445,17.240688,1.0816517,1.0039945,1916.5817580702355,0.97
573570067516013312,9.288848732067716,85.09286197040213,0.602769072273321,0.15532714,-2.3447550668982498,0.18464601,-1.123262859741378,0.19654688,18.73864,1.7415352,1.0442733,1659.0101350564278,0.97
573572202117016320,7.845624369093224,85.07714498107306,0.2857971107490569,0.04276876,-2.0750010813679194,0.051307637,-0.0053135657962773,0.057913043,16.730795,0.90073586,0.9543993,3498.985687360732,0.96
573555228406113792,9.73907565065161,84.90812683873364,0.3026606473986807,0.05366519,-0.2314397997938837,0.06296172,-0.38409137512509,0.064475924,16.977905,1.0130138,0.99247944,3304.0304664476143,0.84
573619618552591616,6.50011763531117,85.08476146766303,0.9204577599431945,0.18758732,-0.4657492482803455,0.25069642,-1.6443812631498114,0.27089527,19.155148,1.8096848,1.0663795,1086.4159590133877,0.81
573620614988042240,6.374827453083701,85.17082630822163,0.2805251410273023,0.081252635,-0.7752869321819754,0.10148706,-4.345568261253385,0.11081448,17.777802,0.88830185,1.2050278,3564.742883072553,0.97
573622676569210368,6.311060273476941,85.25270005148437,0.6701263519783454,0.035445817,-0.3608738435843587,0.03992555,-2.405498321693493,0.045021705,16.409521,1.1983337,1.0241216,1492.2558962915016,0.97
573733894748420352,16.733350257054678,85.04205280872397,0.9692369268673732,0.31441855,-1.028720138242516,0.37242502,-1.8897816898069209,0.41953743,19.637918,2.136074,1.0268401,1031.7394769842858,0.64
573735857549046400,14.90600518530412,84.8392675505354,0.7705014089798119,0.020583462,-6.816812333579454,0.023890194,0.112314173424711,0.02527174,14.45477,0.9717541,1.2146631,1297.85616008679,0.56
573743382331728896,15.97943924519512,84.94633103324621,0.4816750808093358,0.025086073,-2.370102370840028,0.03020517,-0.9527383871010388,0.030635431,15.418174,0.9638481,1.0404124,2076.08830068549,0.97
573569900014367872,9.388530880461808,85.06976007838556,0.5980336183901586,0.015857195,-2.031563337193974,0.018639015,-3.459513597786817,0.019875694,14.408818,1.1008539,1.0492748,1672.1467978537582,0.97
573739877638305920,13.25554867935979,84.89251084052778,0.5625828767439179,0.02218734,-2.280698237143473,0.03119319,-1.0679767209792814,0.024980322,15.145372,0.9557524,0.98383045,1777.5158849265686,0.97
573740186875949696,13.595508912607473,84.92774269294543,0.5205353983251182,0.013255738,-2.295249695781912,0.01643,-0.981023850267606,0.014655887,13.993979,1.3211212,0.953633,1921.098936244516,0.97
573741144651969024,14.509617181863431,84.94751123827827,0.534191146409489,0.05187515,-2.004594814230229,0.06114942,-0.1095586443990779,0.062911265,16.953224,1.0385151,1.0725013,1871.9890936444708,0.97
573747432484111104,14.250609472441036,85.01310364330321,0.5362643437706168,0.04733518,-2.328570638899457,0.052238468,-0.7853526820504078,0.057333864,16.704975,1.046812,0.95756716,1864.7519858746057,0.97
573750043824290048,15.11707041205542,85.1521061186345,0.9565397051546476,0.26233506,-5.065840916738009,0.3073227,-0.8771975844082617,0.32544178,19.417048,2.4504452,1.0518546,1045.4349094043368,0.6
573750284342459264,14.636673006641178,85.16299640875535,0.4335631134056572,0.04503426,-2.2664430098223667,0.05270529,0.2042611824834618,0.056411594,16.712053,1.0903873,0.9970336,2306.469275360988,0.96
573745718794751232,16.295013259234825,85.07534304885746,0.9875282153672776,0.12538098,-2.632571171227685,0.15151268,-0.415688280955978,0.17774285,18.202232,2.3252563,1.0316854,1012.6292944734586,0.75
573573232908848000,6.869439562027532,85.10908289218948,0.5140583062043386,0.02263247,-0.1842654460218007,0.026266055,0.3285451382870086,0.030519515,15.365966,0.9213524,1.0000472,1945.3046238737347,0.7
573742626417369728,13.4883057683078,85.03032569423087,0.4909188406757629,0.023216236,-2.37076358982415,0.028360747,-1.0805484133525805,0.026088767,15.360602,0.8877363,0.9907351,2036.996580989789,0.97
573744378764125568,14.867199085321888,85.01442281672416,0.2019095107726944,0.014287019,-1.817701806122369,0.017044846,-0.0829313147128515,0.016388042,14.07382,1.2527037,0.94335437,4952.71369918666,0.93
573750907114378368,13.911656872674213,85.18075735063051,0.7553822622325245,0.04476841,-2.164497271102705,0.053812463,-0.2703532288108725,0.057127487,16.59633,1.1369371,0.8964468,1323.8330445362992,0.97
573751010193595904,14.326929971497565,85.17466162459186,0.5454364426678121,0.0098309545,-2.3885804150624987,0.012353396,-0.99075016485711,0.012197963,12.144729,1.3786564,1.0807745,1833.3941808303985,0.97
573770767043157888,15.546087127444247,85.1872896199296,0.2985708812236335,0.05090229,-1.1615007396077313,0.057149865,-0.4612796047328215,0.060689438,17.008165,0.9326515,0.98420465,3349.288436640902,0.96
573548974933750144,9.880611945983068,84.82677264384242,0.4888204237372042,0.017106436,-2.0798916094836257,0.019703204,0.0994303627503518,0.01949486,14.689231,0.73746395,0.928979,2045.741035848396,0.97
573549863989577984,12.33811425463586,84.7648122028062,0.4589097724229576,0.041969735,-1.101705621834422,0.047552545,-0.5594673715489579,0.044128604,16.43851,1.0074606,0.9850062,2179.0775879977177,0.97
573747196262675840,14.770735296343744,84.99381534350921,0.7047423805799471,0.022231186,-2.4543291324053973,0.024950013,-0.8368144211868421,0.025795832,15.171004,0.88934517,0.89571536,1418.958228646728,0.97
573773958202215168,14.862504533785076,85.21532004994255,0.4831459554495064,0.03807736,-2.4579642854309247,0.04552178,-0.7543680099581569,0.050123204,16.53956,1.0128345,0.99518454,2069.7679215168555,0.97
573775577406504448,14.056425162242048,85.31012387415922,1.0434240710567488,0.26132783,-2.166731958858832,0.3424411,-1.1915770528172285,0.3080772,19.520185,2.0673046,1.012753,958.3831039926364,0.64
