galactic_latitude_approx_deg,feh_approx,pixel_x,pixel_y
35.825274725274724,0.34284253578732105,95,43
47.72967032967033,0.1996932515337423,566,63
47.80549450549451,0.1996932515337423,569,63
47.754945054945054,0.19253578732106336,567,64
47.70439560439561,0.18537832310838442,565,65
47.78021978021978,0.18537832310838442,568,65
47.72967032967033,0.1782208588957055,566,66
47.80549450549451,0.1782208588957055,569,66
47.754945054945054,0.17106339468302656,567,67
38.12527472527472,0.10664621676891611,186,76
38.2010989010989,0.10664621676891611,189,76
38.15054945054945,0.09948875255623718,187,77
38.22637362637362,0.09948875255623718,190,77
38.175824175824175,0.09233128834355825,188,78
38.12527472527472,0.08517382413087932,186,79
38.2010989010989,0.08517382413087932,189,79
47.93186813186813,0.08517382413087932,574,79
48.00769230769231,0.08517382413087932,577,79
38.175824175824175,0.07801635991820038,188,80
47.90659340659341,0.07801635991820038,573,80
47.98241758241758,0.07801635991820038,576,80
47.93186813186813,0.07085889570552145,574,81
48.00769230769231,0.07085889570552145,577,81
47.957142857142856,0.06370143149284252,575,82
47.90659340659341,0.05654396728016359,573,83
47.98241758241758,0.05654396728016359,576,83
40.450549450549445,0.006441717791411006,278,90
40.526373626373626,0.006441717791411006,281,90
49.776923076923076,0.006441717791411006,647,90
37.26593406593406,-0.0007157464212679265,152,91
37.34175824175824,-0.0007157464212679265,155,91
40.450549450549445,-0.0007157464212679265,278,91
40.526373626373626,-0.0007157464212679265,281,91
49.751648351648356,-0.0007157464212679265,646,91
49.82747252747253,-0.0007157464212679265,649,91
37.316483516483515,-0.007873210633946859,154,92
40.425274725274726,-0.007873210633946859,277,92
40.5010989010989,-0.007873210633946859,280,92
49.72637362637363,-0.007873210633946859,645,92
49.8021978021978,-0.007873210633946859,648,92
37.29120879120879,-0.015030674846625791,153,93
37.36703296703296,-0.015030674846625791,156,93
40.47582417582417,-0.015030674846625791,279,93
40.55164835164835,-0.015030674846625791,282,93
49.776923076923076,-0.015030674846625791,647,93
37.26593406593406,-0.022188139059304723,152,94
37.34175824175824,-0.022188139059304723,155,94
40.450549450549445,-0.022188139059304723,278,94
40.526373626373626,-0.022188139059304723,281,94
49.751648351648356,-0.022188139059304723,646,94
49.82747252747253,-0.022188139059304723,649,94
37.316483516483515,-0.029345603271983656,154,95
40.450549450549445,-0.029345603271983656,278,95
40.526373626373626,-0.029345603271983656,281,95
51.723076923076924,-0.05081799591002045,724,98
51.7989010989011,-0.05081799591002045,727,98
39.61648351648351,-0.057975460122699385,245,99
40.4,-0.057975460122699385,276,99
40.47582417582417,-0.057975460122699385,279,99
40.57692307692307,-0.057975460122699385,283,99
40.652747252747254,-0.057975460122699385,286,99
51.74835164835165,-0.057975460122699385,725,99
37.114285714285714,-0.06513292433537832,146,100
37.19010989010989,-0.06513292433537832,149,100
39.59120879120879,-0.06513292433537832,244,100
39.667032967032966,-0.06513292433537832,247,100
40.450549450549445,-0.06513292433537832,278,100
40.526373626373626,-0.06513292433537832,281,100
40.6021978021978,-0.06513292433537832,284,100
51.697802197802204,-0.06513292433537832,723,100
51.77362637362638,-0.06513292433537832,726,100
37.13956043956044,-0.0722903885480573,147,101
37.215384615384615,-0.0722903885480573,150,101
39.61648351648351,-0.0722903885480573,245,101
40.4,-0.0722903885480573,276,101
40.47582417582417,-0.0722903885480573,279,101
40.55164835164835,-0.0722903885480573,282,101
40.62747252747253,-0.0722903885480573,285,101
51.723076923076924,-0.0722903885480573,724,101
51.7989010989011,-0.0722903885480573,727,101
37.16483516483516,-0.07944785276073624,148,102
39.565934065934066,-0.07944785276073624,243,102
39.64175824175824,-0.07944785276073624,246,102
40.425274725274726,-0.07944785276073624,277,102
40.5010989010989,-0.07944785276073624,280,102
40.57692307692307,-0.07944785276073624,283,102
40.652747252747254,-0.07944785276073624,286,102
51.74835164835165,-0.07944785276073624,725,102
37.114285714285714,-0.08660531697341517,146,103
37.19010989010989,-0.08660531697341517,149,103
39.59120879120879,-0.08660531697341517,244,103
39.667032967032966,-0.08660531697341517,247,103
40.450549450549445,-0.08660531697341517,278,103
40.55164835164835,-0.08660531697341517,282,103
40.62747252747253,-0.08660531697341517,285,103
37.13956043956044,-0.0937627811860941,147,104
37.215384615384615,-0.0937627811860941,150,104
43.28131868131868,-0.10092024539877303,390,105
43.230769230769226,-0.10807770961145202,388,106
43.30659340659341,-0.10807770961145202,391,106
50.004395604395604,-0.10807770961145202,656,106
50.08021978021978,-0.10807770961145202,659,106
51.06593406593407,-0.10807770961145202,698,106
43.230769230769226,-0.11523517382413084,388,107
43.30659340659341,-0.11523517382413084,391,107
50.004395604395604,-0.11523517382413084,656,107
50.08021978021978,-0.11523517382413084,659,107
51.06593406593407,-0.11523517382413084,698,107
40.4,-0.12239263803680983,276,108
40.47582417582417,-0.12239263803680983,279,108
43.25604395604395,-0.12239263803680983,389,108
43.331868131868134,-0.12239263803680983,392,108
50.02967032967033,-0.12239263803680983,657,108
51.01538461538462,-0.12239263803680983,696,108
51.09120879120879,-0.12239263803680983,699,108
40.425274725274726,-0.12955010224948882,277,109
40.5010989010989,-0.12955010224948882,280,109
43.28131868131868,-0.12955010224948882,390,109
49.979120879120885,-0.12955010224948882,655,109
50.05494505494506,-0.12955010224948882,658,109
51.040659340659346,-0.12955010224948882,697,109
51.11648351648352,-0.12955010224948882,700,109
40.450549450549445,-0.13670756646216775,278,110
49.979120879120885,-0.13670756646216775,655,110
50.05494505494506,-0.13670756646216775,658,110
51.040659340659346,-0.13670756646216775,697,110
51.11648351648352,-0.13670756646216775,700,110
52.38021978021978,-0.13670756646216775,750,110
40.4,-0.14386503067484663,276,111
40.47582417582417,-0.14386503067484663,279,111
52.35494505494506,-0.14386503067484663,749,111
52.43076923076923,-0.14386503067484663,752,111
38.15054945054945,-0.15102249488752562,187,112
40.4,-0.15102249488752562,276,112
40.47582417582417,-0.15102249488752562,279,112
52.35494505494506,-0.15102249488752562,749,112
52.43076923076923,-0.15102249488752562,752,112
38.15054945054945,-0.15817995910020455,187,113
52.329670329670336,-0.15817995910020455,748,113
52.40549450549451,-0.15817995910020455,751,113
38.12527472527472,-0.16533742331288348,186,114
