bp_rp_approx,absolute_g_approx,pixel_x,pixel_y
1.2345320855614974,0.00796703296703305,343,73
1.2478743315508023,0.00796703296703305,345,73
1.2345320855614974,0.032417582417582524,343,74
1.2478743315508023,0.032417582417582524,345,74
0.4006417112299465,0.05686813186813189,218,75
0.4139839572192513,0.05686813186813189,220,75
1.194505347593583,0.05686813186813189,337,75
1.2278609625668448,0.05686813186813189,342,75
1.2412032085561497,0.05686813186813189,344,75
1.2545454545454546,0.05686813186813189,346,75
0.4006417112299465,0.08131868131868136,218,76
0.4139839572192513,0.08131868131868136,220,76
1.181163101604278,0.08131868131868136,335,76
1.194505347593583,0.08131868131868136,337,76
1.2078475935828876,0.08131868131868136,339,76
1.2278609625668448,0.08131868131868136,342,76
1.2412032085561497,0.08131868131868136,344,76
1.2545454545454546,0.08131868131868136,346,76
0.4006417112299465,0.10576923076923084,218,77
0.4139839572192513,0.10576923076923084,220,77
1.181163101604278,0.10576923076923084,335,77
1.194505347593583,0.10576923076923084,337,77
1.2078475935828876,0.10576923076923084,339,77
1.2211898395721925,0.10576923076923084,341,77
1.2412032085561497,0.10576923076923084,344,77
0.3939705882352941,0.1302197802197802,217,78
0.40731283422459885,0.1302197802197802,219,78
0.42065508021390374,0.1302197802197802,221,78
1.1878342245989306,0.1302197802197802,336,78
1.2011764705882355,0.1302197802197802,338,78
1.21451871657754,0.1302197802197802,340,78
0.4006417112299465,0.15467032967032968,218,79
0.4139839572192513,0.15467032967032968,220,79
1.194505347593583,0.15467032967032968,337,79
1.2078475935828876,0.15467032967032968,339,79
1.2211898395721925,0.15467032967032968,341,79
1.2078475935828876,0.17912087912087915,339,80
0.08709893048128337,0.9126373626373627,171,110
0.10044117647058826,0.9126373626373627,173,110
0.08709893048128337,0.9370879120879121,171,111
0.10044117647058826,0.9370879120879121,173,111
0.08042780748663103,0.9615384615384617,170,112
0.09377005347593581,0.9615384615384617,172,112
0.1071122994652407,0.9615384615384617,174,112
0.08709893048128337,0.985989010989011,171,113
0.10044117647058826,0.985989010989011,173,113
0.08709893048128337,1.0104395604395604,171,114
0.10044117647058826,1.0104395604395604,173,114
0.38729946524064174,1.03489010989011,216,115
0.37395721925133685,1.0593406593406594,214,116
0.38729946524064174,1.0593406593406594,216,116
0.4006417112299465,1.0593406593406594,218,116
0.3806283422459893,1.0837912087912087,215,117
0.3939705882352941,1.0837912087912087,217,117
0.37395721925133685,1.1082417582417583,214,118
0.38729946524064174,1.1082417582417583,216,118
0.4006417112299465,1.1082417582417583,218,118
0.38729946524064174,1.1326923076923077,216,119
0.3472727272727273,1.254945054945055,210,124
0.36061497326203196,1.254945054945055,212,124
0.3472727272727273,1.2793956043956043,210,125
0.36061497326203196,1.2793956043956043,212,125
0.34060160427807484,1.303846153846154,209,126
0.35394385026737973,1.303846153846154,211,126
0.3672860962566844,1.303846153846154,213,126
0.3472727272727273,1.3282967032967035,210,127
0.36061497326203196,1.3282967032967035,212,127
0.3472727272727273,1.3527472527472528,210,128
0.36061497326203196,1.3527472527472528,212,128
0.24053475935828872,1.426098901098901,194,131
0.22719251336898394,1.4505494505494507,192,132
0.24053475935828872,1.4505494505494507,194,132
0.2538770053475936,1.4505494505494507,196,132
0.23386363636363638,1.475,193,133
0.24720588235294116,1.475,195,133
0.22719251336898394,1.4994505494505495,192,134
0.24053475935828872,1.4994505494505495,194,134
0.2538770053475936,1.4994505494505495,196,134
0.23386363636363638,1.5239010989010988,193,135
0.24720588235294116,1.5239010989010988,195,135
0.22719251336898394,1.5483516483516486,192,136
0.24053475935828872,1.5483516483516486,194,136
0.2538770053475936,1.5483516483516486,196,136
0.29390374331550795,1.5483516483516486,202,136
0.23386363636363638,1.572802197802198,193,137
0.24720588235294116,1.572802197802198,195,137
0.2872326203208556,1.572802197802198,201,137
0.3005748663101604,1.572802197802198,203,137
0.2805614973262033,1.5972527472527474,200,138
0.29390374331550795,1.5972527472527474,202,138
0.30724598930481284,1.5972527472527474,204,138
0.2872326203208556,1.6217032967032967,201,139
0.3005748663101604,1.6217032967032967,203,139
0.2872326203208556,1.646153846153846,201,140
0.3005748663101604,1.646153846153846,203,140
0.32058823529411773,1.817307692307692,206,147
0.30724598930481284,1.8417582417582419,204,148
0.32058823529411773,1.8417582417582419,206,148
0.3339304812834224,1.8417582417582419,208,148
0.3139171122994653,1.8662087912087912,205,149
0.32725935828876995,1.8662087912087912,207,149
0.30724598930481284,1.8906593406593406,204,150
0.32058823529411773,1.8906593406593406,206,150
0.3339304812834224,1.8906593406593406,208,150
0.32058823529411773,1.91510989010989,206,151
0.3672860962566844,1.9884615384615385,213,154
0.3806283422459893,1.9884615384615385,215,154
0.3672860962566844,2.012912087912088,213,155
0.3806283422459893,2.012912087912088,215,155
0.36061497326203196,2.0373626373626377,212,156
0.37395721925133685,2.0373626373626377,214,156
0.38729946524064174,2.0373626373626377,216,156
0.3672860962566844,2.061813186813187,213,157
0.3806283422459893,2.061813186813187,215,157
0.3672860962566844,2.0862637362637364,213,158
0.3806283422459893,2.0862637362637364,215,158
0.3339304812834224,2.110714285714286,208,159
0.32058823529411773,2.1351648351648356,206,160
0.3339304812834224,2.1351648351648356,208,160
0.3472727272727273,2.1351648351648356,210,160
0.32725935828876995,2.159615384615385,207,161
0.34060160427807484,2.159615384615385,209,161
0.4006417112299465,2.159615384615385,218,161
0.4139839572192513,2.159615384615385,220,161
0.32725935828876995,2.1840659340659343,207,162
0.34060160427807484,2.1840659340659343,209,162
0.3939705882352941,2.1840659340659343,217,162
0.40731283422459885,2.1840659340659343,219,162
0.42065508021390374,2.1840659340659343,221,162
0.3339304812834224,2.2085164835164837,208,163
0.3939705882352941,2.2085164835164837,217,163
0.40731283422459885,2.2085164835164837,219,163
0.42065508021390374,2.2085164835164837,221,163
0.3939705882352941,2.232967032967033,217,164
0.40731283422459885,2.232967032967033,219,164
0.42065508021390374,2.232967032967033,221,164
0.45401069518716586,2.232967032967033,226,164
0.38729946524064174,2.257417582417583,216,165
0.4006417112299465,2.257417582417583,218,165
0.4139839572192513,2.257417582417583,220,165
0.4473395721925133,2.257417582417583,225,165
0.4606818181818182,2.257417582417583,227,165
0.38729946524064174,2.281868131868132,216,166
0.4006417112299465,2.281868131868132,218,166
0.4139839572192513,2.281868131868132,220,166
0.4473395721925133,2.281868131868132,225,166
0.4606818181818182,2.281868131868132,227,166
0.3939705882352941,2.3063186813186816,217,167
0.40731283422459885,2.3063186813186816,219,167
0.4473395721925133,2.3063186813186816,225,167
0.4606818181818182,2.3063186813186816,227,167
0.4273262032085562,2.330769230769231,222,168
0.44066844919786097,2.330769230769231,224,168
