pmra_approx,pmdec_approx,pixel_x,pixel_y
5.8706467661691555,17.105263157894736,478,86
6.003316749585409,17.105263157894736,480,86
5.8706467661691555,17.039473684210527,478,87
6.003316749585409,17.039473684210527,480,87
5.804311774461027,16.973684210526315,477,88
6.003316749585409,16.973684210526315,480,88
5.804311774461027,16.907894736842106,477,89
5.936981757877284,16.907894736842106,479,89
6.069651741293534,16.907894736842106,481,89
5.936981757877284,16.842105263157894,479,90
-11.509121061359867,-1.4473684210526336,216,368
-11.376451077943615,-1.4473684210526336,218,368
-11.509121061359867,-1.5131578947368425,216,369
-11.376451077943615,-1.5131578947368425,218,369
-10.580431177446103,-1.5131578947368425,230,369
-10.447761194029852,-1.5131578947368425,232,369
-11.575456053067994,-1.5789473684210549,215,370
-11.442786069651742,-1.5789473684210549,217,370
-11.310116086235489,-1.5789473684210549,219,370
-10.580431177446103,-1.5789473684210549,230,370
-10.447761194029852,-1.5789473684210549,232,370
-10.315091210613598,-1.5789473684210549,234,370
-11.774461028192372,-1.6447368421052602,212,371
-11.575456053067994,-1.6447368421052602,215,371
-11.442786069651742,-1.6447368421052602,217,371
-11.310116086235489,-1.6447368421052602,219,371
-10.580431177446103,-1.6447368421052602,230,371
-10.447761194029852,-1.6447368421052602,232,371
-10.315091210613598,-1.6447368421052602,234,371
-11.840796019900498,-1.7105263157894726,211,372
-11.708126036484245,-1.7105263157894726,213,372
-11.509121061359867,-1.7105263157894726,216,372
-11.376451077943615,-1.7105263157894726,218,372
-11.11111111111111,-1.7105263157894726,222,372
-10.64676616915423,-1.7105263157894726,229,372
-10.514096185737976,-1.7105263157894726,231,372
-10.381426202321725,-1.7105263157894726,233,372
-10.182421227197347,-1.7105263157894726,236,372
-10.049751243781094,-1.7105263157894726,238,372
-11.840796019900498,-1.776315789473685,211,373
-11.708126036484245,-1.776315789473685,213,373
-11.243781094527364,-1.776315789473685,220,373
-11.11111111111111,-1.776315789473685,222,373
-10.97844112769486,-1.776315789473685,224,373
-10.514096185737976,-1.776315789473685,231,373
-10.381426202321725,-1.776315789473685,233,373
-10.182421227197347,-1.776315789473685,236,373
-10.049751243781094,-1.776315789473685,238,373
-12.039800995024876,-1.8421052631578938,208,374
-11.907131011608623,-1.8421052631578938,210,374
-11.774461028192372,-1.8421052631578938,212,374
-11.64179104477612,-1.8421052631578938,214,374
-11.177446102819237,-1.8421052631578938,221,374
-11.044776119402984,-1.8421052631578938,223,374
-10.912106135986733,-1.8421052631578938,225,374
-10.248756218905474,-1.8421052631578938,235,374
-10.11608623548922,-1.8421052631578938,237,374
-9.983416252072967,-1.8421052631578938,239,374
-9.850746268656716,-1.8421052631578938,241,374
-12.039800995024876,-1.9078947368421062,208,375
-11.907131011608623,-1.9078947368421062,210,375
-11.774461028192372,-1.9078947368421062,212,375
-11.243781094527364,-1.9078947368421062,220,375
-11.11111111111111,-1.9078947368421062,222,375
-10.97844112769486,-1.9078947368421062,224,375
-10.845771144278606,-1.9078947368421062,226,375
-10.447761194029852,-1.9078947368421062,232,375
-10.315091210613598,-1.9078947368421062,234,375
-10.182421227197347,-1.9078947368421062,236,375
-10.049751243781094,-1.9078947368421062,238,375
-9.917081260364842,-1.9078947368421062,240,375
-9.78441127694859,-1.9078947368421062,242,375
-12.039800995024876,-1.973684210526315,208,376
-11.907131011608623,-1.973684210526315,210,376
-11.442786069651742,-1.973684210526315,217,376
-11.310116086235489,-1.973684210526315,219,376
-11.11111111111111,-1.973684210526315,222,376
-10.97844112769486,-1.973684210526315,224,376
-10.845771144278606,-1.973684210526315,226,376
-10.514096185737976,-1.973684210526315,231,376
-10.381426202321725,-1.973684210526315,233,376
-10.248756218905474,-1.973684210526315,235,376
-10.11608623548922,-1.973684210526315,237,376
-9.983416252072967,-1.973684210526315,239,376
-9.850746268656716,-1.973684210526315,241,376
-12.106135986733001,-2.0394736842105274,207,377
-11.97346600331675,-2.0394736842105274,209,377
-11.840796019900498,-2.0394736842105274,211,377
-11.708126036484245,-2.0394736842105274,213,377
-11.575456053067994,-2.0394736842105274,215,377
-11.442786069651742,-2.0394736842105274,217,377
-11.310116086235489,-2.0394736842105274,219,377
-11.044776119402984,-2.0394736842105274,223,377
-10.912106135986733,-2.0394736842105274,225,377
-10.779436152570481,-2.0394736842105274,227,377
-10.64676616915423,-2.0394736842105274,229,377
-10.514096185737976,-2.0394736842105274,231,377
-10.381426202321725,-2.0394736842105274,233,377
-10.248756218905474,-2.0394736842105274,235,377
-10.11608623548922,-2.0394736842105274,237,377
-9.983416252072967,-2.0394736842105274,239,377
-9.850746268656716,-2.0394736842105274,241,377
-12.106135986733001,-2.10526315789474,207,378
-11.97346600331675,-2.10526315789474,209,378
-11.840796019900498,-2.10526315789474,211,378
-11.708126036484245,-2.10526315789474,213,378
-11.575456053067994,-2.10526315789474,215,378
-11.442786069651742,-2.10526315789474,217,378
-11.310116086235489,-2.10526315789474,219,378
-10.97844112769486,-2.10526315789474,224,378
-10.845771144278606,-2.10526315789474,226,378
-10.713101160862355,-2.10526315789474,228,378
-10.580431177446103,-2.10526315789474,230,378
-10.447761194029852,-2.10526315789474,232,378
-10.315091210613598,-2.10526315789474,234,378
-10.182421227197347,-2.10526315789474,236,378
-9.983416252072967,-2.10526315789474,239,378
-9.850746268656716,-2.10526315789474,241,378
-12.039800995024876,-2.171052631578945,208,379
-11.907131011608623,-2.171052631578945,210,379
-11.774461028192372,-2.171052631578945,212,379
-11.64179104477612,-2.171052631578945,214,379
-11.509121061359867,-2.171052631578945,216,379
-11.376451077943615,-2.171052631578945,218,379
-11.243781094527364,-2.171052631578945,220,379
-10.912106135986733,-2.171052631578945,225,379
-10.779436152570481,-2.171052631578945,227,379
-10.64676616915423,-2.171052631578945,229,379
-10.514096185737976,-2.171052631578945,231,379
-10.381426202321725,-2.171052631578945,233,379
-10.248756218905474,-2.171052631578945,235,379
-12.106135986733001,-2.2368421052631575,207,380
-11.97346600331675,-2.2368421052631575,209,380
-11.840796019900498,-2.2368421052631575,211,380
-11.708126036484245,-2.2368421052631575,213,380
-11.575456053067994,-2.2368421052631575,215,380
-11.442786069651742,-2.2368421052631575,217,380
-11.310116086235489,-2.2368421052631575,219,380
-11.177446102819237,-2.2368421052631575,221,380
-11.044776119402984,-2.2368421052631575,223,380
-10.912106135986733,-2.2368421052631575,225,380
-10.779436152570481,-2.2368421052631575,227,380
-10.64676616915423,-2.2368421052631575,229,380
-10.514096185737976,-2.2368421052631575,231,380
-10.381426202321725,-2.2368421052631575,233,380
-12.039800995024876,-2.3026315789473664,208,381
-11.907131011608623,-2.3026315789473664,210,381
-11.774461028192372,-2.3026315789473664,212,381
-11.64179104477612,-2.3026315789473664,214,381
-11.509121061359867,-2.3026315789473664,216,381
-11.376451077943615,-2.3026315789473664,218,381
-11.243781094527364,-2.3026315789473664,220,381
-11.11111111111111,-2.3026315789473664,222,381
-10.97844112769486,-2.3026315789473664,224,381
-10.845771144278606,-2.3026315789473664,226,381
-10.713101160862355,-2.3026315789473664,228,381
-10.580431177446103,-2.3026315789473664,230,381
-10.447761194029852,-2.3026315789473664,232,381
-10.315091210613598,-2.3026315789473664,234,381
-11.97346600331675,-2.3684210526315788,209,382
-11.840796019900498,-2.3684210526315788,211,382
-11.708126036484245,-2.3684210526315788,213,382
-11.575456053067994,-2.3684210526315788,215,382
-11.442786069651742,-2.3684210526315788,217,382
-11.310116086235489,-2.3684210526315788,219,382
-11.177446102819237,-2.3684210526315788,221,382
-11.044776119402984,-2.3684210526315788,223,382
-10.912106135986733,-2.3684210526315788,225,382
-10.779436152570481,-2.3684210526315788,227,382
-10.64676616915423,-2.3684210526315788,229,382
-10.514096185737976,-2.3684210526315788,231,382
-10.381426202321725,-2.3684210526315788,233,382
-10.248756218905474,-2.3684210526315788,235,382
-9.718076285240464,-2.3684210526315788,243,382
-12.039800995024876,-2.4342105263157876,208,383
-11.907131011608623,-2.4342105263157876,210,383
-11.774461028192372,-2.4342105263157876,212,383
-11.64179104477612,-2.4342105263157876,214,383
-11.509121061359867,-2.4342105263157876,216,383
-11.376451077943615,-2.4342105263157876,218,383
-11.243781094527364,-2.4342105263157876,220,383
-11.11111111111111,-2.4342105263157876,222,383
-10.97844112769486,-2.4342105263157876,224,383
-10.845771144278606,-2.4342105263157876,226,383
-10.713101160862355,-2.4342105263157876,228,383
-10.580431177446103,-2.4342105263157876,230,383
-10.447761194029852,-2.4342105263157876,232,383
-10.315091210613598,-2.4342105263157876,234,383
-10.182421227197347,-2.4342105263157876,236,383
-10.049751243781094,-2.4342105263157876,238,383
-9.78441127694859,-2.4342105263157876,242,383
-9.65174129353234,-2.4342105263157876,244,383
-12.039800995024876,-2.5,208,384
-11.907131011608623,-2.5,210,384
-11.774461028192372,-2.5,212,384
-11.64179104477612,-2.5,214,384
-11.509121061359867,-2.5,216,384
-11.376451077943615,-2.5,218,384
-11.243781094527364,-2.5,220,384
-11.11111111111111,-2.5,222,384
-10.97844112769486,-2.5,224,384
-10.845771144278606,-2.5,226,384
-10.713101160862355,-2.5,228,384
-10.580431177446103,-2.5,230,384
-10.447761194029852,-2.5,232,384
-10.315091210613598,-2.5,234,384
-10.182421227197347,-2.5,236,384
-10.049751243781094,-2.5,238,384
-9.850746268656716,-2.5,241,384
-9.718076285240464,-2.5,243,384
-9.585406301824213,-2.5,245,384
-9.45273631840796,-2.5,247,384
-12.039800995024876,-2.5657894736842124,208,385
-11.907131011608623,-2.5657894736842124,210,385
-11.774461028192372,-2.5657894736842124,212,385
-11.64179104477612,-2.5657894736842124,214,385
-11.509121061359867,-2.5657894736842124,216,385
-11.376451077943615,-2.5657894736842124,218,385
-11.243781094527364,-2.5657894736842124,220,385
-11.11111111111111,-2.5657894736842124,222,385
-10.97844112769486,-2.5657894736842124,224,385
-10.845771144278606,-2.5657894736842124,226,385
-10.713101160862355,-2.5657894736842124,228,385
-10.580431177446103,-2.5657894736842124,230,385
-10.447761194029852,-2.5657894736842124,232,385
-10.315091210613598,-2.5657894736842124,234,385
-10.182421227197347,-2.5657894736842124,236,385
-10.049751243781094,-2.5657894736842124,238,385
-9.917081260364842,-2.5657894736842124,240,385
-9.78441127694859,-2.5657894736842124,242,385
-9.65174129353234,-2.5657894736842124,244,385
-9.519071310116088,-2.5657894736842124,246,385
-9.386401326699833,-2.5657894736842124,248,385
-12.039800995024876,-2.6315789473684212,208,386
-11.907131011608623,-2.6315789473684212,210,386
-11.774461028192372,-2.6315789473684212,212,386
-11.64179104477612,-2.6315789473684212,214,386
-11.509121061359867,-2.6315789473684212,216,386
-11.376451077943615,-2.6315789473684212,218,386
-11.243781094527364,-2.6315789473684212,220,386
-11.11111111111111,-2.6315789473684212,222,386
-10.97844112769486,-2.6315789473684212,224,386
-10.845771144278606,-2.6315789473684212,226,386
-10.713101160862355,-2.6315789473684212,228,386
-10.580431177446103,-2.6315789473684212,230,386
-10.447761194029852,-2.6315789473684212,232,386
-10.315091210613598,-2.6315789473684212,234,386
-10.182421227197347,-2.6315789473684212,236,386
-10.049751243781094,-2.6315789473684212,238,386
-9.917081260364842,-2.6315789473684212,240,386
-9.78441127694859,-2.6315789473684212,242,386
-9.65174129353234,-2.6315789473684212,244,386
-9.519071310116088,-2.6315789473684212,246,386
-9.386401326699833,-2.6315789473684212,248,386
-12.039800995024876,-2.6973684210526336,208,387
-11.907131011608623,-2.6973684210526336,210,387
-11.774461028192372,-2.6973684210526336,212,387
-11.64179104477612,-2.6973684210526336,214,387
-11.509121061359867,-2.6973684210526336,216,387
-11.376451077943615,-2.6973684210526336,218,387
-11.243781094527364,-2.6973684210526336,220,387
-11.11111111111111,-2.6973684210526336,222,387
-10.97844112769486,-2.6973684210526336,224,387
-10.845771144278606,-2.6973684210526336,226,387
-10.713101160862355,-2.6973684210526336,228,387
-10.580431177446103,-2.6973684210526336,230,387
-10.447761194029852,-2.6973684210526336,232,387
-10.315091210613598,-2.6973684210526336,234,387
-10.182421227197347,-2.6973684210526336,236,387
-10.049751243781094,-2.6973684210526336,238,387
-9.917081260364842,-2.6973684210526336,240,387
-9.78441127694859,-2.6973684210526336,242,387
-9.65174129353234,-2.6973684210526336,244,387
-9.519071310116088,-2.6973684210526336,246,387
-9.386401326699833,-2.6973684210526336,248,387
-12.106135986733001,-2.7631578947368425,207,388
-11.97346600331675,-2.7631578947368425,209,388
-11.840796019900498,-2.7631578947368425,211,388
-11.708126036484245,-2.7631578947368425,213,388
-11.575456053067994,-2.7631578947368425,215,388
-11.442786069651742,-2.7631578947368425,217,388
-11.310116086235489,-2.7631578947368425,219,388
-11.177446102819237,-2.7631578947368425,221,388
-11.044776119402984,-2.7631578947368425,223,388
-10.912106135986733,-2.7631578947368425,225,388
-10.779436152570481,-2.7631578947368425,227,388
-10.64676616915423,-2.7631578947368425,229,388
-10.514096185737976,-2.7631578947368425,231,388
-10.381426202321725,-2.7631578947368425,233,388
-10.248756218905474,-2.7631578947368425,235,388
-10.11608623548922,-2.7631578947368425,237,388
-9.983416252072967,-2.7631578947368425,239,388
-9.850746268656716,-2.7631578947368425,241,388
-9.718076285240464,-2.7631578947368425,243,388
-9.585406301824213,-2.7631578947368425,245,388
-9.45273631840796,-2.7631578947368425,247,388
-9.320066334991708,-2.7631578947368425,249,388
-12.106135986733001,-2.828947368421055,207,389
-11.97346600331675,-2.828947368421055,209,389
-11.840796019900498,-2.828947368421055,211,389
-11.708126036484245,-2.828947368421055,213,389
-11.575456053067994,-2.828947368421055,215,389
-11.442786069651742,-2.828947368421055,217,389
-11.310116086235489,-2.828947368421055,219,389
-11.177446102819237,-2.828947368421055,221,389
-11.044776119402984,-2.828947368421055,223,389
-10.912106135986733,-2.828947368421055,225,389
-10.779436152570481,-2.828947368421055,227,389
-10.64676616915423,-2.828947368421055,229,389
-10.514096185737976,-2.828947368421055,231,389
-10.381426202321725,-2.828947368421055,233,389
-10.248756218905474,-2.828947368421055,235,389
-10.11608623548922,-2.828947368421055,237,389
-9.983416252072967,-2.828947368421055,239,389
-9.850746268656716,-2.828947368421055,241,389
-9.718076285240464,-2.828947368421055,243,389
-9.585406301824213,-2.828947368421055,245,389
-9.45273631840796,-2.828947368421055,247,389
-9.320066334991708,-2.828947368421055,249,389
-12.172470978441128,-2.89473684210526,206,390
-12.039800995024876,-2.89473684210526,208,390
-11.907131011608623,-2.89473684210526,210,390
-11.64179104477612,-2.89473684210526,214,390
-11.509121061359867,-2.89473684210526,216,390
-11.376451077943615,-2.89473684210526,218,390
-11.243781094527364,-2.89473684210526,220,390
-11.11111111111111,-2.89473684210526,222,390
-10.97844112769486,-2.89473684210526,224,390
-10.845771144278606,-2.89473684210526,226,390
-10.713101160862355,-2.89473684210526,228,390
-10.580431177446103,-2.89473684210526,230,390
-10.447761194029852,-2.89473684210526,232,390
-10.315091210613598,-2.89473684210526,234,390
-10.182421227197347,-2.89473684210526,236,390
-10.049751243781094,-2.89473684210526,238,390
-9.917081260364842,-2.89473684210526,240,390
-9.78441127694859,-2.89473684210526,242,390
-9.65174129353234,-2.89473684210526,244,390
-9.519071310116088,-2.89473684210526,246,390
-9.386401326699833,-2.89473684210526,248,390
-9.253731343283583,-2.89473684210526,250,390
-12.106135986733001,-2.9605263157894726,207,391
-11.97346600331675,-2.9605263157894726,209,391
-11.708126036484245,-2.9605263157894726,213,391
-11.575456053067994,-2.9605263157894726,215,391
-11.442786069651742,-2.9605263157894726,217,391
-11.310116086235489,-2.9605263157894726,219,391
-11.177446102819237,-2.9605263157894726,221,391
-11.044776119402984,-2.9605263157894726,223,391
-10.912106135986733,-2.9605263157894726,225,391
-10.779436152570481,-2.9605263157894726,227,391
-10.64676616915423,-2.9605263157894726,229,391
-10.514096185737976,-2.9605263157894726,231,391
-10.381426202321725,-2.9605263157894726,233,391
-10.248756218905474,-2.9605263157894726,235,391
-10.11608623548922,-2.9605263157894726,237,391
-9.983416252072967,-2.9605263157894726,239,391
-9.850746268656716,-2.9605263157894726,241,391
-9.718076285240464,-2.9605263157894726,243,391
-9.585406301824213,-2.9605263157894726,245,391
-9.45273631840796,-2.9605263157894726,247,391
-9.320066334991708,-2.9605263157894726,249,391
-12.106135986733001,-3.026315789473685,207,392
-11.97346600331675,-3.026315789473685,209,392
-11.840796019900498,-3.026315789473685,211,392
-11.708126036484245,-3.026315789473685,213,392
-11.575456053067994,-3.026315789473685,215,392
-11.442786069651742,-3.026315789473685,217,392
-11.310116086235489,-3.026315789473685,219,392
-11.177446102819237,-3.026315789473685,221,392
-11.044776119402984,-3.026315789473685,223,392
-10.912106135986733,-3.026315789473685,225,392
-10.779436152570481,-3.026315789473685,227,392
-10.64676616915423,-3.026315789473685,229,392
-10.514096185737976,-3.026315789473685,231,392
-10.381426202321725,-3.026315789473685,233,392
-10.248756218905474,-3.026315789473685,235,392
-10.11608623548922,-3.026315789473685,237,392
-9.983416252072967,-3.026315789473685,239,392
-9.850746268656716,-3.026315789473685,241,392
-9.718076285240464,-3.026315789473685,243,392
-9.585406301824213,-3.026315789473685,245,392
-12.106135986733001,-3.092105263157894,207,393
-11.97346600331675,-3.092105263157894,209,393
-11.840796019900498,-3.092105263157894,211,393
-11.708126036484245,-3.092105263157894,213,393
-11.575456053067994,-3.092105263157894,215,393
-11.442786069651742,-3.092105263157894,217,393
-11.310116086235489,-3.092105263157894,219,393
-11.177446102819237,-3.092105263157894,221,393
-11.044776119402984,-3.092105263157894,223,393
-10.912106135986733,-3.092105263157894,225,393
-10.779436152570481,-3.092105263157894,227,393
-10.64676616915423,-3.092105263157894,229,393
-10.514096185737976,-3.092105263157894,231,393
-10.381426202321725,-3.092105263157894,233,393
-10.248756218905474,-3.092105263157894,235,393
-10.11608623548922,-3.092105263157894,237,393
-9.983416252072967,-3.092105263157894,239,393
-9.850746268656716,-3.092105263157894,241,393
-9.718076285240464,-3.092105263157894,243,393
-9.585406301824213,-3.092105263157894,245,393
-11.907131011608623,-3.157894736842106,210,394
-11.774461028192372,-3.157894736842106,212,394
-11.64179104477612,-3.157894736842106,214,394
-11.509121061359867,-3.157894736842106,216,394
-11.376451077943615,-3.157894736842106,218,394
-11.243781094527364,-3.157894736842106,220,394
-11.11111111111111,-3.157894736842106,222,394
-10.97844112769486,-3.157894736842106,224,394
-10.845771144278606,-3.157894736842106,226,394
-10.713101160862355,-3.157894736842106,228,394
-10.580431177446103,-3.157894736842106,230,394
-10.447761194029852,-3.157894736842106,232,394
