wavelength_approx_A,flux_approx,pixel_x,pixel_y
3800.483675937122,21.5979381443299,122,150.5
3806.5296251511486,19.742268041237114,123,168.5
3812.5755743651753,19.381443298969074,124,172.0
3818.621523579202,18.195876288659797,125,183.5
3824.6674727932286,17.010309278350515,126,195.0
3830.7134220072553,14.07216494845361,127,223.5
3836.7593712212815,21.855670103092784,128,148.0
3842.805320435308,23.092783505154642,129,136.0
3848.851269649335,20.670103092783506,130,159.5
3854.8972188633616,21.75257731958763,131,149.0
3860.9431680773882,22.422680412371136,132,142.5
3866.989117291415,20.051546391752577,133,165.5
3873.035066505441,18.556701030927837,134,180.0
3879.081015719468,13.814432989690722,135,226.0
3885.1269649334945,12.835051546391753,136,235.5
3891.172914147521,14.948453608247425,137,215.0
3897.218863361548,18.402061855670105,138,181.5
3903.2648125755745,19.742268041237114,139,168.5
3909.3107617896007,23.917525773195877,140,128.0
3915.3567110036274,25.979381443298973,141,108.0
3921.402660217654,23.8659793814433,142,128.5
3927.448609431681,22.835051546391753,143,138.5
3933.4945586457075,22.216494845360828,144,144.5
3939.540507859734,20.206185567010312,145,164.0
3945.5864570737604,18.917525773195877,146,176.5
3951.632406287787,17.835051546391753,147,187.0
3957.6783555018137,16.855670103092784,148,196.5
3963.7243047158404,13.350515463917526,149,230.5
3969.770253929867,11.546391752577321,150,248.0
3975.8162031438937,15.000000000000002,151,214.5
3981.86215235792,19.329896907216497,152,172.5
3987.9081015719466,22.010309278350515,153,146.5
3993.9540507859733,22.628865979381445,154,140.5
4000.0,24.63917525773196,155,121.0
4006.0459492140267,24.07216494845361,156,126.5
4012.0918984280534,24.690721649484537,157,120.5
4018.13784764208,25.360824742268044,158,114.0
4024.1837968561063,26.288659793814436,159,105.0
4030.229746070133,27.216494845360828,160,96.0
4036.2756952841596,27.01030927835052,161,98.0
4042.3216444981863,25.154639175257735,162,116.0
4048.367593712213,25.515463917525775,163,112.5
4054.4135429262396,26.54639175257732,164,102.5
4060.459492140266,22.474226804123713,165,142.0
4066.5054413542925,22.16494845360825,166,145.0
4072.551390568319,18.969072164948454,167,176.0
4078.597339782346,16.5979381443299,168,199.0
4084.6432889963726,16.082474226804123,169,204.0
4090.6892382103993,14.175257731958764,170,222.5
4096.735187424426,11.34020618556701,171,250.0
4102.781136638452,11.030927835051548,172,253.0
4108.827085852479,15.979381443298971,173,205.0
4114.8730350665055,17.061855670103093,174,194.5
4120.918984280532,19.12371134020619,175,174.5
4126.964933494559,19.742268041237114,176,168.5
4133.010882708585,22.216494845360828,177,144.5
4139.056831922612,21.95876288659794,178,147.0
4145.102781136638,23.247422680412374,179,134.5
4151.148730350665,22.938144329896907,180,137.5
4157.194679564692,26.18556701030928,181,106.0
4163.240628778718,26.443298969072167,182,103.5
4169.286577992745,26.75257731958763,183,100.5
4175.332527206771,26.649484536082475,184,101.5
4181.3784764207985,26.54639175257732,185,102.5
4187.424425634825,26.443298969072167,186,103.5
4193.470374848851,24.690721649484537,187,120.5
4199.516324062878,25.206185567010312,188,115.5
4205.562273276904,26.340206185567013,189,104.5
4211.608222490931,27.835051546391753,190,90.0
4217.654171704958,26.855670103092784,191,99.5
4223.700120918984,25.824742268041238,192,109.5
4229.746070133011,26.649484536082475,193,101.5
4235.792019347037,25.567010309278352,194,112.0
4241.837968561064,26.18556701030928,195,106.0
4247.883917775091,24.63917525773196,196,121.0
4253.929866989118,25.61855670103093,197,111.5
4259.975816203144,25.000000000000004,198,117.5
4266.02176541717,24.43298969072165,199,123.0
4272.067714631197,24.381443298969074,200,123.5
4278.1136638452235,24.12371134020619,201,126.0
4284.159613059251,23.195876288659797,202,135.0
4290.205562273277,22.835051546391753,203,138.5
4296.251511487303,20.927835051546392,204,157.0
4302.29746070133,19.175257731958766,205,174.0
4308.3434099153565,18.350515463917528,206,182.0
4314.389359129384,18.453608247422682,207,181.0
4320.43530834341,14.484536082474229,208,219.5
4326.481257557437,12.989690721649486,209,234.0
4332.527206771463,10.97938144329897,210,253.5
4338.573155985489,10.927835051546392,211,254.0
4344.6191051995165,14.587628865979383,212,218.5
4350.665054413543,15.463917525773198,213,210.0
4356.71100362757,15.77319587628866,214,207.0
4362.756952841596,17.989690721649485,215,185.5
4368.802902055622,17.52577319587629,216,190.0
4374.8488512696495,19.690721649484537,217,169.0
4380.894800483676,20.0,218,166.0
4386.940749697703,19.63917525773196,219,169.5
4392.986698911729,21.18556701030928,220,154.5
4399.032648125756,21.54639175257732,221,151.0
4405.078597339782,22.113402061855673,222,145.5
4411.124546553809,22.061855670103096,223,146.0
4417.170495767836,22.319587628865982,224,143.5
4423.216444981862,22.37113402061856,225,143.0
4429.262394195889,22.783505154639176,226,139.0
4435.308343409915,22.16494845360825,227,145.0
4441.3542926239425,23.092783505154642,228,136.0
4447.400241837969,23.402061855670105,229,133.0
4453.446191051995,22.835051546391753,230,138.5
4459.492140266022,24.12371134020619,231,126.0
4465.538089480048,23.814432989690722,232,129.0
4471.584038694075,23.14432989690722,233,135.5
4477.629987908102,22.989690721649485,234,137.0
4483.675937122128,23.350515463917528,235,133.5
4489.721886336155,23.041237113402065,236,136.5
4495.767835550181,23.041237113402065,237,136.5
4501.813784764208,23.092783505154642,238,136.0
4507.8597339782345,23.814432989690722,239,129.0
4513.905683192261,23.29896907216495,240,134.0
4519.951632406288,22.216494845360828,241,144.5
4525.997581620314,22.577319587628867,242,141.0
4532.043530834341,22.88659793814433,243,138.0
4538.0894800483675,22.577319587628867,244,141.0
4544.135429262395,22.474226804123713,245,142.0
4550.181378476421,23.65979381443299,246,130.5
4556.227327690447,22.422680412371136,247,142.5
4562.273276904474,22.37113402061856,248,143.0
4568.3192261185,22.37113402061856,249,143.0
4574.3651753325275,23.711340206185568,250,130.0
4580.411124546554,22.37113402061856,251,143.0
4586.457073760581,21.90721649484536,252,147.5
4592.503022974607,21.804123711340207,253,148.5
4598.548972188633,21.443298969072167,254,152.0
4604.5949214026605,22.319587628865982,255,143.5
4610.640870616687,21.39175257731959,256,152.5
4616.686819830714,20.97938144329897,257,156.5
4622.73276904474,21.082474226804127,258,155.5
4628.778718258766,21.701030927835053,259,149.5
4634.824667472793,20.876288659793815,260,157.5
4640.87061668682,20.97938144329897,261,156.5
4646.916565900847,21.54639175257732,262,151.0
4652.962515114873,22.268041237113405,263,144.0
4659.008464328899,21.855670103092784,264,148.0
4665.054413542926,21.18556701030928,265,154.5
4671.100362756953,21.18556701030928,266,154.5
4677.14631197098,21.18556701030928,267,154.5
4683.192261185006,21.288659793814436,268,153.5
4689.238210399033,19.63917525773196,269,169.5
4695.284159613059,20.051546391752577,270,165.5
4701.3301088270855,21.082474226804127,271,155.5
4707.376058041113,20.206185567010312,272,164.0
4713.422007255139,19.226804123711343,273,173.5
4719.467956469166,21.082474226804127,274,155.5
4725.513905683192,20.876288659793815,275,157.5
