line,rest_A,centre_A,centre_error_A,velocity_km_s,equivalent_width_A,depth,sigma_A
He II 5411,5411.52,5413.686723243245,2668.078981007273,120.03416542818039,1.1802394312716007,0.14882354928884334,3.191936265028453
He I 5876,5875.62,5878.587940368924,0.23680726321332934,151.43357439675893,1.5719470248681868,0.09528591073250553,7.210491657850253
H alpha 6563,6562.8,6565.627316270048,0.06509206835955773,129.153424474492,1.4826015500383156,0.10882461100505751,5.348338854072992
He I 6678,6678.15,6686.5538389197045,1.0159225262729046,377.2612963731634,2.572932378229103,0.12874237869756375,12.067208926178148
He I 7065,7065.19,7067.0464505833925,0.19911366828713808,78.77351968607586,0.9601534925758479,0.0559289000661344,6.889588575687704
