time,flux,error,quality,sector
2036.278608920634,1.0012641542122733,0.0016601209849399306,0,27
2036.3494420729999,1.003055839075815,0.001658660967433852,0,27
2036.4188863366485,0.9971063606048601,0.0016565430758657563,0,27
2036.4883305968492,1.0028139572570762,0.0016595336835972792,0,27
2036.5577748535707,0.9985697201622927,0.0016567303704670515,0,27
2036.6272191068438,1.0026708056787483,0.0016593571808001526,0,27
2036.6966633566965,0.9997002468474119,0.001656945496563308,0,27
2036.7661076032168,0.9988100752247367,0.0016576861551230926,0,27
2036.8355518464637,1.000238319387384,0.0016575641793365023,0,27
2036.9049960865086,1.0053163835272882,0.0016602641183425882,0,27
2036.9744403234395,1.003384527895328,0.001658682835037036,0,27
2037.043884557373,1.000270235864218,0.0016580715361298516,0,27
2037.1133287883376,0.997172738152353,0.0016567476941526907,0,27
2037.1827730164218,1.0021634863727187,0.0016602996176984062,0,27
2037.252217241741,0.9967176920737575,0.0016570686083292843,0,27
2037.3216614643234,0.9989676219338463,0.0016590665120747156,0,27
2037.3911056842721,1.0006186998128852,0.0016599825374522406,0,27
2037.4619387859834,0.9987980792824187,0.0016614678304996615,0,27
2037.5313830008245,1.0020931828804671,0.0016655229929134516,0,27
2037.602216097443,1.0023898098177846,0.0016684139184538378,0,27
2037.6716603074237,0.9982365237765757,0.0016683680532861211,0,27
2037.7411045150905,0.997810849580989,0.0016703983324440584,0,27
2037.8105487205025,0.9982773099804568,0.0016748858770117105,0,27
2037.8799929237032,1.0016563124720503,0.0016768396195585042,0,27
2037.9494371247488,1.0028391123846037,0.001676994680744717,0,27
2038.018881323685,0.9988910660110533,0.0016772670318025518,0,27
2038.088325520569,0.9990166235406481,0.0016801651992115248,0,27
2038.1577697154303,1.0002627474881043,0.001683568877447345,0,27
2038.227213908313,0.998958752206799,0.0016858050528690259,0,27
2038.2966580992597,1.000371437995773,0.001687280548094241,0,27
2038.3661022883143,1.0019497404914164,0.0016871208009930604,0,27
2038.4355464755074,1.0018118235060998,0.0016891456842489134,0,27
2038.5049906608815,1.001052734816754,0.0016914108271449417,0,27
2038.5744348444516,0.9979673057498878,0.0016965108065991642,0,27
2038.6438790262741,0.9994878823170431,0.001700712794348617,0,27
2038.713323206351,0.9981028235467406,0.0017033283868852797,0,27
2038.782767384725,1.0011817820750233,0.0017061650694099764,0,27
2038.85221156144,1.002335573617971,0.0017088278050911652,0,27
2038.9216557364966,1.0007770462514824,0.0017078199073807833,0,27
2038.9910999099227,1.0010650942724755,0.001704732883398859,0,27
2039.060544081748,1.0008346994772896,0.0017060443716001954,0,27
2039.1299882520027,0.9988184360330189,0.001708270323207401,0,27
2039.1994324207153,0.9998475424785406,0.0017120257290606645,0,27
2039.2688765878702,1.0010859599418407,0.0017102981884091425,0,27
2039.3383207535257,1.0000536545783678,0.0017077706342749082,0,27
2039.407764917683,0.9989300346479165,0.001706506857207791,0,27
2039.47720908037,0.9998877470609759,0.001706052465453322,0,27
2039.5466532415871,1.0008566556868654,0.0017110808782062155,0,27
2039.6160974013642,0.9999913483809949,0.0017172495302679798,0,27
2039.685541559729,0.9991260410751244,0.0017207971938909973,0,27
2039.7549857166687,1.0025411040963526,0.0017249465005964165,0,27
2039.824429872211,0.9994060918012387,0.001726509040242097,0,27
2039.8938740263866,1.0000908056482132,0.0017304322870496677,0,27
2039.9633181791778,1.000032643503641,0.00172639459031894,0,27
2040.0327623306307,0.99825222755561,0.0017239404488525371,0,27
2040.1022064807162,1.0007037619493218,0.0017258900734740562,0,27
2040.171650629492,1.0021404396229319,0.001730867367154572,0,27
2040.2410947769285,0.9984491791176672,0.0017301532621129391,0,27
2040.31053892307,1.0005731879347575,0.0017297293998044733,0,27
2040.3799830679022,1.0000113416181915,0.001722933971116388,0,27
2040.449427211439,0.9997172592746991,0.00172259246731342,0,27
2040.5188713537113,0.9991119367550656,0.0017263957262983263,0,27
2040.5883154946866,1.001442348482706,0.001735901317806973,0,27
2040.6577596344114,1.0007407676138056,0.001744027262351113,0,27
2040.7272037728692,0.9991125183765114,0.0017479194117229874,0,27
2040.79664791009,1.0002640561363572,0.001749771058122449,0,27
2040.8660920460457,1.0007245549160062,0.0017532370732270851,0,27
2040.935536180779,1.0025110051865365,0.0017556964685981492,0,27
2041.0049803142747,1.000600596845387,0.0017472998769652534,0,27
2041.0744244465482,0.9976290201765207,0.0017441259505602867,0,27
2041.143868577586,0.9998264587011332,0.0017466912760091115,0,27
2041.2133127074158,0.9990398156957963,0.0017497959076715214,0,27
2041.2827568360367,1.0016625649025919,0.0017504811872362301,0,27
2041.3522009634353,0.9976982331285614,0.0017398871854782067,0,27
2041.421645089641,1.0003799442094168,0.0017374613014990348,0,27
2041.491089214639,1.0003640223223402,0.0017431877735847314,0,27
2041.5605333384433,0.999371848838622,0.0017540967256275714,0,27
2041.6299774610395,0.9988688189907545,0.001766902905242743,0,27
2041.6994215824434,1.001346380944162,0.0017710387221929512,0,27
2041.7688657026538,0.9999187184029605,0.0017774425219876536,0,27
2041.8383098216718,1.000532983352322,0.0017787988813747436,0,27
2041.9077539394957,0.9994840290749653,0.0017791533069432296,0,27
2041.9771980561256,0.9973690353902837,0.001774477757787166,0,27
2042.0466421715778,1.004721457490997,0.0017697854529351562,0,27
2042.1160862858364,1.0049029233820619,0.0017712636461114134,0,27
2042.1855303988866,1.0017301056929762,0.0017703680683628395,0,27
2042.254974510758,1.001452817668729,0.0017678095587903321,0,27
2042.3355296790276,1.000833536234398,0.0017600097823274468,0,27
2042.4049737883233,0.9977500701399112,0.0017515627816092898,0,27
