transit_width_days,baseline_half_width_days,depth_ppm
0.098,0.25,54.041523304126926
0.098,0.3,59.98317406263887
0.098,0.35,68.74637216847113
0.098,0.4,63.4438219344613
0.14,0.25,42.12764413036307
0.14,0.3,57.23232501997355
0.14,0.35,66.36083836564222
0.14,0.4,63.13083209275039
0.18200000000000002,0.25,-87.88310530272182
0.18200000000000002,0.3,-3.955378709785684
0.18200000000000002,0.35,13.026109191627278
0.18200000000000002,0.4,8.348625771037455
