interval_halfwidth_scale,empirical_coverage
0.5,0.1590909090909091
0.6,0.18181818181818182
0.7,0.20454545454545456
0.8,0.2727272727272727
0.9,0.2727272727272727
1.0,0.3181818181818182
1.1,0.3181818181818182
1.2000000000000002,0.3181818181818182
1.3,0.4090909090909091
1.4,0.45454545454545453
1.5,0.4772727272727273
1.6,0.5
1.7000000000000002,0.5227272727272727
1.8,0.5681818181818182
1.9000000000000001,0.5909090909090909
2.0,0.6363636363636364
2.1,0.7045454545454546
2.2,0.7045454545454546
2.3,0.7272727272727273
2.4000000000000004,0.75
2.5,0.75
2.6,0.75
2.7,0.7727272727272727
2.8000000000000003,0.7727272727272727
2.9000000000000004,0.7727272727272727
3.0,0.7727272727272727
3.1,0.7727272727272727
3.2,0.7727272727272727
3.3000000000000003,0.7727272727272727
3.4000000000000004,0.7727272727272727
3.5,0.7727272727272727
3.6,0.7954545454545454
3.7,0.7954545454545454
3.8000000000000003,0.7954545454545454
3.9000000000000004,0.8181818181818182
4.0,0.8181818181818182
