probability_min,n,median_parallax_mas,pmra_std,pmdec_std
0.7,1244,0.5278171604790136,0.9774699857894167,0.6404701469803836
0.8,1200,0.527985385834452,0.8179005608530532,0.5925696564606275
0.9,1168,0.5278986614076562,0.7132856806475955,0.5484905013374439
0.95,1135,0.5278035467334181,0.6366036140073248,0.4953019498783344
