filter,region,first_to_last_percent,slope_table_units_per_day,slope_ci_low,slope_ci_high
F438W,center,2.897339462320647,8.203952008232759e-05,-3.792200480064595e-05,0.0002001167458885024
F438W,ejecta,12.317327766179552,2.9134802063836966e-05,1.714737906266774e-05,4.1487320728516815e-05
F438W,er,-46.95904013239552,-0.0002988931240186062,-0.00031360726345945004,-0.0002846101441748862
F625W,center,6.79448994787788,8.635076212686755e-05,-1.2393889918771273e-05,0.00019244836161354608
F625W,ejecta,19.846153846153847,3.105177807257639e-05,2.1570640514889457e-05,4.059349496556717e-05
F625W,er,-47.9002624671916,-0.0002862841839460193,-0.00029339636815638154,-0.00027936181578106265
