SOURCE_ID,ra,dec,l,b,parallax,parallax_error,pmra,pmdec,radial_velocity,radial_velocity_error,phot_g_mean_mag,bp_rp,ruwe
3886440422100617344,159.82872414636526,15.979266838396848,226.0906477229609,57.441666825935386,20.903049825015874,0.023766035,221.51477060796813,-129.20693391178128,-20.692314,6.0028753,14.4912,2.6135273,1.126879
187247281185703296,78.32188893184393,37.336703453881604,169.26688392156836,-0.9920060114210892,37.89526907288171,0.026304075,-144.92237498352853,-136.77190703403556,-1.7538819,0.12368704,6.3506002,0.69527626,0.94066936
1605198298364601088,218.36887175001752,52.909892945555704,93.57574878942127,58.00943416321412,75.56887569382528,0.01506916,-191.4568767283299,247.9190111250067,11.167698,0.11796635,6.918849,1.2133923,0.9579763
2213938616118942464,350.11266723195763,68.52050680360846,114.72898375540173,7.110095421476462,26.913532579844105,0.012629555,224.62090458699794,-0.19919729411587278,-6.862256,1.3068419,13.506321,2.703208,1.1427383
2185061008373422464,306.3531786389721,54.564240144440795,90.30329407423751,9.544596946978155,31.06598180936342,0.010405757,164.05289755219366,340.6398385516719,-18.92323,0.6804897,13.055821,2.5934067,1.1520758
4796005265786561920,85.390010259094,-46.56446700796287,253.02641427608478,-30.984286305587776,32.94083937983831,0.013979737,130.98641365750427,183.7762218752991,60.44782,2.2137332,14.069881,3.0051966,1.1095189
1763956713580077568,316.44027607825666,16.95441193868162,65.07759596070322,-19.748887289114823,30.643064418618746,0.021746702,183.4326672128941,129.67666749098603,-28.136776,4.334947,14.592223,2.9445648,1.0912241
6164379784707817216,203.57787994990835,-36.523695896498836,312.4675585979772,25.552937504746993,29.350359400335044,0.017446302,-193.16197053274047,3.5267609373174165,-8.551339,0.15851237,9.084384,1.2429905,1.0550145
362358217441504128,10.322484149410188,34.42117901039157,120.55282225320916,-28.403689013203618,22.856415401276365,0.01627477,45.54069869701533,-37.42479032156722,4.303706,0.8523793,9.574109,1.2255402,1.0662715
6452342975238188672,319.88501706696366,-60.4095864749333,334.6314038322029,-41.3877182008092,23.13101815064516,0.016333887,0.01578294355672938,-140.23847647819292,-20.463318,0.32839727,12.685139,2.3225517,1.2106049
5554882929942129920,95.9132597459492,-46.293118235534244,254.35796244091105,-23.82813827832604,23.553216855554385,0.013933852,24.63424369682722,54.65742499446452,25.077925,3.831515,13.029748,2.6204767,1.3953266
4659641737786241280,87.14502314289852,-66.87470275024756,276.78043090113397,-30.931596039319384,22.864056542970726,0.015502212,20.40315357071149,-206.61939261932238,34.84793,0.95315874,13.813651,2.526144,1.2348677
2656212461103265536,342.151832079114,2.2346423183851383,72.81873129056522,-48.31704043254526,27.234509492881838,0.022862054,82.42340008382592,-85.00170665620857,-46.483932,0.9677643,12.641881,2.5847406,1.2554986
5468809762401380352,155.3036130038995,-27.44186734260573,266.4285249066135,24.583449332989733,30.44582338383217,0.02626987,226.73059652799208,-322.0082485950715,32.896935,2.5913892,14.488413,3.024743,1.1069018
5363990535794423680,159.56109739267328,-49.56488041280421,281.8696135672669,7.781619709156301,69.00754706273695,0.018107666,-317.5261300151766,-565.3362997837297,-0.9053696,0.56617147,13.497718,3.2634897,1.2265179
4563558990027686656,248.17819922646743,19.010598954555537,36.215021109479416,38.85310357705797,21.4409937368962,0.021114442,-43.353217557792235,52.6555091205952,0.9546214,1.6803255,14.160995,2.7196531,1.166835
2803640580793306752,14.91416966932614,22.858232564487746,125.40278883941731,-39.97408398677915,36.07270967686931,0.018723745,451.72214188156147,-386.88894411073096,35.086884,0.85443103,13.090469,2.7266417,1.3686934
2634648216288854272,346.33318044799836,-6.669798616671594,67.16641743724526,-57.55111615538844,23.747269319657242,0.017931938,-170.99841517040554,-200.76041685982702,28.274353,0.18425785,9.312596,1.1864805,0.8907499
6405607378800526080,330.9354015665483,-63.46038928355723,327.78197038487804,-44.73324734614962,21.399628466584783,0.013586396,285.7325452281084,-247.57152463121963,-9.045444,1.1764691,13.654321,2.6743135,1.166031
507209047525629568,31.29608801541793,60.23023320782241,131.96872060589263,-1.341203549186326,22.588419246546216,0.01803103,-24.84817883315707,25.527127500662935,3.9025023,0.47827324,12.961676,2.344779,1.2370833
1569335115284976000,187.70903926075172,53.07741445845555,129.94036404099617,63.769595586882765,44.82469501363327,0.018680137,18.935878927927302,181.69723811634668,-21.782734,0.118191764,6.072821,0.72672415,0.8895326
6462296480342791808,326.9811256334379,-52.93103298101042,342.7631401246565,-47.50289724314771,30.081271833303102,0.017452039,103.29033169401471,-88.7078406675146,-0.0050983108,0.12308575,7.431143,0.823689,0.86303616
5386627109385889536,165.68790616977654,-46.76522823143837,284.2720523012099,12.130957522123097,28.139259373687793,0.03968787,38.3159741278281,-331.71641180982533,23.566761,0.7732532,13.173884,2.4866562,1.2966123
4512055009227615744,281.54457311193994,17.22446612789093,47.801987709273924,8.889601734837969,27.36457265208551,0.016668003,182.41706425450874,104.28397656163436,-18.722265,0.59391266,13.120757,2.6321344,1.378501
4443110789740420480,255.25771984966343,8.206529331440088,27.58667869014329,28.243361086322757,51.057386149460875,0.021429928,-246.44923363446736,-182.2605681320912,-5.5793524,0.32327735,12.225685,2.7015667,1.2680572
5086434355956992896,54.36469789746499,-23.48494467424662,216.835198990557,-52.46777944342527,38.75486396278241,0.018590812,-157.10457492005722,-249.92002825374672,1.9445665,0.63723004,13.015163,2.7136736,1.1957266
5402956398944345472,169.99938246839164,-32.912328572442085,281.6279153127121,26.148724729014763,23.19244241981929,0.0194293,-67.02685524652848,53.78005580504927,12.5644865,0.47510582,12.472953,2.3720913,1.2735255
1119059574424538496,135.73259703033472,71.63639596063153,141.97238112826452,35.79961298160098,23.187815407194577,0.0155801885,-100.4823891403567,-142.9800616389824,0.089631654,0.33407947,12.345156,2.3971214,1.3545598
1684846680161990144,199.46758629787178,68.57669698839555,119.30463334949613,48.36496699167067,25.1059156900345,0.013327998,-205.30538928342588,62.06230289920887,-7.582881,3.4884372,13.677041,2.7439013,1.1889386
3065033699177348480,126.4015158329752,-5.842210825378543,229.52582608026393,17.891775620578425,21.548877741278968,0.022967659,-47.08836094291162,-54.61596615133965,9.557044,1.5012205,13.482604,2.775855,1.3778996
4626844714657877376,49.33436977427898,-77.37113345947634,293.5693266864927,-36.971607333715056,34.17706075569611,0.016565705,115.53714650591957,61.35617692224313,15.033843,8.465494,13.8557825,3.1126156,1.2885388
86511572033828480,36.88120918932049,19.589804715415386,151.97079478523813,-37.804549554864224,43.192886652191795,0.04459045,181.4349065864128,-149.84511314607138,-8.361708,6.013849,14.508734,3.3686533,1.3953737
4712509761521895424,26.143440150512504,-62.691304371665716,292.7541326666196,-53.37438402675643,24.443275518354397,0.023237359,-86.54452224972935,-176.36519407152826,29.11384,5.027182,14.868632,3.1345644,1.2043444
2072201804833111168,297.98045824418205,38.184586596321765,73.23922365154617,5.7048650041484885,22.792620641191952,0.010711941,-14.114072078357708,-143.52908840286983,-20.662457,0.22351149,10.151038,1.5104265,0.9189339
2150850112086386816,274.3415468177587,56.06481310401817,84.69623479618176,26.866121076808195,25.419400292772863,0.011796828,70.48718096023502,52.241400617791044,-19.402075,0.1394165,10.171951,1.5210266,1.0171334
5229384714547758720,164.11390890402507,-72.98518423537195,294.6604386986198,-11.987108817783295,39.44672968039077,0.013561046,39.30024135466341,-76.41705845963315,-5.9002004,1.015052,13.34348,2.7360897,1.2767217
2799000160687558144,5.857102110981179,19.83437668410577,113.97642403731392,-42.5497967714539,24.792293593753815,0.02391441,233.16139376902487,-137.22925589622042,-0.058031015,0.20370325,11.489519,2.1146698,1.2175955
4548093564411726080,258.61779205465956,17.243392410047157,38.50767151785792,28.957524424240294,21.54660092348412,0.014220768,71.3237517569801,101.03499058033395,-34.888622,18.400244,13.616346,2.5518932,1.1081713
1922718599128717184,359.14752240432125,43.66477613622022,112.53899398008382,-18.097369660010706,21.55652129061055,0.019548854,-52.440510729043794,-86.54839476774018,-38.084263,1.6774006,14.114482,2.7322254,1.1439536
1044968502350059776,150.40787188480434,55.58310426716944,157.97180504257966,48.35894944817,27.392282083494887,0.02121498,-173.5559297365064,-445.9362746174779,20.232147,0.119650275,7.768162,0.900568,1.0994918
2071188776666813952,308.29720792163187,45.8920628240854,83.90233633231053,3.5167807017356743,26.481698770544355,0.013308886,217.70910376244936,85.33995291003123,-42.390827,0.38609844,12.575465,2.3228455,1.0808096
2246581329639103872,304.3858330649528,66.85501172532437,100.46354296167175,16.91332169148764,57.20405217305612,0.0207614,468.6837090609632,297.58896862597277,-4.579637,0.13129522,5.7695527,0.77145576,0.8299613
3296045077903829888,71.72078452583199,12.883771501746121,185.75938201192804,-20.301740765638144,20.574214191473143,0.018848885,88.88028280188034,-18.539363289806825,43.627132,1.1226047,13.807008,2.800806,1.1603897
4156684226836779776,278.52331212003554,-8.275429210544534,23.596444126234562,0.05495499229008673,32.170067859081556,0.020584015,-29.00298121642214,-239.62732927719782,-43.513916,0.539956,12.385283,2.6104212,1.0666684
5660492297395345408,149.12348839018367,-24.099179371118908,259.3942877992303,23.62893878400558,21.930073931594904,0.026663147,-177.12709847590267,47.09939801286307,19.619947,0.14579564,7.78381,0.7722249,0.99001557
2182066763335251456,311.2038231407374,51.79710637633762,89.77857945559745,5.566742189032149,23.42940069324117,0.012459003,-163.34242498016104,-245.13955689625834,-33.81961,1.3565791,13.38057,2.377326,1.1909853
