wavelength_A,flux_1e17,ivar,and_mask
3803.6448257531915,1.8458077907562256,0.09578153491020203,0
3804.5219378491265,2.0140011310577393,0.09836477041244507,0
3805.397163121219,-0.6019319891929626,0.10392823815345764,0
3806.272589737735,0.7991371750831604,0.0979921817779541,0
3807.1503077902407,7.8918938636779785,0.09184132516384125,0
3808.0261377153843,4.965206146240234,0.09706254303455353,0
3808.9042601321803,6.059698104858398,0.11626633256673813,0
3809.780493551755,7.194057941436768,0.125031977891922,0
3810.659020519133,1.3047394752502441,0.1392282396554947,0
3811.5356576190284,3.538240432739258,0.14655034244060516,0
3812.412496388137,3.2220795154571533,0.1532243937253952,0
3813.291630289555,6.324300289154053,0.14941655099391937,0
3814.168873017869,9.28855037689209,0.14273957908153534,0
3815.048411935859,13.766411781311035,0.1313709169626236,0
3815.9260588094817,6.909702777862549,0.1390962451696396,0
3816.8060029306343,0.30732017755508423,0.15089555084705353,0
3817.6840541357556,1.7605630159378052,0.15429294109344482,0
3818.5623073354027,4.218036651611328,0.15101850032806396,0
3819.442859369643,2.9773800373077393,0.15209122002124786,0
3820.321517180123,4.569860935211182,0.15020911395549774,0
3821.2024748842678,2.4313995838165283,0.1544531136751175,0
3822.081537491985,1.921083927154541,0.1610891968011856,0
3822.962901052926,7.275805950164795,0.1541394144296646,0
3823.8423686443693,8.986116409301758,0.1580582708120346,0
3824.7241382490856,9.043356895446777,0.1644926816225052,0
3825.6040110108315,8.125500679016113,0.1725558489561081,0
3826.48408618615,6.466625213623047,0.1653880476951599,0
3827.366464965097,4.661181926727295,0.16797907650470734,0
3828.246945590631,1.7678751945495605,0.16096581518650055,0
3829.129730881063,6.652050971984863,0.1582202911376953,0
3830.010617143604,7.725788116455078,0.14949235320091248,0
3830.893809132801,2.839953899383545,0.15998771786689758,0
3831.7751012192257,4.2122979164123535,0.15268707275390625,0
3832.6565960457365,3.77761173248291,0.15188558399677277,0
3833.5403981918244,3.041975259780884,0.15372434258460999,0
3834.422299122584,5.391188621520996,0.15474741160869598,0
3835.306508435901,5.745023727416992,0.16492107510566711,0
3836.1888156580017,2.74287486076355,0.1772596538066864,0
3837.0734323261304,4.7339701652526855,0.17784826457500458,0
3837.9561460267496,2.8112339973449707,0.19087457656860352,0
3838.839062794496,7.734192848205566,0.17710357904434204,0
3839.724290603761,5.643486976623535,0.1850038468837738,0
3840.6076141308436,7.043681621551514,0.17549090087413788,0
3841.4932497641403,6.083922386169434,0.16985876858234406,0
3842.376980237953,3.7832798957824707,0.17259368300437927,0
3843.2630238831666,3.616947650909424,0.17147865891456604,0
3844.1471614911898,1.4237093925476074,0.18224133551120758,0
3845.0315024939073,2.69461989402771,0.1738714873790741,0
3845.9181582660904,0.17340056598186493,0.17329947650432587,0
3846.8029066842887,1.495404601097107,0.1509247124195099,0
3847.6899709383656,7.3808770179748535,0.1727098971605301,0
3848.575126959741,3.9116196632385254,0.19366270303726196,0
3849.4625998838987,5.308279514312744,0.1933692842721939,0
3850.3481636962338,6.826972007751465,0.1965719610452652,0
3851.2339312313597,3.759162187576294,0.21500305831432343,0
3852.1220172699104,3.528031349182129,0.22438286244869232,0
3853.0081928777204,0.647886335849762,0.23292052745819092,0
3853.896688057088,4.58326530456543,0.21230334043502808,0
3854.78327192558,5.338382244110107,0.20764580368995667,0
3855.6721764342556,2.266124963760376,0.21923258900642395,0
3856.5591687515152,7.741092205047607,0.20675481855869293,0
3857.4463651201922,4.9172563552856445,0.21672923862934113,0
3858.3358837322767,4.0705037117004395,0.22065655887126923,0
3859.2234888319,6.517333507537842,0.22051510214805603,0
3860.1134172447873,2.878814220428467,0.22984923422336578,0
3861.001431263659,5.103726863861084,0.2218029946088791,0
3861.8917696661447,5.607246398925781,0.21178649365901947,0
3862.780192792654,4.5874247550964355,0.21106228232383728,0
