line,rest_A,centroid_A,centroid_error_A,redshift,redshift_random_error,velocity_offset_km_s
C IV,1549.48,4371.852171001458,1.633471205922801,1.8214963542617255,0.0010542060600477585,0.0
C III],1908.73,5391.681717698627,2.8178582134024905,1.8247482450103614,0.001476300059936445,345.523154480947
Mg II,2798.75,7896.356927416138,3.428546082161403,1.821387021854806,0.0012250276309643245,-11.616896459899065
