ruwe_max,n,sequence_mad_mag,median_distance_pc
1.2,595,0.2700713964723159,135.94009212157803
1.4,634,0.2646889841920961,135.95135655128843
1.6,634,0.2646889841920961,135.95135655128843
2.0,634,0.2646889841920961,135.95135655128843
