maximum_radius_arcsec,n,median_proxy_kpc
0.5,1004,0.7353951588348926
0.75,1085,0.7715414833087363
1.0,1127,0.7959628599995872
1.25,1144,0.8101954329182999
1.5,1155,0.8173035492389165
