primary_evidence,objects,median_z,median_exposure_s
break only,40,2.397294,4.376664999999999
break/absorption,2,2.4488760000000003,4.960220833333333
emission line,325,3.67162,4.376664999999999
line + break,3,6.346668,2.6259999999999994
other/manual,3,0.0,14.094689999999998
stellar bump,36,0.254927,4.376664999999999
