id_msa,z_spec,ra,dec,flag_zspec_qual
60157,7.880038,3.6038467,-30.38223800000003,3
10646,8.51059,3.636959983509949,-30.40636155877451,3
3686,9.318165,3.617202003263485,-30.42553381079773,3
22223,9.569852,3.568114511635839,-30.38305164327892,3
26185,10.060783,3.567070796096838,-30.3778606473943,3
13077,13.163633,3.570869324641364,-30.40158532661826,2
