line,centroid_A,centroid_error_A,fwhm_A,fwhm_km_s
Hβ,5041.710404389928,5.432373534813569,110.40290995998602,6564.827626441567
Hα,6861.010611274459,1.3642266234615,141.32272461379074,6175.108797179881
