wavelength_A,flux_1e17,ivar,and_mask
3799.2685546950834,30.59662628173828,0.06440802663564682,0
3800.142571433285,33.2457275390625,0.0,0
3801.0188759171087,35.895118713378906,0.06292833387851715,0
3801.8932953144076,36.73588180541992,0.06377547979354858,0
3802.770003511291,35.93941116333008,0.06664873659610748,0
3803.6448257531915,39.86510467529297,0.06628207117319107,0
3804.5219378491265,42.03230285644531,0.0675252377986908,0
3805.397163121219,33.16265869140625,0.07628561556339264,0
3806.272589737735,42.120155334472656,0.06881563365459442,0
3807.1503077902407,41.53078079223633,0.07282915711402893,0
3808.0261377153843,31.77043342590332,0.08145548403263092,0
3808.9042601321803,40.23218536376953,0.07664478570222855,0
3809.780493551755,38.219181060791016,0.07673190534114838,0
3810.659020519133,31.843490600585938,0.08299520611763,0
3811.5356576190284,36.660709381103516,0.07891759276390076,0
3812.412496388137,38.188926696777344,0.07564245909452438,0
3813.291630289555,40.61811828613281,0.07321625202894211,0
3814.168873017869,34.490318298339844,0.07758498936891556,0
3815.048411935859,33.31614685058594,0.08021414279937744,0
3815.9260588094817,36.18434524536133,0.07765091210603714,0
3816.8060029306343,37.60335159301758,0.0777176022529602,0
3817.6840541357556,37.36473846435547,0.08044329285621643,0
3818.5623073354027,29.52753257751465,0.08519662171602249,0
3819.442859369643,28.91007423400879,0.08755873888731003,0
3820.321517180123,38.07846450805664,0.07914227992296219,0
3821.2024748842678,34.97010040283203,0.0829526036977768,0
3822.081537491985,44.14131546020508,0.07550684362649918,0
3822.962901052926,34.929561614990234,0.08393675833940506,0
3823.8423686443693,44.605552673339844,0.07653360068798065,0
3824.7241382490856,42.624046325683594,0.08028443157672882,0
3825.6040110108315,35.779144287109375,0.08704619854688644,0
3826.48408618615,34.0833625793457,0.08915252983570099,0
3827.366464965097,36.286415100097656,0.08640792220830917,0
3828.246945590631,39.11843490600586,0.08276787400245667,0
3829.129730881063,39.104862213134766,0.08281776309013367,0
3830.010617143604,34.21049499511719,0.08898858726024628,0
3830.893809132801,31.312652587890625,0.09365998208522797,0
3831.7751012192257,34.61994934082031,0.09076608717441559,0
3832.6565960457365,40.555973052978516,0.08617158234119415,0
3833.5403981918244,40.004119873046875,0.0875965878367424,0
3834.422299122584,37.76770782470703,0.09116188436746597,0
3835.306508435901,36.13123321533203,0.09132081270217896,0
3836.1888156580017,36.330345153808594,0.09266970306634903,0
3837.0734323261304,41.452022552490234,0.08863293379545212,0
3837.9561460267496,45.41678237915039,0.08468285948038101,0
3838.839062794496,38.805362701416016,0.09185746312141418,0
3839.724290603761,33.146690368652344,0.09824422001838684,0
3840.6076141308436,38.491790771484375,0.09272446483373642,0
3841.4932497641403,47.88612747192383,0.08522891253232956,0
3842.376980237953,41.83820724487305,0.08895792812108994,0
3843.2630238831666,37.58945083618164,0.09182023257017136,0
3844.1471614911898,39.89554977416992,0.09060714393854141,0
3845.0315024939073,36.16083908081055,0.09418785572052002,0
3845.9181582660904,37.47438049316406,0.0958121195435524,0
3846.8029066842887,34.946144104003906,0.09967963397502899,0
3847.6899709383656,35.77073287963867,0.09949332475662231,0
3848.575126959741,32.75639343261719,0.10570024698972702,0
3849.4625998838987,32.19623565673828,0.10888589173555374,0
3850.3481636962338,32.788818359375,0.10732058435678482,0
3851.2339312313597,38.431278228759766,0.10147678107023239,0
3852.1220172699104,40.25537109375,0.100474514067173,0
