line,fit_half_width_A,fwhm_km_s
Hβ,90,12594.281137907015
Hβ,115,6564.827626441567
Hβ,140,12523.14355427505
Hα,90,3996.103571473887
Hα,115,6175.108797179881
Hα,140,6270.792706500999
