id,ra_dr3,dec_dr3,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec_dr3,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w,id_msa,ra_dr4,dec_dr4,z_spec_dr4,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3
30616,3.623699,-30.38936,4229.725,7017.822,1,1,0,0,0,25,7.479572,25.19614,1.773325,7.203144,7.435843,7.55671,7.744565,,1.484472,1.455382,1.502795,0.118011,0.0544,0.32,0.1918559,0.1668996,0.5489258,1.029639,0.2763211,0.2637558,1.018545,0.2300877,0.5055027,0.8097441,0.2184059,0.3405608,0.9690809,0.1701028,0.3761658,1.18067,0.1324657,0.4690758,1.094566,0.24318,0.1378636,19025,3.623700753761731,-30.3893629899024,7.55577,7.543742567200225,7.553143513004843,7.562415734590402,2,1,0,0.0,1.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,30616.0,0.0068358645170276
31035,3.620338,-30.3886,4490.589,7086.715,1,1,0,0,0,26,7.140669,22.79198,7.00253,7.068408,7.15666,7.236618,7.287364,,1.524647,1.492306,1.548903,0.08382365,0.0304,0.32,0.05033422,0.1357612,0.6361867,0.6008166,0.1992767,0.3888919,0.6730466,0.1690804,0.7178534,0.5784967,0.1595963,0.4890908,0.3475664,0.1295684,0.4971828,0.5173503,0.1030117,0.594824,0.8719899,0.185153,0.1823709,60141,3.62034203,-30.38859876999999,7.127927,7.1207437117584345,7.129553885116241,7.138360590497764,2,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,31035.0,0.0116421270935035
33989,3.568114,-30.38305,8545.109,7586.356,1,1,0,0,0,27,10.60546,36.07522,2.469845,10.21179,10.50296,10.72057,11.06646,,3.923518,3.643706,4.011356,0.1451593,0.08,0.32,0.6498109,0.1812564,0.6645488,-0.2282826,0.2581677,0.4314355,1.640448,0.3152524,0.3844882,2.252149,0.185769,0.6721499,2.098571,0.191094,0.4255963,2.282047,0.1490084,0.5293194,1.997249,0.2267038,0.2265047,22223,3.568114511635839,-30.38305164327892,9.569852,9.55089473347697,9.56233555562915,9.573776370256407,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,33989.0,0.0052768179609834
34113,3.641573,-30.38283,2841.758,7605.744,1,1,0,0,0,22,9.163016,49.46351,0.1662574,8.826352,9.183031,9.5816,10.17552,,1.312593,1.293927,1.321625,0.1395476,0.0736,0.32,3.199495,0.8088912,0.02897886,0.5887907,0.4835815,0.1067894,3.227877,0.4084605,0.1989059,3.211884,0.3997644,0.1260528,2.074086,0.3413199,0.1158554,2.894773,0.3182697,0.100762,2.198974,0.4920328,0.04175944,22335,3.64157267619518,-30.38282555961342,2.509613,2.506805993811689,2.5109790673383725,2.515849966321672,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,34113.0,0.0024973507919902
34541,3.60389,-30.38226,5767.512,7657.253,1,1,0,0,0,27,7.955146,24.54543,7.88224,7.903971,7.924784,7.967102,7.983633,,1.847716,1.787143,1.891339,1.142085,1.2544,1.0,0.3105997,0.6446639,0.4446684,4.995808,0.7445128,0.4456784,10.76773,0.636598,0.888306,12.8345,0.6253213,0.6100004,17.17184,0.5072147,0.6492666,24.58592,0.4503801,0.6555522,31.05233,0.7263573,0.2281364,60157,3.6038467,-30.38223800000003,7.880038,7.875292254057935,7.884916136764945,7.894540019471954,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,12.344025000000002,"2,3,5,7",34541.0,0.1603105851703034
35556,3.607269,-30.38058,5505.088,7808.869,1,1,0,0,0,27,6.704555,17.29552,5.994961,6.322136,6.637541,6.760876,6.903243,,1.754881,1.710305,1.789626,0.7837311,0.1168,0.32,0.3730675,0.1709334,0.3932686,0.5363134,0.1836018,0.4489475,0.5008166,0.1527406,0.8620263,0.5118613,0.1444869,0.5847702,0.7183961,0.1157533,0.6104559,1.134069,0.09775832,0.6472339,0.7855967,0.1690458,0.2143955,23619,3.607271939131035,-30.38057787708868,6.716076,6.706497967652168,6.714854474130324,6.723210980080162,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",35556.0,0.008584828058364
35557,3.605246,-30.38058,5662.181,7808.341,1,1,0,0,0,27,7.800055,5.737885,7.666545,7.735244,7.792268,7.830719,7.883196,,1.768172,1.718158,1.794356,0.08555435,0.0672,0.32,-0.009232011,0.1733944,0.3883173,1.022083,0.1964111,0.3985939,1.503878,0.1613955,0.7844401,1.616727,0.1545754,0.5191289,1.519036,0.1216602,0.5614846,1.832952,0.09917907,0.6389136,2.527165,0.1662064,0.225342,23604,3.605246620651772,-30.38058434235268,7.882703,7.875292254057935,7.884916136764945,7.894540019471954,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,35557.0,0.0027521088804586
36502,3.60134,-30.3792,5965.421,7932.59,1,1,0,0,0,27,7.892553,56.24745,7.890589,7.901964,7.911877,7.920931,7.926249,,1.924322,1.871173,1.95532,0.119942,0.408,0.7,0.2096668,0.4070005,0.4327609,7.512901,0.5016441,0.3946053,12.16153,0.414694,0.7755843,10.50302,0.3981252,0.54155,11.91821,0.301252,0.6298366,13.77565,0.2566768,0.6547832,30.41451,0.4061448,0.2323158,24531,3.601342849372456,-30.37919855119247,7.89159,7.889384969543119,7.899024133621938,7.908663297700757,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,36502.0,0.0210141616628776
36725,3.628748,-30.37891,3837.379,7958.598,1,1,0,0,0,25,6.446548,60.72786,6.304062,6.374163,6.433726,6.472274,6.500049,,1.377433,1.361892,1.389019,0.1185607,0.1696,0.32,1.993602,0.2677824,0.2087266,3.662561,0.2347437,0.3577339,3.434371,0.1943431,0.6935691,3.372246,0.1926731,0.4283498,3.260064,0.1462756,0.4979387,7.727766,0.1332079,0.4540536,3.497136,0.2067903,0.1866219,24714,3.628748130795594,-30.37890926708201,6.352246,6.348277006459394,6.3562450771419625,6.364213147824531,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,36725.0,0.0005530071986162
37450,3.569439,-30.37787,8442.334,8052.241,1,1,0,0,0,26,6.289686,25.66253,6.209255,6.269984,6.315402,6.400544,6.538185,,3.360734,2.983466,3.449088,0.2522994,0.1376,0.32,2.51097,0.3481452,0.5839193,3.032688,0.6403675,0.2273114,3.133114,0.5279379,0.4444208,2.17509,0.4944399,0.3075713,2.708297,0.4527996,0.2457195,5.300021,0.309539,0.3976204,3.084862,0.5669251,0.1174096,25447,3.569435090915393,-30.37788728720045,6.247132,6.232609262718839,6.240451910939016,6.248294557832248,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,37450.0,0.0496532304808244
