id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3,mu,mu_low_68,mu_high_68,mu_low_95,mu_high_95,mu_rad,mu_rad_low_68,mu_rad_high_68,mu_rad_low_95,mu_rad_high_95,mu_t,mu_t_low_68,mu_t_high_68,mu_t_low_95,mu_t_high_95,gamma1,gamma1_low_68,gamma1_high_68,gamma1_low_95,gamma1_high_95,gamma2,gamma2_low_68,gamma2_high_68,gamma2_low_95,gamma2_high_95,theta,theta_low_68,theta_high_68,theta_low_95,theta_high_95
37126,3.590110771951833,-30.35974219091935,10.119248,10.11816269479749,10.130493029365049,10.14274996681338,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,4.376664999999999,4,49514.0,0.0018915303883926,2.1962479,2.1489045,2.1920446,2.1332915,2.2111129,1.3954309,1.3842815,1.3933704,1.3810768,1.3995529,1.5738851,1.5502814,1.5752281,1.5415765,1.5866508,-0.0371649,-0.0392985,-0.0326363,-0.042544,-0.0315302,0.0164112,0.0153939,0.0191926,0.0140607,0.0213737,78.087412,75.172713,79.045108,73.668422,80.697826
37504,3.610603503506573,-30.35896482285579,6.561018,6.549174844868001,6.557364005354941,6.565549922210224,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",49872.0,0.0008412069795592,1.5231723,1.5070289,1.5219018,1.5036467,1.5296349,1.091014,1.0868225,1.0912596,1.0846535,1.0924374,1.396107,1.3855186,1.3957401,1.3836146,1.4006578,-0.0545415,-0.0567978,-0.0521362,-0.0578041,-0.0507542,0.0839961,0.082884,0.0845583,0.0823942,0.085205,61.498494,60.960358,62.089435,60.675494,62.449637
38059,3.605254866904467,-30.35794114836597,7.589203,7.584452032568439,7.593760544013676,7.603069061403555,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,5.0495833333333335,"2,3",50437.0,0.0027747769688952,1.5955704,1.5745872,1.5945032,1.5688477,1.6029289,1.1237623,1.1189295,1.1236818,1.1165452,1.1255116,1.4198469,1.4077228,1.4198469,1.4040615,1.4260249,-0.0476103,-0.0500499,-0.045463,-0.051635,-0.0442737,0.0796367,0.078094,0.0796367,0.0772896,0.0806716,60.43641,59.935002,61.229305,59.508078,61.728889
38248,3.610133367539723,-30.35760707985218,6.554216,6.549173332287842,6.557359243985748,6.565545155683655,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",50617.0,0.0040298202323004,1.5166775,1.4996442,1.5157552,1.4966053,1.5226916,1.0882935,1.0840226,1.0886099,1.0823584,1.0902021,1.3936291,1.3827262,1.3937711,1.3786926,1.3974726,-0.0508022,-0.0531215,-0.0483719,-0.0539746,-0.0466342,0.0868991,0.085673,0.0869602,0.0851685,0.0879888,60.155514,59.625092,60.788927,59.105915,61.155501
38335,3.541383112541549,-30.35743501482807,6.231206,6.221143105409992,6.228973324729987,6.236803538352536,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,50740.0,0.0006602369427269,2.1543656,2.0923559,2.185223,2.0611664,2.2151522,1.2227391,1.1995537,1.2351764,1.1924944,1.2453081,1.7619176,1.7432658,1.7715409,1.7278119,1.7803982,0.0587253,0.0571146,0.0643265,0.0555012,0.0657106,-0.1105008,-0.1142764,-0.1068906,-0.1152847,-0.1049911,-31.005872,-31.280081,-30.203845,-31.572025,-30.008271
38766,3.513563315910684,-30.35679962823883,12.190246,12.181993032422188,12.206281445706225,12.402632655294507,2,1,1,0.0,0.0,0.0,1.0,0.0,templ,templ,4.376664999999999,4,51183.0,0.0085201621297592,1.672597,1.6182361,1.6981353,1.609257,1.7193141,1.0085822,1.0012978,1.009835,1.0000345,1.0140684,1.6583646,1.6147067,1.6797304,1.6046254,1.6995455,-0.107192,-0.1097932,-0.1043802,-0.1110914,-0.1034622,-0.161989,-0.1649637,-0.1572854,-0.1667226,-0.1556172,-61.746778,-61.96334,-61.736108,-62.040836,-61.591216
41225,3.533996360109116,-30.35330846833722,6.768724,6.7678767528386095,6.776299814593862,6.784722876350631,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,53157.0,0.0062486050226146,1.8838621,1.8393792,1.9120896,1.8159787,1.9399024,1.086594,1.0729509,1.0925211,1.0702543,1.0991746,1.7337314,1.7092829,1.7536569,1.6960669,1.7652595,0.0439897,0.0429653,0.0460402,0.0419018,0.0468109,-0.1660294,-0.1694341,-0.165575,-0.1706914,-0.164291,-37.580196,-37.834679,-37.254029,-37.985779,-37.106741
43709,3.575939430037462,-30.34802820207057,6.726886,6.718734801994929,6.727104576899744,6.735474351804558,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,8.753329999999998,"4,5",56223.0,0.0129815115158511,2.3924834,2.3546158,2.3997696,2.3360962,2.418635,1.1294765,1.1185395,1.130195,1.1161237,1.1338861,2.1182233,2.0978195,2.1344711,2.0762258,2.1524938,0.2065803,0.2046539,0.2110112,0.2025726,0.2139485,-0.0048024,-0.006316,-0.0025032,-0.0073939,0.0004078,-0.6658643,-0.8738252,-0.3421511,-1.0142467,0.0557136
52621,3.560646611968914,-30.32610828345969,6.189387,6.186853576196185,6.194646608117826,6.202439640039467,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,65886.0,0.0054248730292599,1.4544239,1.4456344,1.455309,1.4423448,1.4617654,1.0115502,1.0066921,1.0111985,1.0050541,1.0142234,1.4378164,1.4326565,1.4409467,1.4298691,1.4481874,0.1421483,0.1413527,0.1448526,0.1400595,0.1475563,-0.0356121,-0.0374349,-0.033565,-0.0384015,-0.0329073,-7.0323534,-7.3127746,-6.6197895,-7.4796256,-6.4775073
60141,3.62034203,-30.38859876999999,7.127927,7.1207437117584345,7.129553885116241,7.138360590497764,2,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,31035.0,0.0116421270935035,1.5604206,1.5441537,1.5625943,1.5362347,1.5672825,1.0672385,1.0628692,1.0674468,1.0615569,1.0689203,1.4621105,1.4493779,1.4652421,1.4414647,1.4698799,-0.1234873,-0.125552,-0.1203238,-0.127441,-0.1187501,0.0275696,0.0272819,0.0300752,0.0261777,0.0314471,83.7073,82.997884,83.882565,82.686359,84.135658
60157,3.6038467,-30.38223800000003,7.880038,7.875292254057935,7.884916136764945,7.894540019471954,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,12.344025000000002,"2,3,5,7",34541.0,0.1603105851703034,1.9488461,1.9194603,1.9527614,1.8962653,1.9640163,1.276099,1.2670407,1.2772542,1.2607425,1.2817504,1.5271902,1.5154445,1.5297981,1.5036536,1.5354884,-0.0185558,-0.0205786,-0.0149197,-0.0217209,-0.0130139,0.0616902,0.0609125,0.062852,0.0597279,0.0649034,53.370383,51.625127,54.317185,50.861081,54.690528
