id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3,mu,mu_low_68,mu_high_68,mu_low_95,mu_high_95,mu_rad,mu_rad_low_68,mu_rad_high_68,mu_rad_low_95,mu_rad_high_95,mu_t,mu_t_low_68,mu_t_high_68,mu_t_low_95,mu_t_high_95,gamma1,gamma1_low_68,gamma1_high_68,gamma1_low_95,gamma1_high_95,gamma2,gamma2_low_68,gamma2_high_68,gamma2_low_95,gamma2_high_95,theta,theta_low_68,theta_high_68,theta_low_95,theta_high_95
13077,3.570869324641364,-30.40158532661826,13.163633,12.908682991435173,13.15264545713766,13.214464048625526,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,7.294441666666666,"5,7",24119.0,0.0295062594007079,2.5791878,2.5447337,2.5944264,2.5226486,2.6133617,1.2780229,1.2667562,1.2772531,1.2617241,1.2826121,2.0181078,2.0047017,2.0354971,1.994354,2.04843,-0.1225107,-0.1271175,-0.1229326,-0.1290831,-0.1205587,-0.0746691,-0.0755601,-0.0722496,-0.0773049,-0.0700878,-74.319048,-75.103791,-74.329478,-75.481254,-73.868777
13123,3.579828558636116,-30.40156942018814,7.039813,7.146647650494824,7.155685527452545,7.164723422132208,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",24175.0,0.0095944870462636,6.8704263,6.8100272,7.0340867,6.7260655,7.1218371,1.8097466,1.7853499,1.8715301,1.7715333,1.8970819,3.7963463,3.7457808,3.8311623,3.6658591,3.8643968,-0.1364246,-0.1423457,-0.1282705,-0.143804,-0.1238576,-0.0478602,-0.0473067,-0.0376942,-0.050982,-0.0327305,-80.334116,-82.09426,-80.390163,-82.702308,-79.957121
13151,3.592501339027848,-30.40146428899556,9.798486,9.805003607362549,9.81671996591658,9.828438843269444,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",24203.0,0.0012402150554164,12.216912,11.753601,12.721891,11.489671,13.143373,2.7724983,2.724083,2.8862435,2.6517928,2.9597949,-4.4064921,-4.4854827,-4.2510117,-4.6204028,-4.107922,0.1958389,0.1892786,0.2058168,0.1834008,0.2113195,-0.2190261,-0.2227615,-0.2086379,-0.2247601,-0.2017532,-24.099495,-24.690554,-22.919563,-25.082664,-21.980166
15383,3.583534552387626,-30.39667857268421,7.042226,7.031051492107511,7.039759926191883,7.048468360276256,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,9.426248333333332,"2,3,6",26651.0,0.003818370959641,6.7379986,6.3988282,7.3075732,6.1816379,7.6459628,1.8739642,1.8476131,1.9328166,1.8160468,1.9670514,-3.5962357,-3.8075571,-3.4312853,-3.917017,-3.3145726,0.1314173,0.1313879,0.1405047,0.1280248,0.1461133,-0.3839822,-0.3897811,-0.3681116,-0.396821,-0.3562929,-35.553285,-35.578036,-34.640852,-35.826605,-34.183739
16155,3.58295318947418,-30.39523246397209,6.87195,6.867101245062186,6.875631900443369,6.8841625558245525,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",27427.0,0.0110659145773926,11.450019,11.269203,13.170924,10.426138,14.079692,1.6971764,1.6821141,1.7675123,1.651545,1.8057425,-6.7463195,-7.4697449,-6.6463233,-7.9745785,-6.1143363,0.0662688,0.0531838,0.069678,0.0477097,0.0741187,-0.3627175,-0.3659785,-0.3461701,-0.3710955,-0.3405228,-39.823106,-40.637177,-39.536286,-41.042905,-39.271185
16594,3.597202696492125,-30.39432868826726,7.041422,7.031051492107511,7.039759926191883,7.048468360276256,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"1,5,6,7",27966.0,0.0052340131294272,3.599483,3.5118911,3.6524677,3.4252858,3.6956021,1.8230198,1.786661,1.8330648,1.7644563,1.847662,1.9744618,1.9560319,1.9969882,1.9385439,2.0053541,0.0199322,0.0194494,0.0255792,0.0176573,0.0276049,0.0067266,-0.0022638,0.0120181,-0.0059597,0.0160241,9.3240456,-3.2814308,13.98979,-7.9200748,18.972253
18924,3.581044323249695,-30.3895606891702,7.68681,7.680324084107461,7.6897365539679425,7.699149023828424,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",30500.0,0.0157279113221049,17.629533,16.770944,19.74211,15.705392,21.650554,1.1782276,1.166817,1.1795043,1.1611499,1.1835411,14.962703,14.403948,16.794054,13.447214,18.388172,0.151021,0.1500044,0.158267,0.1471753,0.1610322,-0.3606028,-0.3648927,-0.3601504,-0.3662904,-0.3578719,-33.637998,-33.820599,-33.2073,-34.030131,-33.01227
19025,3.623700753761731,-30.3893629899024,7.55577,7.543742567200225,7.553143513004843,7.562415734590402,2,1,0,0.0,1.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,30616.0,0.0068358645170276,1.5121514,1.4981824,1.5139163,1.4918258,1.5202319,1.0468671,1.0423509,1.0472931,1.0406794,1.0487018,1.444454,1.4340075,1.4481302,1.4286164,1.4520095,-0.1301081,-0.1327935,-0.1280147,-0.1343514,-0.1260585,0.0188326,0.0183543,0.0213596,0.0172175,0.0221075,85.88193,85.257107,86.100011,85.133353,86.32475
20466,3.640408392504773,-30.38643760620369,8.503934,8.486867414819637,8.497154456265001,8.50744149771036,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,32209.0,0.000993550709287,1.3489872,1.3383951,1.3521372,1.3349174,1.3562943,1.0132572,1.0095702,1.0138849,1.0081464,1.0151735,1.3313375,1.3237417,1.3344495,1.3193815,1.3400401,-0.1176952,-0.1197128,-0.1156364,-0.1210197,-0.1143031,0.0068773,0.0058857,0.0084807,0.005349,0.0089209,88.327923,87.905677,88.565289,87.778945,88.725615
22223,3.568114511635839,-30.38305164327892,9.569852,9.55089473347697,9.56233555562915,9.573776370256407,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,33989.0,0.0052768179609834,4.3432222,4.2100646,4.4000197,4.1416142,4.5446199,1.1722222,1.1627612,1.1702246,1.1592783,1.17298,3.7051213,3.616002,3.7602936,3.5669955,3.8703261,-0.0528052,-0.0532601,-0.0488281,-0.0548512,-0.0469621,-0.2867708,-0.2909029,-0.286564,-0.2935446,-0.2848209,-50.216709,-50.243374,-49.805705,-50.333818,-49.63849
23604,3.605246620651772,-30.38058434235268,7.882703,7.875292254057935,7.884916136764945,7.894540019471954,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,35557.0,0.0027521088804586,1.8716421,1.8475975,1.8766444,1.8281273,1.8871289,1.257674,1.2510469,1.2590855,1.2468724,1.2622904,1.4881775,1.4742022,1.4915001,1.4656715,1.4967881,-0.0336748,-0.0364633,-0.0305643,-0.0383079,-0.0290457,0.0515543,0.0499266,0.0523035,0.0487499,0.0534714,61.576115,60.106936,63.131701,59.435893,63.661269
23619,3.607271939131035,-30.38057787708868,6.716076,6.706497967652168,6.714854474130324,6.723210980080162,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",35556.0,0.008584828058364,1.845278,1.8227271,1.8497403,1.8091691,1.8566704,1.2342356,1.2294547,1.2359911,1.2258418,1.2375413,1.4950776,1.4815931,1.4970142,1.4741732,1.5043528,-0.0488215,-0.051028,-0.0457037,-0.0525231,-0.043817,0.0511065,0.0491928,0.0521529,0.0480134,0.0531236,66.845016,65.816077,67.909435,64.901518,68.604843
24531,3.601342849372456,-30.37919855119247,7.89159,7.889384969543119,7.899024133621938,7.908663297700757,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,36502.0,0.0210141616628776,2.0253316,1.9987777,2.0282456,1.9782931,2.049923,1.2942522,1.2793259,1.2955041,1.2759964,1.3021622,1.5648668,1.5568576,1.5718192,1.5494197,1.5792284,0.0226764,0.0218016,0.026966,0.0192238,0.0282586,0.0628412,0.0622643,0.0660822,0.0603134,0.0675613,35.07896,33.701359,35.429842,33.06338,36.238326
24714,3.628748130795594,-30.37890926708201,6.352246,6.348277006459394,6.3562450771419625,6.364213147824531,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,36725.0,0.0005530071986162,1.4323106,1.4208772,1.4346921,1.4164571,1.4395415,1.0476838,1.0443502,1.047813,1.0433545,1.0492871,1.3671212,1.3582646,1.3704261,1.3540626,1.3747106,-0.0991668,-0.1000434,-0.0963825,-0.1012576,-0.095059,0.0509971,0.0513269,0.0534999,0.0504684,0.0547489,76.392628,75.61992,76.351289,75.464865,76.74383
25447,3.569435090915393,-30.37788728720045,6.247132,6.232609262718839,6.240451910939016,6.248294557832248,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,4,37450.0,0.0496532304808244,3.511165,3.4071265,3.5343146,3.3517466,3.6032807,1.3192276,1.3076329,1.3183027,1.3014883,1.3265816,2.6615313,2.5994754,2.6859302,2.5720484,2.7261383,-0.0685765,-0.0705199,-0.0660996,-0.0734334,-0.0633882,-0.178423,-0.1821586,-0.1765439,-0.1836225,-0.1745517,-55.51208,-55.679747,-55.180811,-55.943002,-54.92657
26185,3.567070796096838,-30.3778606473943,10.060783,10.047732562053309,10.059796990913435,10.07178023846888,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,"1,4",38201.0,0.0021024061390665,4.0703132,3.9648012,4.1043043,3.8924991,4.2084857,1.4016938,1.3944071,1.4096484,1.3890651,1.4222384,2.9037814,2.8357879,2.9122811,2.7900925,2.9785849,-0.0748008,-0.0732939,-0.0692502,-0.0751854,-0.067852,-0.1686808,-0.1700882,-0.1657965,-0.1720992,-0.1647544,-56.957353,-56.823521,-56.169545,-57.029803,-55.9117
27335,3.625080666905728,-30.37526088785461,6.753977,6.743267390705045,6.751665055450042,6.760061435063911,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",39368.0,0.0054018129751098,1.4644124,1.4511442,1.4657037,1.4447887,1.473334,1.0564723,1.053312,1.05654,1.0518021,1.0581033,1.3861343,1.3756396,1.3885603,1.371461,1.3956638,-0.0941874,-0.0957401,-0.091062,-0.0977618,-0.0901784,0.0616277,0.0616487,0.0637063,0.060332,0.0647634,73.401445,72.653698,73.515109,72.339714,73.908499
