radius_px,mean_intensity,median_intensity
29.750588724352355,0.6529374778744698,0.6
89.25176617305706,0.3088563503155042,0.2784313725490196
148.75294362176177,0.2676951870376556,0.24705882352941178
208.25412107046648,0.24739679074754906,0.22745098039215686
267.7552985191712,0.24226635233947338,0.22745098039215686
327.2564759678759,0.23613759606406667,0.2196078431372549
386.75765341658064,0.22640320779693354,0.21568627450980393
446.2588308652853,0.2192215525515955,0.21176470588235294
505.76000831399006,0.21868379154364848,0.21176470588235294
565.2611857626948,0.21112080142042305,0.20784313725490197
624.7623632113994,0.2078747881878077,0.2
684.2635406601041,0.20320085438606572,0.19607843137254902
743.7647181088089,0.2048257099639682,0.19607843137254902
803.2658955575137,0.20059810689247326,0.19215686274509805
862.7670730062182,0.20246928139026762,0.19607843137254902
922.268250454923,0.2091770352629632,0.20392156862745098
981.7694279036277,0.19642971121079142,0.2
1041.2706053523325,0.19666011951965304,0.19607843137254902
1100.7717828010373,0.20326489077474816,0.19607843137254902
1160.2729602497418,0.22181417942692072,0.21176470588235294
1219.7741376984466,0.22958809648961126,0.2196078431372549
1279.275315147151,0.2350107687065808,0.2235294117647059
1338.7764925958559,0.23970602460813512,0.22745098039215686
1398.2776700445606,0.24724223425174222,0.23137254901960785
1457.7788474932654,0.25213518188374906,0.23137254901960785
1517.2800249419702,0.2538708102366238,0.23137254901960785
1576.781202390675,0.2637623242295196,0.25882352941176473
1636.2823798393795,0.27406922330450845,0.2784313725490196
1695.7835572880842,0.2844882914257718,0.2901960784313726
1755.2847347367888,0.29633463600243576,0.3058823529411765
1814.7859121854935,0.31256411953559043,0.3176470588235294
1874.2870896341983,0.32522488671906696,0.3254901960784314
1933.788267082903,0.3212095858534467,0.3215686274509804
1993.2894445316078,0.30653630328211967,0.30196078431372547
2052.7906219803126,0.2896286102973323,0.28627450980392155
2112.2917994290174,0.281720117663153,0.2784313725490196
2171.792976877722,0.27770938266023354,0.27058823529411763
2231.2941543264265,0.27756978464001725,0.27450980392156865
2290.795331775131,0.279402896045172,0.2784313725490196
2350.296509223836,0.2803910219594822,0.27450980392156865
2409.7976866725407,0.2740782002847685,0.27058823529411763
2469.2988641212455,0.2694586405990967,0.26666666666666666
2528.8000415699503,0.2621053986255213,0.25882352941176473
2588.3012190186546,0.2697110216030102,0.24705882352941178
2647.8023964673594,0.252201297659754,0.24313725490196078
2707.303573916064,0.23917519626323738,0.23137254901960785
2766.804751364769,0.24026992286545978,0.23529411764705882
2826.3059288134737,0.24883742425249344,0.24313725490196078
2885.8071062621784,0.2453084507359198,0.23921568627450981
2945.308283710883,0.23511710537858418,0.23137254901960785
3004.809461159588,0.22194654372331235,0.21568627450980393
3064.3106386082927,0.2019687085085696,0.19215686274509805
3123.8118160569975,0.18997828197931171,0.1803921568627451
3183.312993505702,0.16522472101296573,0.1568627450980392
3242.8141709544066,0.17082984942323085,0.16470588235294117
3302.3153484031113,0.1727073985675151,0.16862745098039217
3361.816525851816,0.1700155975031492,0.16470588235294117
3421.317703300521,0.16827415162023848,0.16862745098039217
3480.8188807492256,0.14663152092373627,0.11764705882352941
