SOURCE_ID,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,phot_bp_rp_excess_factor
659419905348245888,130.57623717188096,18.39217043463451,4.958298572473646,0.09043203,-33.98811318289222,-11.343296504055623,16.672726,18.214842,15.47071,2.744132,0.98240626,1.4487923
659645030354241536,129.4090999857364,18.482426841969527,5.331996735843282,0.01842755,-35.35650686459711,-11.566107587401046,12.764074,13.312497,12.0323515,1.2801456,1.0213232,1.2634728
659738179604773248,128.93569354055603,18.960585387354836,5.742162170087961,0.11257969,-38.23718883829075,-13.375122189821942,17.48563,19.290098,16.218845,3.0712528,1.0046068,1.4894618
659765220718853504,129.15157293491978,19.185153359437038,5.435832089780047,0.023409946,-36.243970470199685,-12.776883128385467,14.067384,14.935506,13.150421,1.7850847,1.0430522,1.3054851
660921868295373312,130.6401186277085,18.458015474494385,5.164592052673926,0.34105515,-37.81911912363458,-12.458115196382016,19.025593,20.835331,17.700954,3.1343765,0.9833741,1.5627822
660965097142415872,131.11322128699695,18.87237359528531,5.432492011148356,0.11916272,-35.876280835301515,-11.435943611583589,17.674332,19.444376,16.394993,3.0493832,0.95664406,1.5096146
660966883848803072,131.1368857642153,18.963989506909748,5.468165155932683,0.05537395,-36.79999601371513,-11.882414655319652,16.14758,17.638771,14.952835,2.685936,0.9768632,1.4487053
661222962682863616,130.55452026605215,19.31459752078877,5.622915172122113,0.21210136,-36.69986353709541,-12.412900256120144,18.674105,20.582832,17.36896,3.213873,1.0803661,1.5254762
661233137463057152,130.52689636357084,19.41120298854043,5.522904733547058,0.033258196,-37.184535543737795,-12.257561153056246,7.9242454,8.014535,7.738603,0.27593184,0.94052774,1.1667737
661242895630246016,130.21868306998428,19.483157593693104,5.383248223825784,0.024520867,-35.338173513869855,-12.309617200646784,10.175888,10.433624,9.760421,0.67320347,0.9640397,1.1891345
661297321454333312,130.08628118607928,19.6866770511534,5.415197004897787,0.038050625,-35.68738263966356,-12.850590232303354,7.667654,7.7443647,7.5087214,0.23564339,1.0576131,1.1630365
661298451027341056,130.02025694088056,19.729201604791708,5.288666627082091,0.02081041,-35.708902751768676,-12.741696318015364,9.695884,9.9146385,9.303516,0.61112213,0.8416172,1.1970513
661315837054947840,129.8408839749019,19.861139939037443,5.364387641278777,0.017470501,-35.13779372463191,-12.878717076836146,12.2768755,12.754824,11.644432,1.1103916,0.9870262,1.2206551
661362055200029056,131.07143371205757,19.865322441576982,5.377829690877065,0.023850737,-36.89865560815697,-12.36649577469133,13.933509,14.757605,13.040434,1.7171707,0.99917483,1.297661
661458979725746304,130.72954233134868,20.520569422410325,5.362247895181028,0.31601518,-35.49154428401978,-13.755967387725903,19.052378,21.026205,17.677507,3.3486977,1.0680356,1.6110867
662748569425476224,128.81669906751526,19.20213068806482,5.010881854918793,0.11468944,-34.0938485114864,-12.452264987278669,17.36734,19.10139,16.122799,2.978592,1.0171595,1.4712682
662799009521584640,128.94693083025558,19.589555546397698,5.428411151846335,0.10928548,-35.23288134863884,-13.683847620433689,17.375166,19.08907,16.119713,2.9693565,0.9899784,1.4873955
664286446892777472,129.2330795681583,19.599107638571414,5.331062338957814,0.050675917,-35.39953445081392,-13.41789808710948,16.02565,17.432304,14.862395,2.569909,1.0548567,1.4274122
664309296118640128,129.36607666411655,19.903459417450023,5.173299131491828,0.06268259,-35.17661667251843,-12.666639499956805,16.275467,17.778013,15.081557,2.696456,0.9907497,1.4458221
664313384927507968,129.2817275618694,19.95756730001511,5.62102457498755,0.13556565,-34.55942098846346,-12.61932121052285,17.586395,19.315987,16.30211,3.013876,1.0241818,1.5212524
664316644805338624,129.72566484274373,19.86230525889335,5.40724630218813,0.2184843,-35.95717147879236,-13.599157424468448,18.414936,20.420614,17.099281,3.321333,1.1118829,1.5284169
664352245791631488,129.04744278498524,19.877797073188624,5.421608974384824,0.034272335,-35.75654975773037,-13.432910753021241,14.780492,15.805687,13.780856,2.0248308,0.9359843,1.3390707
664380111539399552,129.11776746081492,20.228534376259375,5.354397634991167,0.0151355015,-35.12815085463503,-13.042785077201799,12.346547,12.83371,11.704664,1.1290455,0.9023219,1.2232901
664452954184200704,129.97619336998247,20.56015085360403,5.391948895189164,0.019840004,-35.58992649440682,-13.643239589313694,9.243944,9.440454,8.902309,0.5381441,0.9745048,1.1817422
664456626379853696,130.0704445246671,20.700116139473916,5.79287183463063,0.19347583,-35.28635273184591,-13.65689305041133,18.386951,20.24196,17.074432,3.1675282,0.9336188,1.5413618
664467419634169856,130.60936402571727,20.688772750683317,5.888540612830402,0.2211498,-39.91877926277877,-10.901148311622208,18.61876,20.30571,17.349886,2.955824,0.98904026,1.5077968
664509437297849856,129.86045507047857,20.862325284544482,5.313206614146726,0.17636855,-35.31983215467018,-14.799064069349278,18.211275,19.90107,16.919949,2.981121,1.0207311,1.5356938
664509987053483008,129.51013474263715,20.6211777494464,5.401618421340183,0.1958145,-35.798688908075334,-13.496894887669821,18.224903,19.989838,16.889593,3.1002445,1.0250663,1.5826348
659464122035016320,130.1421823680754,18.35912430622045,5.569575846986292,0.117995866,-36.4599033677458,-11.514551466731458,17.497032,19.252064,16.239779,3.0122852,0.981427,1.4840564
659674506713145984,129.8199582145273,18.672258477345828,4.950550850021379,0.51256526,-37.38797099191252,-12.177680739217145,19.631252,21.595716,18.297314,3.2984028,1.1328446,1.5568545
659703957305493632,129.56882481756284,18.991251981745528,5.440779202172322,0.056491964,-36.31337354158978,-12.727411466786513,16.147707,17.526947,14.980773,2.546174,1.0032848,1.4366622
659777074828577024,129.3506587768489,19.416948441605463,5.387155915718241,0.031628236,-35.02834383270567,-13.38091942856444,14.954064,16.200684,13.85115,2.349534,1.024922,1.3925084
661120162641349248,130.99678938789873,19.31607394811703,5.284605663217327,0.042586718,-35.773674154065446,-12.229563480351654,15.741193,17.076275,14.603984,2.472291,1.0257549,1.4118104
661136964553408896,130.89773015800122,19.456490742471242,5.344358666768182,0.12388756,-37.90622929512227,-12.659795811761853,17.637907,19.4422,16.367481,3.0747185,1.0341936,1.4940237
661200663212002304,130.2922016821388,19.203615501145784,5.359749991683915,0.16510628,-35.19864645731609,-13.148902349191623,18.174297,20.116535,16.83952,3.2770157,0.9770483,1.5604256
661210666194127360,129.90162381431023,19.26044026096515,5.50948022293066,0.023205927,-36.86105350666199,-13.397620079831032,13.782584,14.590558,12.90402,1.6865377,1.0240803,1.2900195
661235989321322240,130.6694946565619,19.543126999759377,5.371009788531992,0.017759532,-36.978537418188964,-12.384207127000709,9.671502,9.891746,9.299872,0.59187317,0.85943,1.1848083
661244338738048768,130.27085428351722,19.52245215143116,5.352831570763834,0.1749656,-36.6379929631344,-11.188193354576395,17.776344,17.383213,15.490857,1.8923559,1.1244205,4.4963155
661257154920147072,129.73009583155988,19.283768956561136,5.414773515906149,0.034354165,-35.58399991300074,-13.008165713174202,15.061287,16.209711,13.99735,2.2123613,0.98366714,1.3732933
661387992505550080,131.1696335575523,20.19357958481129,5.398152166530629,0.017840577,-36.678919801382555,-14.19321033114171,13.825085,14.637336,12.944854,1.692482,0.9763512,1.2901165
662867866437640704,128.7762080878059,19.94658855095432,4.931135619342502,0.2003628,-36.00059196026608,-13.197498251478027,18.375536,20.337566,17.024296,3.3132706,1.000028,1.5802245
664292459846946560,129.63665429526063,19.773718387574696,5.342660108684689,0.049806084,-34.295271131238636,-12.834309908369228,15.371006,16.559412,14.293822,2.2655897,1.085452,1.3779544
664324684984105728,129.70819688844887,20.067588056857815,5.397721759335619,0.024260145,-35.0049117337833,-13.68025431437681,10.658025,10.953721,10.198242,0.75547886,1.036737,1.1951938
664325543977630464,129.93972132859756,20.004336712005102,5.542646626331881,0.13670434,-36.66436107552471,-13.458467813349966,17.960838,17.95618,18.078901,-0.12272072,0.96336305,1.1058979
664335684397673472,129.53321188100912,20.063989989625902,5.4211104162819845,0.1172698,-36.295825071316955,-12.763297017539635,17.38806,19.111467,16.152699,2.9587688,0.9959998,1.4615618
664339910645611776,129.47720557946647,20.13668595601708,5.451592978730153,0.0450435,-34.66650743235052,-14.461260109468824,15.131703,16.28143,14.067892,2.2135372,0.9925601,1.3728602
664379974100333568,129.0907259326868,20.20541098335748,5.382145597681519,0.050773058,-35.07557976676386,-12.775515936247437,15.7102785,17.040237,14.571581,2.4686565,1.0661783,1.4144605
664446700711823616,129.93152560884477,20.494276181056385,5.482228071452034,0.061556708,-35.39838245724614,-13.231809420495763,16.504341,18.037157,15.303055,2.7341022,0.99262965,1.4494429
664506173122311936,129.8396083720857,20.758072566872393,5.507418432119247,0.017926967,-36.11023156139427,-10.575505513185497,11.719687,12.129203,11.148145,0.9810581,0.87662625,1.2099236
664513594826132480,129.64196724278838,20.774741016037026,5.234334365361457,0.107517995,-36.68293904244368,-14.117411261644751,17.31492,19.003082,16.072798,2.9302845,1.0492122,1.474663
659467871542951552,130.1292809522229,18.432214458360537,5.324816782633403,0.06055965,-34.238028718126664,-11.76312707902935,15.917646,17.2549,14.775864,2.4790363,1.1086526,1.4164519
659487039980639872,129.90047862295012,18.680228904950166,5.593990166556431,0.19075695,-35.67609878512015,-11.643935521036603,18.172274,20.068075,16.841543,3.226532,1.0295876,1.5603657
659668635494494848,129.2654407070691,18.667301036225563,5.509458536804253,0.020690085,-36.48677618561641,-13.107440854371426,13.576638,14.335979,12.729268,1.6067114,1.0666949,1.2790275
659687498990893056,129.8979079576271,18.876820119677614,5.45198153920533,0.017486112,-37.03560523487259,-12.407643620892287,10.581815,10.876499,10.127614,0.74888515,0.9408642,1.1924113
659722752082318976,129.17773145114805,18.895186493805962,5.409086612832165,0.020824175,-35.71674268734766,-11.347070193940192,13.456867,14.196793,12.618774,1.5780182,1.265957,1.2777127
659734125155723008,129.07907181255558,18.91897963011607,5.531510883283449,0.05483296,-36.587598025835035,-13.449346821292455,15.913212,17.266863,14.756545,2.5103178,0.995411,1.4299105
660944717521395840,131.07094359218942,18.736555519419955,5.429878287258102,0.020611279,-35.980746277609285,-11.630466723290638,12.072134,12.520891,11.461147,1.0597439,1.2665277,1.2186321
661224547528488064,130.36484263843417,19.277544940918045,5.5749289165135645,0.04374725,-34.89764589739097,-11.894755532824266,15.0926695,16.272945,14.01037,2.2625751,1.3683101,1.3851396
661228739416624384,130.6235006633485,19.33119367699162,5.019042508891858,0.16090895,-34.92644607955889,-12.007992465491219,18.166243,20.039238,16.881227,3.1580105,1.0429488,1.503935
661251210685333120,130.33502205951962,19.62284551002534,5.39670766781196,0.026864665,-36.464596733700986,-12.897370810186366,15.02115,16.127575,13.9762745,2.1513004,1.010808,1.3637074
661257704675956480,129.8134354095139,19.286474302030044,5.468482705539899,0.047619462,-34.83262548566356,-12.691787378808844,15.638341,16.905645,14.515759,2.389886,0.9870553,1.4094161
661274536650547072,129.56062014632005,19.430915018693604,5.63256905351264,0.89420766,-35.202133654246865,-12.582406706077663,20.372736,21.290009,18.915356,2.3746529,1.0350596,1.9228258
661283199601699328,129.72290595567327,19.57132043916701,5.454094805295824,0.022233926,-35.92156853886999,-13.271763830538099,13.639209,14.405775,12.787073,1.6187019,0.9889895,1.2806783
661297458893183232,130.13109498298473,19.69523656918572,5.532331901487464,0.030120503,-37.37909922672931,-12.5210687274527,14.405758,15.443703,13.395936,2.0477667,1.2689996,1.3457392
661298897704486912,130.05433186394734,19.763825200720262,5.089770843982492,0.20406838,-36.79289809864984,-12.656655023591034,18.415886,20.32801,17.104813,3.223198,1.0127485,1.5327524
661319547906688896,130.2284678024781,19.935115211205883,5.521725771871987,0.017106885,-37.04191163285828,-13.913563992379556,11.869694,12.298567,11.281311,1.0172558,0.9864832,1.2122731
661333708415842304,130.78411373086348,19.71314841100929,5.209479191433093,0.021098534,-35.175128331610075,-12.980495954514389,12.9349,13.5352335,12.202102,1.3331318,1.0213798,1.2438601
661356488922418944,130.71025866043723,19.917635264106252,5.289912249278289,0.059142455,-36.71025130582699,-12.506370504700813,16.332142,17.79519,15.148766,2.6464252,0.9801222,1.4403522
661394525152691840,131.1435384318518,20.34148147784301,5.437381456213539,0.076112285,-37.00915726109618,-12.868031069094933,17.021366,18.605864,15.80327,2.8025932,0.9651836,1.461085
661409609077800960,130.56919958815323,20.092311937970255,5.36201912300484,0.023114435,-35.280405361415134,-12.502356433244255,13.685377,14.463464,12.8238,1.6396637,1.0208546,1.2849592
661418405170762368,130.224723753255,20.09005262881063,5.4620404597975805,0.06653487,-37.108885436067986,-12.776653852109355,16.552881,18.007599,15.369999,2.6376,1.1176835,1.4412328
662794169095142912,128.83086252999053,19.59000897460693,5.353842285304585,0.025770428,-34.55415693553827,-12.390916598093373,6.4156747,6.7530313,5.903957,0.84907436,0.9783172,1.2059002
664281396011231744,129.38496719173872,19.521606295595998,5.360287750671979,0.036429428,-34.33064677990803,-13.572713984314788,15.258238,16.473196,14.15884,2.3143559,1.03541,1.3955559
664329190407201280,129.99305025274376,20.1581856469881,5.377234203355296,0.020078113,-37.38932126151186,-13.894370077622494,8.833936,8.984705,8.553708,0.4309969,0.9148328,1.1760751
664330839674663296,129.7716350011842,20.117109988958045,5.465434861094789,0.0186399,-35.913395570488134,-12.907079950492474,9.296399,9.492373,8.952789,0.53958416,0.8620509,1.1830904
664352761187716352,128.94471420446288,19.870863105234093,5.798217556531467,0.02156768,-38.4240545806679,-13.921712665962769,13.98608,14.874761,13.054623,1.820138,1.0542828,1.3125337
664353757620109440,129.12691910076086,19.92048418539474,5.328779189602465,0.17096512,-35.48537178937878,-13.254319856263969,18.028818,19.900084,16.723791,3.1762924,1.0279372,1.5297126
664366779961036288,129.1903416279573,20.123888269554776,5.38600821515821,0.024356704,-34.43796026265015,-13.36709908352776,11.471399,11.849038,10.934117,0.9149208,1.0734861,1.2026078
664396294976119680,129.6055574848442,20.35576641611227,5.7156063225140255,0.18777436,-36.20326800841377,-13.73321644112457,18.071062,19.975367,16.800085,3.1752815,0.9984006,1.4825995
659689109602230272,129.87779287355113,18.94809914502876,5.151487351903919,0.14597827,-36.24103162771522,-12.213156844404448,17.823036,19.497833,16.541006,2.9568272,1.0021971,1.5260333
659768102641215744,129.20189401980068,19.257354323596,5.4452335641086504,0.019302392,-35.5499906649718,-13.427665280618918,13.364043,14.070278,12.548702,1.5215759,0.97753936,1.2703873
659774394768991744,129.20380462259396,19.3164216600242,5.530746978513441,0.045134395,-37.11989538642942,-13.50137247486235,15.46221,16.768456,14.32866,2.4397955,1.0932552,1.4134824
660917921221670400,130.80364907875733,18.530718597454754,5.544297499365648,0.0463374,-38.0066792609087,-11.962854546184058,15.837771,17.181826,14.695301,2.4865246,1.0273969,1.4158938
660957980380034688,130.950455233262,18.80069656597597,5.404358939561922,0.018856004,-36.14170093629916,-11.777042151533395,9.983771,10.225441,9.585445,0.6399956,1.1790738,1.1879942
661202282418030080,130.26293363449776,19.30249859042904,5.281419545912709,0.22212525,-36.51674964819426,-12.686758227046765,18.333616,20.274273,17.000866,3.273407,1.0375109,1.5579152
661279042073291776,129.4574574932498,19.51405260462688,5.418296385734038,0.034081046,-35.385992954781,-12.765264275100396,15.009888,16.120424,13.962742,2.1576824,1.0297942,1.3650242
661292511090872960,130.1768363161645,19.565948691578974,5.383661986019163,0.021729957,-35.90218162180123,-13.0329918832714,11.173428,11.523209,10.663594,0.8596144,1.0787914,1.1986824
661311443306610688,129.92755273931903,19.778396997311283,5.487587613506006,0.03627217,-36.75742924630642,-12.92865704954437,6.6092005,6.725384,6.3758082,0.349576,1.1175162,1.1735007
661353224747229184,130.7177861599574,19.853050837979428,5.500195935183925,0.13695715,-36.9001958941608,-13.236607203480041,17.857624,17.822388,18.000525,-0.17813683,1.0210094,1.1181651
661413800965826688,130.22454175028702,19.998626303421474,5.387433072663144,0.06688515,-36.10637059034248,-12.84958130736656,16.58389,17.97287,15.352819,2.6200504,1.0606885,1.5098773
