SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dist_pc
206196024061774976,74.23622817534732,44.65385921445495,10.30300549576289,0.013748375,9.050376,0.68574524,97.05905722473408
208396456066072704,78.74394679612895,44.52598011222102,23.764109489977574,0.014052959,9.960061,1.3404865,42.08026395526188
209181816604802048,81.97981739676247,46.510995239714894,11.969280317857041,0.020723958,9.709215,0.81420326,83.54721198300402
230712178425110400,61.04303795460759,42.52801498479241,16.802353887703298,0.18913451,8.081226,0.6415582,59.51547067056146
233067469771290624,60.97752572074893,43.643014788507166,13.669933578973092,0.01824768,8.687622,0.7393694,73.15324498271056
237507744398899200,54.73713542273923,42.53770546378468,22.195418758283854,0.65455884,6.597098,0.76108456,45.054342560073415
237678787173919488,52.02647965674368,41.34557970202857,12.354396145546483,0.020496748,9.851902,0.951766,80.9428472439327
253360296891558656,66.95073788764441,44.05688194552352,10.899055371247426,0.08035333,9.387407,0.85117054,91.75107070637327
265090711565770624,85.14623390016797,55.098658124272866,12.497422359027643,0.025597675,7.9731874,0.59073687,80.01650030477201
268560495385196544,86.80874599857673,56.51026512906466,12.835365798073093,0.013685603,9.756663,0.96315,77.90973905473928
272424076168729088,66.57398425060849,53.601508934924524,14.469619191554111,0.025361855,8.471627,0.73827267,69.1103191287645
273659171323222272,69.57908683786735,53.78408125156383,10.19455218131152,0.04126706,8.776409,0.69270897,98.09160640064043
285928759014734592,78.37983319696338,62.69113814616304,12.161708471004795,0.024508558,6.456713,0.27897263,82.2252895129117
333112410735588608,32.955320622043985,40.71256573426754,24.28905999648188,0.021226095,8.737712,1.011383,41.17079871122406
336292267081867648,43.95712568674408,41.42613403748479,12.94436084882145,0.01922687,9.855437,0.9478941,77.25371779102151
336538454607430016,43.56004532742988,42.588420745450975,33.51329404489213,0.20599082,6.76056,0.6801853,29.83890508227774
340028235795364864,39.25773057928465,42.06244688260417,16.667033294093233,0.02789129,7.1434135,0.77686644,59.998680170297504
340322213422961792,38.28952866012911,42.89590634117248,12.284329285091468,0.022601139,6.9737725,0.8839903,81.40452578177157
341155407011961344,37.66379896333316,43.679232443054424,14.163365408712032,0.031959325,7.592385,0.79569674,70.60468830274546
345530535577554432,32.1708319428302,42.16273823405017,11.655771716370099,0.07239555,7.59889,0.56107473,85.79440506676508
350664155368182656,24.901464121306226,45.876760727613814,47.5820527427492,0.024657173,6.449255,0.8448658,21.016327425100112
