radius_px,mean_intensity,median_intensity
6.3593493638963166,0.7142069501067753,0.6784313725490196
19.07804809168895,0.41896026831785343,0.41568627450980394
31.796746819481584,0.2755424426824021,0.27058823529411763
44.51544554727421,0.19958919014944598,0.19215686274509805
57.23414427506685,0.15683712509394,0.14901960784313725
69.95284300285948,0.12741854166422398,0.11764705882352941
82.67154173065211,0.11061587630646973,0.10196078431372549
95.39024045844475,0.09462067912798523,0.08627450980392157
108.10893918623738,0.08752581458463812,0.08235294117647059
120.82763791403002,0.07898109190750245,0.07450980392156863
133.54633664182265,0.07435961618690029,0.07058823529411765
146.26503536961528,0.07184540614404866,0.06666666666666667
158.9837340974079,0.06889075282934004,0.06666666666666667
171.70243282520056,0.06858327783080082,0.06274509803921569
184.4211315529932,0.06733021685495388,0.06274509803921569
197.13983028078582,0.06861334167622622,0.058823529411764705
209.85852900857844,0.0652809602381938,0.058823529411764705
222.57722773637107,0.06230166715108696,0.058823529411764705
235.2959264641637,0.06064439598656086,0.058823529411764705
248.01462519195636,0.06241201663039968,0.058823529411764705
260.73332391974895,0.059469305418727185,0.054901960784313725
273.45202264754164,0.06230399180847311,0.054901960784313725
286.1707213753342,0.058652611421080185,0.054901960784313725
298.8894201031269,0.0584745043369171,0.054901960784313725
311.60811883091947,0.05878033419166417,0.054901960784313725
324.32681755871215,0.05835524656892764,0.054901960784313725
337.0455162865048,0.0586765774976966,0.054901960784313725
349.7642150142974,0.05874223134428231,0.054901960784313725
362.4829137420901,0.0574393174629842,0.054901960784313725
375.20161246988266,0.059182362686975507,0.054901960784313725
387.92031119767535,0.05844043092305288,0.054901960784313725
400.6390099254679,0.05995204796982313,0.054901960784313725
413.3577086532606,0.05910986480279752,0.054901960784313725
426.0764073810532,0.05812820391737108,0.054901960784313725
438.79510610884586,0.05792365107482635,0.054901960784313725
451.5138048366384,0.057461791247196296,0.054901960784313725
464.2325035644311,0.05635235825863308,0.054901960784313725
476.95120229222374,0.05631123811919351,0.054901960784313725
489.66990102001637,0.05468734638284811,0.054901960784313725
502.38859974780905,0.05725333372539218,0.054901960784313725
515.1072984756016,0.058316765079602366,0.054901960784313725
527.8259972033943,0.05712583575553818,0.050980392156862744
540.5446959311869,0.05643052505874649,0.050980392156862744
553.2633946589796,0.05481103783892691,0.054901960784313725
565.9820933867722,0.05070756011320962,0.050980392156862744
578.7007921145648,0.05255041966804573,0.050980392156862744
591.4194908423574,0.053909307754285735,0.054901960784313725
604.1381895701501,0.05349700468188865,0.054901960784313725
616.8568882979428,0.05457643066921389,0.054901960784313725
629.5755870257353,0.0600595252954768,0.054901960784313725
642.2942857535279,0.05528394012006906,0.054901960784313725
655.0129844813206,0.05277295700889051,0.058823529411764705
667.7316832091133,0.053494777605061494,0.058823529411764705
680.4503819369058,0.05187074259253046,0.058823529411764705
693.1690806646985,0.05078417049800197,0.058823529411764705
705.8877793924912,0.04876973278066849,0.058823529411764705
718.6064781202838,0.049179578591343295,0.06274509803921569
731.3251768480764,0.059360905863160916,0.06274509803921569
744.043875575869,0.06556111806424697,0.06666666666666667
