bins_per_axis,occupied_cells,rho_count_weight,p_count_weight,rho_count_mu,p_count_mu
5,19,0.47543859649122805,0.03965504280787837,0.5350877192982456,0.018239096545756575
6,25,0.5638461538461538,0.003330447346192969,0.3915384615384615,0.05292335986650777
7,34,0.4237469487128291,0.012512386731008858,0.42496944261463315,0.012233808200657371
8,41,0.5661889668067951,0.00011410131861296362,0.3922986486430218,0.011185178488157626
9,49,0.5050520619608991,0.00021474049627951368,0.3892631230309931,0.005701706301398104
