fit_half_width_pix,x_center,y_center,offset_arcsec
18,131.15964080112903,132.8243896119909,3.0194619179250406
22,131.1589389942582,132.8245715750755,3.019352328955447
26,131.15822850994587,132.8245059914297,3.0191556433900484
30,131.15763595978947,132.82440324536518,3.0189751206477027
