SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_good_obs_al,dist_pc
142375077782724480,44.42347633197384,37.835788772461456,18.81432743448031,0.045522902,11.425895,1.8682756,2.926361,0.33684662,153.60005,215,53.15098312615404
142695654141786624,46.88353502474499,39.08658066904224,10.036571337283274,0.029538557,7.746903,0.49299002,1.0958902,0.16370177,15.542429,227,99.63561921642085
206336933349295744,72.71641931203732,44.66443567815925,12.508807833700656,0.022665367,10.482409,1.0544863,1.4567889,0.16561526,39.142708,374,79.94366955625027
211030920283717888,86.62422470514227,49.125967032714534,10.035703993022475,0.02209439,7.830771,0.522326,0.9237284,0.11735365,11.888812,533,99.6442303096295
211717187341633536,79.2984737617964,45.827120446558524,10.286491449273402,0.019093707,8.614125,0.6018429,0.94003594,0.095426135,10.670265,304,97.21487690252599
211878093995379456,80.45949058824331,46.7818538571815,12.139674061689576,0.014756434,10.699858,1.1141615,1.0242382,0.066940874,5.514888,273,82.37453451537084
212255157762755712,80.76304796630887,46.986406436582236,22.26875290653795,0.03294926,7.9691067,0.9065051,1.0902582,0.1480452,12.629852,254,44.90597224716643
212401697750158208,82.70319171210869,47.90736857373721,10.68709532736712,0.022896096,8.354087,0.62866306,1.1079661,0.13879591,16.944893,388,93.5707944364674
212423520480513280,83.37069724684658,48.15728791982465,30.270081270252494,0.018488009,10.787732,1.8994122,0.99385315,0.08027953,10.400668,552,33.035920553762644
225130542004110208,55.7806196197565,40.993612220475875,10.122967871762219,0.025138453,7.895476,0.47994375,0.940143,0.13296504,12.649008,371,98.78525869764701
231176374189803904,56.71970958505095,41.85959247412042,16.090620236447684,0.027367707,8.174502,0.74460506,0.98424864,0.14565809,13.110697,345,62.148008299571266
235042394511771008,51.47048248170255,38.24257387929827,12.120905447867232,0.02939227,7.829873,0.5356827,0.83703256,0.104947865,8.171854,399,82.50208734826471
235150906861858688,51.464059793160935,39.02823662795866,12.200827470869818,0.017795313,9.545352,0.8482046,1.073413,0.08156086,9.778261,280,81.96165402613535
