catalogue,source_id,parallax_mas,parallax_error_mas,identity
Hipparcos I/311/hip2,HIP 32349,379.21,1.58,source-checked Sirius
Gaia DR3 cone result,2947050466531873024,374.4895885,0.2,brightest returned row; not assumed to be Sirius
