phase,rv_keplerian_m_s,rv_circular_m_s
0.0,205.0,205.0
0.001669449081803005,204.98872215879658,204.98872215879658
0.00333889816360601,204.95488987606143,204.95488987606143
0.005008347245409015,204.89850687428344,204.89850687428344
0.00667779632721202,204.81957935715576,204.81957935715576
0.008347245409015025,204.718116008893,204.718116008893
0.01001669449081803,204.59412799327595,204.59412799327595
0.011686143572621035,204.44762895242317,204.44762895242317
0.01335559265442404,204.27863500528997,204.27863500528997
0.015025041736227046,204.08716474589488,204.08716474589488
0.01669449081803005,203.8732392412738,203.8732392412738
0.018363939899833055,203.6368820291621,203.6368820291621
0.02003338898163606,203.37811911540467,203.37811911540467
0.021702838063439065,203.09697897109467,203.09697897109467
0.02337228714524207,202.79349252944098,202.79349252944098
0.025041736227045076,202.46769318236446,202.46769318236446
0.02671118530884808,202.1196167768242,202.1196167768242
0.028380634390651086,201.74930161087312,201.74930161087312
0.03005008347245409,201.35678842944426,201.35678842944426
0.03171953255425709,200.94212041986773,200.94212041986773
0.0333889816360601,200.50534320711876,200.50534320711876
0.035058430717863104,200.04650484879775,200.04650484879775
0.03672787979966611,199.5656558298428,199.5656558298428
0.038397328881469114,199.06284905697456,199.06284905697456
0.04006677796327212,198.5381398528754,198.5381398528754
0.041736227045075125,197.99158595010226,197.99158595010226
0.04340567612687813,197.4232474847344,197.4232474847344
0.045075125208681135,196.83318698975677,196.83318698975677
0.04674457429048414,196.2214693881798,196.2214693881798
0.048414023372287146,195.58816198589585,195.58816198589585
0.05008347245409015,194.93333446427386,194.93333446427386
0.05175292153589316,194.25705887249245,194.25705887249245
0.05342237061769616,193.55940961961238,193.55940961961238
0.05509181969949917,192.8404634663897,192.8404634663897
0.05676126878130217,192.10029951682975,192.10029951682975
0.05843071786310518,191.33899920948363,191.33899920948363
0.06010016694490818,190.55664630848767,190.55664630848767
0.06176961602671119,189.75332689434708,189.75332689434708
0.06343906510851419,188.92912935446466,188.92912935446466
0.0651085141903172,188.08414437341577,188.0841443734158
0.0667779632721202,187.21846492297053,187.21846492297053
0.06844741235392321,186.3321862518643,186.3321862518643
0.07011686143572621,185.42540587531775,185.42540587531775
0.07178631051752922,184.49822356430732,184.49822356430732
0.07345575959933222,183.5507413345879,183.5507413345879
0.07512520868113523,182.58306343546803,182.58306343546803
0.07679465776293823,181.5952963383398,181.5952963383398
0.07846410684474124,180.5875487249638,180.5875487249638
0.08013355592654424,179.55993147551132,179.55993147551132
0.08180300500834725,178.51255765636446,178.51255765636446
0.08347245409015025,177.44554250767544,177.44554250767547
0.08514190317195326,176.35900343068735,176.35900343068735
0.08681135225375626,175.25305997481644,175.25305997481644
0.08848080133555927,174.12783382449857,174.1278338244986
0.09015025041736227,172.98344878580056,172.98344878580056
0.09181969949916528,171.82003077279785,171.82003077279785
0.09348914858096828,170.63770779372078,170.63770779372078
0.0951585976627713,169.43660993686987,169.43660993686987
0.09682804674457429,168.21686935630274,168.21686935630274
0.0984974958263773,166.97862025729327,166.97862025729327
0.1001669449081803,165.72199888156547,165.72199888156547
0.10183639398998331,164.447143492303,164.447143492303
0.10350584307178631,163.1541943589365,163.1541943589365
0.10517529215358933,161.84329374171,161.84329374171
0.10684474123539232,160.51458587602826,160.51458587602826
0.10851419031719532,159.16821695658703,159.16821695658703
0.11018363939899833,157.8043351212876,157.8043351212876
0.11185308848080133,156.42309043493734,156.42309043493734
0.11352253756260434,155.02463487273852,155.02463487273852
0.11519198664440734,153.6091223035669,153.6091223035669
0.11686143572621036,152.1767084730417,152.1767084730417
0.11853088480801335,150.72755098638953,150.7275509863895
0.12020033388981637,149.26180929110308,149.26180929110308
0.12186978297161936,147.77964465939795,147.77964465939795
0.12353923205342238,146.28122017046772,146.28122017046772
0.12520868113522537,144.76670069254115,144.76670069254115
0.12687813021702837,143.23625286474186,143.23625286474186
0.1285475792988314,141.69004507875343,141.69004507875343
0.1302170283806344,140.12824746029182,140.12824746029182
0.1318864774624374,138.55103185038655,138.55103185038655
0.1335559265442404,136.95857178647367,136.95857178647367
0.13522537562604342,135.3510424833017,135.3510424833017
0.13689482470784642,133.7286208136532,133.7286208136532
0.13856427378964942,132.09148528888386,132.09148528888386
0.14023372287145242,130.43981603928117,130.43981603928117
0.14190317195325544,128.77379479424533,128.77379479424533
0.14357262103505844,127.0936048622939,127.0936048622939
0.14524207011686144,125.39943111089264,125.39943111089264
0.14691151919866444,123.69145994611507,123.69145994611507
0.14858096828046746,121.96987929213267,121.96987929213267
0.15025041736227046,120.23487857053803,120.23487857053803
0.15191986644407346,118.48664867950305,118.48664867950306
0.15358931552587646,116.72538197277511,116.72538197277511
0.15525876460767948,114.95127223851246,114.95127223851246
0.15692821368948248,113.16451467796267,113.16451467796267
0.15859766277128548,111.36530588398455,111.36530588398455
0.16026711185308848,109.55384381941785,109.55384381941785
0.16193656093489148,107.73032779530168,107.73032779530168
0.1636060100166945,105.89495844894483,105.89495844894483
0.1652754590984975,104.04793772185012,104.04793772185012
0.1669449081803005,102.18946883749518,102.18946883749518
0.1686143572621035,100.31975627897235,100.31975627897235
0.17028380634390652,98.4390057664897,98.43900576648964
0.17195325542570952,96.54742423473617,96.54742423473617
0.17362270450751252,94.64521981011325,94.64521981011325
0.17529215358931552,92.73260178783488,92.73260178783488
0.17696160267111855,90.80978060889946,90.80978060889946
0.17863105175292154,88.87696783693553,88.87696783693553
0.18030050083472454,86.93437613492381,86.93437613492377
0.18196994991652754,84.98221924179812,84.98221924179812
0.18363939899833057,83.02071194892878,83.02071194892878
0.18530884808013356,81.05007007648919,81.05007007648919
0.18697829716193656,79.07051044970959,79.07051044970959
0.18864774624373956,77.08225087502048,77.08225087502048
0.1903171953255426,75.0855101160877,75.0855101160877
0.19198664440734559,73.0805078697426,73.0805078697426
0.19365609348914858,71.06746474180899,71.06746474180899
0.19532554257095158,69.04660222283061,69.04660222283061
0.1969949916527546,67.01814266370097,67.01814266370097
0.1986644407345576,64.98230925119854,64.98230925119854
0.2003338898163606,62.9393259834301,62.9393259834301
0.2020033388981636,60.88941764518465,60.88941764518465
0.20367278797996663,58.83280978320091,58.83280978320091
0.20534223706176963,56.76972868135099,56.76972868135099
0.20701168614357263,54.70040133574273,54.70040133574273
0.20868113522537562,52.625055429744,52.62505542974396
0.21035058430717865,50.543919308930946,50.543919308930946
0.21202003338898165,48.45722195596414,48.45722195596414
0.21368948247078465,46.365192965393625,46.365192965393625
0.21535893155258765,44.26806251839746,44.26806251839746
0.21702838063439064,42.166061357455234,42.166061357455284
0.21869782971619367,40.05942076096024,40.05942076096024
0.22036727879799667,37.94837251777214,37.94837251777214
0.22203672787979967,35.833148901713955,35.833148901713955
0.22370617696160267,33.713982646015445,33.713982646015445
0.2253756260434057,31.591106917706046,31.591106917706046
0.2270450751252087,29.46475529195997,29.46475529195997
0.2287145242070117,27.33516172639653,27.33516172639653
0.2303839732888147,25.202560535338254,25.202560535338254
0.2320534223706177,23.067186364029812,23.067186364029812
0.2337228714524207,20.929274162820697,20.929274162820697
0.2353923205342237,18.78905916131391,18.78905916131391
0.2370617696160267,16.646776842484364,16.646776842484364
0.23873121869782973,14.502662916769127,14.502662916769127
0.24040066777963273,12.356953296132936,12.356953296132936
0.24207011686143573,10.209884068111114,10.209884068111114
0.24373956594323873,8.061691469833388,8.061691469833388
0.24540901502504175,5.912611862031442,5.912611862031442
