time_tbjd,fitted_amplitude
1683.8564705189142,2.4650829638137894
1684.8564705189142,2.4138522307091788
1685.8564705189142,2.5445867095113974
1686.8564705189142,2.1038520940936687
1687.8564705189142,2.2617217531246405
1688.8564705189142,2.538012213209862
1689.8564705189142,2.5559997003537247
1690.8564705189142,2.137797627854117
1691.8564705189142,2.34409377949291
1692.8564705189142,2.5304397459463304
1693.8564705189142,2.491077946005647
1694.8564705189142,2.301376028766787
1695.8564705189142,2.178693465070417
1697.8564705189142,2.331186319604511
1698.8564705189142,2.5418541145690545
1699.8564705189142,2.311383186554326
1700.8564705189142,2.5526286880147193
1701.8564705189142,2.538419639099703
1702.8564705189142,2.6940317657234703
1703.8564705189142,2.2113291520365155
1704.8564705189142,2.435036841151052
1705.8564705189142,2.6662613174466205
1706.8564705189142,2.6071663761286197
1707.8564705189142,2.224446680332883
1708.8564705189142,2.4424512508088636
1709.8564705189142,2.8905438581007252
2390.856470518914,2.23280639864562
2391.856470518914,1.918377933844296
2392.856470518914,2.0314338188528414
2393.856470518914,2.0260243628945247
2394.856470518914,1.981819475910522
2395.856470518914,1.7965676058795554
2396.856470518914,1.8587213610516948
2397.856470518914,1.5388788336078527
2398.856470518914,2.098881311737037
2399.856470518914,1.7553016600909774
2400.856470518914,1.8604593392796873
2401.856470518914,2.085732009914995
2402.856470518914,2.161570214609349
2403.856470518914,1.690542174077732
2405.856470518914,2.0387185128625482
2406.856470518914,1.9647135317566984
2407.856470518914,1.8602458067184295
2408.856470518914,1.8281438242972599
2409.856470518914,2.1149801179377166
2410.856470518914,2.0986650003115135
2411.856470518914,2.2135749999973697
2412.856470518914,1.7419970474306927
2413.856470518914,1.9077052213641765
2414.856470518914,1.9947552750207722
2415.856470518914,2.053320321901909
2416.856470518914,1.7041197362175187
2417.856470518914,1.8390333194297788
2418.856470518914,2.18280907954993
2419.856470518914,2.9867821833138146
2420.856470518914,2.2080052182040553
2421.856470518914,2.296143025883625
2422.856470518914,2.5400258205958974
2423.856470518914,2.4065688599317294
2424.856470518914,2.2318194159132165
2425.856470518914,2.3352559978435528
2426.856470518914,2.5193862332896892
2427.856470518914,2.382164733933724
2428.856470518914,2.394138472819789
2429.856470518914,2.1098436134441387
2430.856470518914,2.425561446865763
2431.856470518914,2.403304156547119
2432.856470518914,0.9757795791075756
2433.856470518914,2.7001020586550974
2434.856470518914,2.3911543722601563
2435.856470518914,2.5352034017985434
2436.856470518914,2.5300722601148866
2437.856470518914,2.1873728517432216
2438.856470518914,2.3915688378950457
2439.856470518914,2.554613821246904
2440.856470518914,2.505772111040208
2441.856470518914,2.3059413015332195
2442.856470518914,2.377809158018977
2443.856470518914,2.7060067757797586
2444.856470518914,2.5094138133347537
2445.856470518914,2.5039283005639588
2446.856470518914,2.177638221317359
