SOURCE_ID,ra,dec,parallax,parallax_error,pmra,pmdec,radial_velocity,radial_velocity_error,phot_g_mean_mag,bp_rp,ruwe,U,V,W,uvw_dist_from_hyades
1452083298377571072,208.29222105253172,28.64826005195218,13.599338841126595,0.034839764,-122.34368000475058,28.79272439015815,-14.74425,0.14808099,5.8875537,0.26018953,1.0028933,51.83804200765915,-9.172146138862962,2.9144387275587453,4.073004289593573
6224884741352794368,226.16309514201265,-27.069391899702655,8.656111219300676,0.022481391,-61.94774480262705,-18.77142552819496,-29.2625,0.37722865,8.62498,0.6024809,1.0980184,52.82620507843432,-6.537516177857226,2.8647292687249877,3.2308118819745983
4407591852581969792,246.9182293356671,0.23540870357531962,11.357421276914865,0.040216714,-47.213416753758715,16.19433054863013,-36.623043,0.16044691,8.482966,0.96216345,0.8586719,50.28845619077634,-3.116035717522603,5.31737405587751,4.868615399963195
2325690465406097280,355.16082490610233,-31.913966245686083,12.161681945843338,0.021426965,115.87160307918808,-9.068970769189312,-13.613841,0.1655556,8.4837265,0.657979,1.0378742,52.902900714481454,-9.875533511582189,8.325604026602198,3.717975243321228
1543256280023747200,192.1737497586245,48.466889513010194,6.82082351745345,0.030363176,-64.14537767225222,11.025370876138162,5.279057,3.3398175,6.234387,0.24025774,1.1409954,53.549150852175906,-4.172950514667905,8.90417964109459,4.001111343617116
5667509552402277504,151.35105494034264,-21.080503167523325,8.33458773146476,0.016230024,-66.31001475135128,30.658781517624657,22.910805,0.21679407,9.1245165,0.6500797,1.0548799,55.13355956128789,-5.435984717563942,7.094148798886023,2.6733612827437776
1987549859159314432,335.3522139392329,48.06617451809093,9.53608135476144,0.012725821,74.78605414982705,41.89808464440312,-12.382163,0.3094665,9.206891,0.7339134,0.9882683,51.213975527950616,-6.697282016478839,6.032118555755721,1.998720817375099
2828462055789613440,343.9321381431321,15.779494860420684,15.184781833821646,0.020451594,127.4791491745193,32.4431552767778,-15.730347,0.44420946,9.511263,0.94982433,1.1326224,51.1347125509242,-5.941561116651007,6.548361894809869,2.3499540182200263
5173323812095777408,42.40542669046097,-9.525436979833303,8.576978091413684,0.023200385,68.444657824302,15.263814466950672,23.35096,0.15480061,8.417729,0.696826,0.86281943,51.62997907736678,-7.877831405193293,6.972665171472942,2.0412636235869033
5404964317653579264,150.79309120456924,-52.046095171344724,7.512237311056782,0.031677395,-57.3570957300464,38.40526778631218,16.069628,0.43833882,7.3269873,0.27023888,0.96032405,51.71248170437914,-10.215162354150126,5.842170413251378,3.5905575244570547
4038629667681805824,271.39882565553546,-36.75510686303652,9.33128876279217,0.034294635,-13.71201361271824,-44.555405975928835,-36.206886,0.45130357,7.599332,0.37677383,0.8894758,49.377556000789994,-7.924537678570152,7.41101775144184,4.169938460475843
3321943971216932096,90.26227431248806,6.8616738632498135,14.182021172687449,0.017491926,16.045737009878767,0.45401160583057676,47.213196,0.2740448,9.570932,0.9479532,1.0597724,54.500653522637016,-7.022235909748238,5.454210529770083,1.4345842489146756
2981103853463479040,72.5486128794344,-16.216927087167644,13.642600184265632,0.07610331,45.851327022687656,52.38479504945131,39.79709,0.118857525,4.769715,1.1476741,1.382725,54.30746906234607,-4.59912594242922,2.9452391791585635,4.048954141051578
3823126385045210880,149.02436209004057,-3.8083519514653648,9.678276495003226,0.01963038,-66.939099866498,16.17798973012978,30.796553,0.19302088,8.599298,0.75987244,0.9997092,51.994812284682986,-7.94509933066597,9.77781820107107,4.043015222408008
697659682813059456,143.86923682936205,31.081655200148923,13.382090757540297,0.04575134,-87.94312642734332,-34.558817737580526,27.28638,0.1342621,7.920796,0.5997076,0.9477588,49.80196618808877,-6.8207980584630565,5.309163159724871,3.47619973685411
2986593268342544768,78.15056963898566,-14.950973186483042,9.497435939297182,0.018845784,32.95791081217225,30.989923044448386,36.362675,0.11842108,7.026162,1.1546144,1.0174987,49.74210994591248,-6.124662684028687,8.532462732928508,4.334948846165424
4353963864430211840,248.93513181496968,-5.253122846132714,12.251917293591696,0.01878982,-60.30851612759772,9.661922610590308,-43.470104,0.15895769,9.809515,0.94927883,1.064575,56.80772013153203,-6.696165551212415,6.66353520211557,3.6724874379546546
26259120810103552,37.23837335952837,12.003498510815758,10.65647266193185,0.03562237,85.3244812448304,-2.4608999744859275,24.946146,3.8282409,7.9727345,0.64234304,1.1754808,52.31819221768319,-6.416515512979311,3.106392139118757,3.1156661847459324
2865290850598908928,355.9733055052225,27.71139811290161,11.149674466556622,0.015076125,105.08154216203658,29.468268402679797,-7.3625193,0.18645194,9.666071,0.8869848,0.88411224,53.9900520007261,-6.776459564642936,9.709326237372302,3.751074955119931
6506696546578716288,339.86388806259674,-54.69283763676232,15.437600614263578,0.013517182,134.97385147708985,-37.062883680115505,-15.716546,0.21280533,9.144558,0.92298794,1.0701797,53.47181446224144,-4.68852092467346,3.724210423003335,3.255218332954544
3479962724343616256,177.73961025050903,-29.87068824909561,14.720989248172609,0.015415812,-144.86440097553873,14.43664140217241,1.8757125,0.19306812,9.724068,1.0096693,0.89473104,53.332725780036846,-7.287659415188427,1.219648137056362,4.841318938601472
2943745884326450816,96.79612749948679,-17.663540537552265,9.587941843943478,0.023376891,-2.7758769235132026,43.079579016775845,45.512375,0.15743272,8.125355,0.55607843,1.1227152,57.348114739750464,-7.237758073198206,4.308328845434271,4.510347354337556
2998766575752095488,88.29715522930296,-11.6045269756087,12.926590171947694,0.024470188,21.658900376124144,42.252760064452,44.54262,0.17176172,8.351332,0.6860647,1.134808,54.769676008834715,-7.24267075703508,6.466217694842871,1.6538705290994071
