SOURCE_ID,ra,dec,parallax,parallax_error,pmra,pmdec,radial_velocity,radial_velocity_error,phot_g_mean_mag,bp_rp,ruwe
3307489031146701696,68.36303444839065,13.045385968619557,23.33351117890057,0.023695556,110.45561302533069,-21.440963919172606,40.491184,0.6211079,12.256755,2.342475,1.363789
3312904233289409152,67.25111621738195,16.346213879024717,21.632519360189345,0.018340891,105.1068878388032,-27.317100539736167,30.467758,3.4122357,13.074519,2.6452227,1.2212473
3314212068010812032,67.37695672528574,17.863022648846673,21.438554423234333,0.022946548,106.1192327332723,-32.02855957789507,39.4514,0.14945818,6.797135,0.60004234,0.9934814
3314294771901304192,68.48159725897497,18.38062040059367,21.587850129123968,0.031458754,103.7944137257437,-32.46346394321611,41.261585,2.8142967,14.972231,3.0574532,1.0239731
3410505784542875008,69.72843914206969,19.18206486939419,20.064564960840617,0.02156436,92.78665865775895,-34.55281295070087,36.6111,4.9000316,12.897306,2.501134,1.1117162
3310814886318365568,66.13187780097878,13.928549141036688,21.993423194312864,0.039120864,113.07056240121685,-18.252254939822112,41.76742,6.489807,15.081756,3.1072779,1.2444993
3314109916508904064,67.20174925382867,17.285341899758865,21.5489076022758,0.022407819,108.67985266985403,-28.446330982590844,39.081123,0.12905292,7.7025585,0.7695646,0.99831164
3314597408180024960,66.9971739315349,18.75895052871627,19.12817304877517,0.023379557,94.52775529815136,-27.9373293393555,37.479538,3.5555418,12.942235,2.7030401,1.0694257
47813504381625088,64.35533003429076,19.029775860591062,20.898529760702317,0.022057392,112.7095032886203,-29.841473775204143,37.780003,0.17999202,10.348098,1.4703646,1.132101
3312281634829711488,64.55462493665708,16.098024004388698,20.725496302360657,0.029271381,107.26148559430219,-23.893462096674515,38.49645,3.1260574,14.750199,3.0744343,1.1234928
3312564037520033792,67.96911967367434,15.49937349658422,21.871807832755163,0.015987119,105.36486514556807,-24.24098903749085,40.41906,0.19089167,10.49808,1.5730047,1.097665
3312842042162993536,67.2190620079301,15.981472635522984,22.15827839888896,0.024848884,110.42404683449863,-27.23903776948722,39.29918,0.2568975,11.251079,1.8968086,1.2794079
3313662896313355008,66.11855100326646,16.886053964801455,21.781982400489085,0.034885153,112.37591155236862,-25.540146749299083,37.58888,0.13147263,7.6696334,0.7718458,0.9669478
3314393590508675456,66.59090387218913,18.00015324250052,19.427532599125378,0.032498553,97.8577223001976,-29.7341267710622,44.020603,3.2711816,14.301552,3.1228762,1.1506572
47345009348203392,64.78389360834417,17.524630513050628,21.390700254048006,0.026578559,113.12486444102618,-27.85180674507326,37.76364,0.12249676,8.279239,0.8785043,0.9394181
3309420014084185600,68.4696324759209,14.850761740625991,21.94460899596352,0.038933992,101.81615258036001,-25.70815437780425,35.684227,2.5065265,15.195518,3.1247358,1.1336387
3312628358950130176,67.66251575060892,15.691769659062853,21.86843191355519,0.070041776,103.48821587457377,-24.353763331160515,39.83224,0.13161293,5.4175873,0.32913733,1.1170361
3312837025641272320,67.69551967147464,16.148532608296946,22.452802624244807,0.025360918,114.04477575771098,-33.38083251325954,41.803673,0.18699223,6.406904,0.5842619,1.0014025
3313207698500079360,69.63189917287164,17.04055509824066,22.85331654281413,0.020877853,106.24672866768168,-31.389098407894696,39.79378,2.060549,13.618415,2.808816,1.2659032
3313689422030650496,66.6676726168485,16.74677258632566,21.852128841107575,0.03444133,107.47186617521814,-31.53080384333542,38.12629,0.13226113,7.950683,0.81960154,1.191092
3313259169388356608,68.40865079618047,16.762386244728727,20.61556113871976,0.017517813,97.99880517969228,-25.49159863900907,40.428852,0.16981754,9.15698,1.0530233,1.0408796
3313978112552491136,66.02452121402943,17.443985101312077,21.61924104437301,0.099429496,110.58004635581656,-32.8087266938356,40.669956,0.1473232,4.7558556,0.22975779,1.0224682
3307717596422556928,66.4657421464766,13.502584738819609,22.739119775786293,0.019374017,113.38304331107248,-19.155673748306107,40.81997,2.2293408,13.912734,2.7894402,1.177181
3309967059774839808,69.1701171674695,15.869204695827205,21.607898747664954,0.034783777,99.90459107635893,-33.823473739301406,42.65627,0.15960313,6.5345774,0.5849438,1.2725254
3311024789960504576,65.39545704764056,14.409703887220196,20.67979693450329,0.027044397,104.19978440400169,-19.148581742579594,39.559837,0.15113911,6.4990244,0.54883385,1.0944234
3312613000147191680,67.93658293586253,15.630149907181586,21.928109289904448,0.021251561,104.99937028732845,-31.718638053931382,40.46022,1.5415019,13.436778,2.7022161,1.2680652
3314063908819076352,66.35479242496689,17.91521008711174,21.447339313427232,0.017244447,109.61815254023466,-31.353316361727813,38.723465,0.22173335,10.60706,1.5973215,1.0993385
