filter,ring_flux_Jy_proxy,ejecta_flux_Jy_proxy,ring_to_ejecta,ring_random_error_Jy,ejecta_random_error_Jy
F150W,0.00026700373505403444,4.471450366861738e-05,5.9713004315740505,6.406014046156324e-07,2.2273732246027378e-07
F200W,0.0004712014602185058,4.193052998653214e-05,11.237670031117021,1.1003961520081342e-06,3.8260810978231056e-07
F356W,0.0004621375036460267,1.86927667280826e-05,24.722798415482615,4.4148279619489925e-07,1.5350371577116423e-07
F444W,0.0008069919754230817,3.352849994240111e-05,24.068836267933843,4.152685213673918e-07,1.443890036533846e-07
