pixel_phase,n_pixels,median_pmra,median_pmdec
0,157,-10.97844112769486,-2.631578947368421
1,155,-10.912106135986733,-2.960526315789473
2,156,-10.845771144278606,-2.6973684210526336
3,156,-10.77943615257048,-2.960526315789473
