specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50
301858300419401728,268,51633,426,149.2576,0.3565249,0.08850689,212.0866,2.925153,45.535,2.081806,14.40767,1.91958,86.69861,2.104566,10.44149,10.35259,10.54148,0.4771882
301858575297308672,268,51633,427,149.23177,0.52699946,0.08192272,79.46987,1.746112,24.22568,1.630159,15.46682,1.706409,19.28816,1.167819,9.673925,9.608132,9.764288,0.05699316
301859949686843392,268,51633,432,149.29027,0.6520023,0.0849936,42.11258,1.470997,12.48533,1.603114,8.73133,1.683587,15.46709,1.371566,9.948285,9.860076,10.05861,-0.005803538
301860224564750336,268,51633,433,149.33858,0.7064551,0.08737121,2461.139,17.06004,438.9782,5.567213,288.1552,5.042964,912.5567,7.222582,10.62297,10.51959,10.72881,1.240488
301860499442657280,268,51633,434,149.30469,0.7021997,0.0651919,312.9731,3.710417,59.09616,2.277678,24.66205,2.112047,115.3036,2.471248,10.12306,10.03528,10.22075,0.2331453
301860774320564224,268,51633,435,149.30677,0.19869727,0.06574579,270.1679,3.579543,54.12619,2.211305,14.43031,2.131951,95.41296,2.432599,10.26718,10.18042,10.36587,0.2561404
301861598954285056,268,51633,438,149.25958,0.17999225,0.06277732,121.9598,3.149212,28.65372,2.079393,14.1228,2.324806,64.29283,2.712112,10.42582,10.31466,10.53382,-0.3245433
301862423588005888,268,51633,441,149.60554,1.1039703,0.08074103,472.33,4.905766,79.86458,2.854476,22.37275,2.678885,216.7887,3.368608,10.63714,10.54403,10.72967,0.9977764
301862698465912832,268,51633,442,149.59584,0.95273372,0.08236951,156.7715,2.65313,30.49088,1.94314,10.75307,1.969073,54.7407,1.950666,10.21398,10.12571,10.31304,0.2320226
301863523099633664,268,51633,445,149.54932,1.0298165,0.02801047,76.42863,2.684302,23.11688,2.238588,29.25134,2.821287,41.46733,2.633153,9.691868,9.598899,9.785646,-0.9670734
301864347733354496,268,51633,448,149.62511,1.1819846,0.06204112,106.8604,3.483888,23.85001,2.729091,34.21701,3.011636,43.28007,2.98572,10.64814,10.55722,10.74449,0.1651535
301864897489168384,268,51633,450,149.43801,0.8615036,0.09729816,123.5644,6.281065,26.39253,4.317732,25.33495,4.695953,100.5017,6.023963,11.28017,11.18983,11.36838,0.2284211
301867096512423936,268,51633,458,149.5245,1.1093717,0.08112247,440.3234,4.400151,112.3119,2.783006,38.58784,2.406245,131.5615,2.397615,10.05997,9.979053,10.1661,0.2144368
301867921146144768,268,51633,461,149.3547,0.73094109,0.08695569,1367.595,10.89914,231.0159,4.765539,56.18352,4.222936,612.4506,6.755516,11.0228,10.93947,11.12159,1.482615
301868196024051712,268,51633,462,149.36235,0.53310201,0.0814579,354.6966,4.168931,66.23798,2.7437,35.93892,2.759582,140.7169,2.901335,10.81563,10.72228,10.90967,0.9070207
301868745779865600,268,51633,464,149.53812,0.60086726,0.04669769,652.5443,6.38098,189.8755,3.600366,80.40093,2.992881,218.1941,3.323877,9.673844,9.593715,9.778882,-0.235506
301869020657772544,268,51633,465,149.49877,0.74899732,0.09232026,573.5994,5.045177,97.46433,2.601521,21.07836,2.217593,212.065,2.927303,10.56947,10.46067,10.66048,0.9789817
301869295535679488,268,51633,466,149.44456,0.67282345,0.04660738,145.6726,2.760511,45.31485,2.007911,38.72007,2.032578,40.82371,1.654037,9.367846,9.307288,9.444598,-0.2851953
301869845291493376,268,51633,468,149.44584,0.57189579,0.0387163,465.0619,4.541934,137.4375,2.819553,217.2646,3.797032,84.38435,1.915582,9.076655,9.004244,9.202623,-0.305963
301870395047307264,268,51633,470,149.38738,0.66816848,0.08699062,1377.372,9.744637,342.5907,4.609422,251.1261,4.344864,473.4592,4.38168,10.59458,10.06758,10.94466,0.3315616
301870944803121152,268,51633,472,149.4843,0.20641656,0.06499501,666.8866,6.212453,149.9444,3.270072,32.18747,2.651756,286.4166,3.799428,10.4328,10.34423,10.5215,0.5459658
301872044314748928,268,51633,476,149.55064,0.23722537,0.03502265,328.4432,4.077975,80.20302,2.604323,18.44187,2.319417,120.0906,2.74745,10.0125,9.93063,10.10858,-0.03895067
301872319192655872,268,51633,477,149.50814,0.29610635,0.08252737,48.41297,1.671878,12.63432,1.502935,14.82598,1.740713,24.15277,1.464573,10.14653,10.03684,10.25532,-0.8678661
301873143826376704,268,51633,480,149.55554,0.56103672,0.08190168,280.767,3.468566,49.50023,2.14002,14.81342,2.183911,186.9055,2.794186,10.41496,10.31947,10.518,-0.1592285
301873968460097536,268,51633,483,149.64744,0.57001104,0.04577184,119.7877,3.049032,23.77363,2.235779,14.76306,1.956515,42.52533,1.903759,10.28094,10.18501,10.37879,-0.3145831
301875617727539200,268,51633,489,149.64744,0.74278265,0.06482466,2152.552,14.96411,323.6501,5.912736,104.6687,4.32163,1054.688,8.60434,10.8014,10.70996,10.89203,1.356522
301876167483353088,268,51633,491,149.70775,0.16144659,0.04730976,150.8171,3.971272,32.78878,2.687752,23.75622,2.875794,70.13752,3.316131,10.32286,10.22506,10.42746,-0.4359857
301878366506608640,268,51633,499,149.60366,0.16107991,0.1400012,177.7776,3.11181,43.40054,2.078472,10.05266,1.91994,60.8206,1.875735,10.3897,10.31132,10.48472,0.7588367
301880840407771136,268,51633,508,149.96206,0.18050882,0.1246748,223.1318,3.404991,39.80885,2.207309,12.86048,2.105783,93.75179,2.740507,10.4879,10.38721,10.59034,0.7617589
301882764553119744,268,51633,515,149.90931,0.51314307,0.06493151,366.7948,5.015512,78.03177,3.016332,21.85851,2.852493,151.1927,3.460617,10.49264,10.41454,10.59212,0.63583
301883039431026688,268,51633,516,149.99403,0.4804419,0.03265744,230.2115,2.991037,72.12334,2.452905,83.65878,2.625676,45.74789,1.619116,9.042223,8.979726,9.120101,-0.7263157
301883314308933632,268,51633,517,149.89462,0.47944441,0.09411001,195.5191,2.861985,46.38852,2.154991,14.0587,2.111077,65.51418,2.059104,10.1173,10.036,10.21677,0.2458168
301889361622886400,268,51633,539,149.65731,0.87075168,0.03902926,633.8989,5.792587,162.0747,3.043153,174.2333,3.514477,128.8082,2.338598,9.614254,9.54467,9.701806,-0.09166654
301889911378700288,268,51633,541,150.10153,0.70459403,0.03337267,329.2231,10.26579,82.98933,6.278155,114.6215,7.086028,452.1097,10.58635,10.9322,10.83904,11.02477,-0.06098329
301890186256607232,268,51633,542,150.06597,0.51724897,0.03290574,72.33459,2.022245,24.39114,2.144449,40.42598,2.447575,10.28344,1.378197,9.115209,9.042396,9.208105,-0.8966566
301890461134514176,268,51633,543,150.12978,0.7589614,0.03323909,1103.616,8.513324,266.4868,3.893509,379.8548,4.786723,195.0518,2.612698,9.316263,9.231856,9.421415,-0.1814937
301891560646141952,268,51633,547,150.13205,0.54897864,0.03252227,108.7512,7.780146,35.29839,5.658982,58.99754,5.785469,142.5977,7.578796,10.72807,10.6374,10.81217,-1.438968
301891835524048896,268,51633,548,150.08477,0.50597453,0.03316718,182.4794,10.31487,48.2475,6.445373,137.0307,7.264661,221.3061,9.549836,10.8358,10.74811,10.92103,-1.244697
301892385279862784,268,51633,550,150.10527,0.49811121,0.1068543,327.0557,4.659207,83.07802,3.099023,49.36434,3.263337,174.3827,4.176182,10.78583,10.68969,10.88277,0.494789
301892660157769728,268,51633,551,150.19313,0.20806812,0.1338845,609.3261,5.704637,157.4212,3.125852,82.82269,2.874016,198.5035,2.934815,10.27163,10.20468,10.36924,0.7894861
301895408936839168,268,51633,561,149.77315,1.204926,0.0463249,283.443,4.063982,83.39092,2.618354,97.78818,2.778944,66.67967,2.016442,9.579838,9.503119,9.677548,-0.2575539
301897333082187776,268,51633,568,149.95019,0.78012107,0.08773066,405.6534,4.193886,68.85256,2.454611,31.31776,2.404439,229.3615,3.084799,10.36545,10.27286,10.45796,0.2069643
301898157715908608,268,51633,571,149.82107,1.1534739,0.07980989,56.15504,2.121905,11.87545,1.835196,12.94501,2.035384,41.68317,2.013723,10.25289,10.15492,10.34566,-0.6359746
301898432593815552,268,51633,572,149.81564,0.96732869,0.08800191,89.42847,2.1758,22.4367,1.804073,13.26751,2.068852,51.20779,2.03027,10.25683,10.14366,10.36556,-0.2283705
