specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50,N2,log_OH
301848129936844800,268,51633,389,149.1391,0.59698579,0.03467486,657.4047,5.936278,188.054,3.366102,357.9294,4.65586,87.45662,2.037751,9.077127,9.009353,9.1739,-0.4128677,-0.876040115832714,8.400657133975354
302962764496791552,269,51910,348,150.70317,0.63562404,0.04552755,73.33451,3.797849,22.63126,2.432613,15.78755,2.2503,14.53533,1.681046,9.369876,9.291347,9.466368,-0.5137228,-0.7028834983614544,8.499356405933971
300773082023356416,267,51608,574,148.55166,0.80530386,0.02883614,375.5454,4.486389,88.90245,2.86814,21.49068,2.522044,139.5597,3.081744,9.670417,9.580297,9.762299,-0.45968,-0.42990241953002495,8.654955620867886
304033963683375104,270,51909,149,152.79113,-0.39943123,0.04664793,496.3665,5.895012,145.5637,3.496611,52.03775,2.686918,200.8448,3.368238,9.780275,9.709089,9.870203,0.01244594,-0.39294187103231826,8.67602313351158
302941324020049920,269,51910,270,150.67113,-0.4238992,0.06376865,252.241,4.7675,58.73394,3.137128,16.68364,3.027432,118.3687,3.64881,10.58231,10.48781,10.67293,0.404604,-0.3285788015462258,8.712710083118651
301858300419401728,268,51633,426,149.2576,0.3565249,0.08850689,212.0866,2.925153,45.535,2.081806,14.40767,1.91958,86.69861,2.104566,10.44149,10.35259,10.54148,0.4771882,-0.38850109522015375,8.678554375724513
301761268518250496,268,51633,73,150.359,0.082449834,0.03266715,154.1149,2.555123,31.06005,1.878894,19.06136,1.786409,45.89472,1.740022,9.630978,9.543975,9.728466,-0.5311669,-0.5260819042163956,8.600133314596654
302972660101441536,269,51910,384,150.7797,0.54773925,0.04719725,297.3049,5.432585,53.86118,2.830106,24.49157,2.692466,119.6362,3.384267,10.45184,10.35655,10.5603,0.2296001,-0.3953394569440703,8.67465650954188
300654334767556608,267,51608,142,148.54937,-0.066125284,0.0475889,158.4125,2.595488,42.71885,2.001095,43.8336,1.999932,27.02734,1.431815,9.488363,9.427135,9.571453,0.01522352,-0.7679861428434474,8.462247898579236
301810196785686528,268,51633,251,148.8667,-1.0917401,0.03175354,116.0829,2.273707,41.83756,2.203376,59.95945,2.493159,13.21246,1.299782,8.727359,8.677828,8.7924,-0.5804279,-0.9437845636588413,8.36204279871446
300766484953589760,267,51608,550,148.64297,0.69178339,0.03460572,30.74401,1.404338,12.34943,1.697297,15.28888,1.80099,5.731369,1.06876,8.854539,8.782349,8.955226,-0.7284839,-0.7295021423851854,8.484183778840444
301793978989176832,268,51633,192,149.76349,0.037069675,0.07287358,246.3837,3.548798,51.47771,2.417543,17.00955,2.254285,79.05904,2.421192,10.19546,10.1175,10.28374,0.3767516,-0.4936604363565007,8.618613551276795
300748068133824512,267,51608,483,148.24725,0.50288721,0.03552244,1489.198,11.72215,435.304,6.524838,1136.897,11.18169,132.2474,2.88816,9.228323,9.173508,9.309336,-0.02136666,-1.051565301778475,8.30060777798627
299493250857723904,266,51630,14,146.94999,-0.59220225,0.06477907,229.1325,3.449572,60.80691,2.776852,29.73346,2.717081,73.87218,2.368429,9.767632,9.688359,9.858889,-0.2007935,-0.491605778168069,8.6197847064442
300658732814067712,267,51608,158,148.69239,0.042002604,0.103538,733.8729,6.793257,209.273,3.613756,366.8779,4.95212,126.7331,2.517758,9.73715,9.612437,9.908228,0.5010959,-0.7627307924266921,8.465243448316786
299654054433286144,266,51630,599,146.95764,0.39340648,0.06987419,604.0031,6.696008,120.2294,3.531661,43.16371,3.142366,192.3833,3.382054,10.26434,10.19475,10.35321,0.6089147,-0.4968717975832564,8.616783075377544
301856101396146176,268,51633,418,149.32459,0.98264229,0.08670224,325.6521,5.380428,65.85503,3.530589,20.03752,3.463978,128.7699,4.379025,11.16263,11.06851,11.26581,0.8379464,-0.4029395246797948,8.670324470932517
300705462058248192,267,51608,328,147.24571,1.1384966,0.02552898,318.014,3.685425,82.50459,3.035689,113.5187,3.009628,61.67018,1.792972,9.284393,9.167809,9.409682,-1.020794,-0.7123710234201028,8.493948516650542
300662855982671872,267,51608,173,148.24054,0.11791934,0.08234423,205.8799,3.045944,46.9252,2.253267,16.82545,2.152422,71.37787,2.146207,10.16364,10.08866,10.25352,0.3407368,-0.4600503646802479,8.637771292132259
