tjd,central_3x3_background_subtracted,mit_difference_flux
1338.251208080736,-0.609222412109375,1808.3720569222007
1338.5116267200744,-0.21456146240234375,1151.4444633764563
1339.8345545869433,-0.2763023376464844,-1230.942911804265
1340.251225651245,-0.9895992279052734,-4978.862019157371
1340.7512311687074,-3.0655441284179688,-2387.8627190305665
1341.2512367710374,-4.513422012329102,-7236.71905623298
1341.7512423686233,-4.163837432861328,-7712.311971607177
1342.2720814816612,-2.051239013671875,-1491.0612900676574
1342.7512533980816,-1.5145015716552734,-869.0947771348549
1343.2512587945632,-0.7624359130859375,714.3911775252087
1343.7512640999207,0.3315868377685547,1470.3494345834856
1344.2512693085678,1.2744789123535156,5010.782359049954
1344.772107960081,0.9485416412353516,2905.7152746541733
1345.25127941911,2.754640579223633,6879.883010913602
1345.751284313816,2.9184112548828125,4909.169556076922
1346.2512891135289,4.288494110107422,9121.059379347846
1346.7512937806741,6.310033798217773,14657.731824423085
1347.2721318479032,8.712995529174805,15131.66038822716
1347.7513027496561,10.00265121459961,18544.793662722946
1348.2513070403757,11.95490837097168,25535.169162886414
1348.7513111926196,13.125471115112305,30340.631652215805
1349.2513151975704,11.55723762512207,38287.06082795747
1349.7721525340357,16.064416885375977,30360.515153165605
1350.2513227181223,18.17146110534668,34203.58821499253
1350.7513262016514,19.907691955566406,39350.91337801029
1351.2513294711803,21.958166122436523,42728.140266085386
1351.75133249685,24.186992645263672,44950.2179539875
1352.2721686868044,26.391950607299805,50479.52296584775
1352.7513377070043,28.767738342285156,54455.10393532813
