z_low,z_high,blue_band,red_band,n,ratio_low,ratio_median,ratio_high
6,8,f090w,f200w,546,0.326977138462383,0.3623306736157553,0.390132675899151
8,10,f115w,f277w,164,0.255170074466352,0.31943637611046455,0.36072521802564983
10,12,f150w,f356w,98,0.6631700574222811,0.7535808728888669,0.8136932017982931
