z_low,z_high,band,wavelength_um,n,median_fnu_over_f444w,p16,p84
6,7,f090w,0.9,558,0.34791126285258156,0.13261026416651142,0.6469421291902199
6,7,f115w,1.15,558,0.8695420985733493,0.5198108556546518,1.2222681962720936
6,7,f150w,1.5,558,0.805969438086168,0.489643050364859,1.1624188199093017
6,7,f200w,2.0,558,0.7583655881759068,0.5093406683827185,0.9924171465151538
6,7,f277w,2.77,558,0.8702429255480785,0.6545031048101613,1.0557441912717938
6,7,f356w,3.56,558,1.2658600925468106,1.0152233137946836,1.638134151918455
6,7,f444w,4.44,558,1.0,1.0,1.0
7,9,f090w,0.9,432,-0.00365310970989231,-0.1667593613440678,0.1263864218425909
7,9,f115w,1.15,432,0.48371568069931364,0.20432473811699067,0.8586782183772755
7,9,f150w,1.5,432,0.6621986981986853,0.2385818805461939,1.0463339816137172
7,9,f200w,2.0,432,0.5635049790762576,0.2064440828024496,0.9357138598067649
7,9,f277w,2.77,432,0.5573089815110402,0.32397826129242535,0.7879596372189936
7,9,f356w,3.56,432,0.6555799458913227,0.4106359079318758,0.8804349960427825
7,9,f444w,4.44,432,1.0,1.0,1.0
9,12,f090w,0.9,147,-0.044504725333415006,-0.2326396734501329,0.13866080321941132
9,12,f115w,1.15,147,0.01977465677765504,-0.18681445964526697,0.19516997156783256
9,12,f150w,1.5,147,0.6883860244311903,0.21713396621118733,1.1964007307954405
9,12,f200w,2.0,147,0.8630720998323081,0.3818240923104831,1.284927007692507
9,12,f277w,2.77,147,0.8360459774693507,0.4776010217605712,1.0808773773200884
9,12,f356w,3.56,147,0.8129899747938736,0.49591280934737114,1.0190185898056876
9,12,f444w,4.44,147,1.0,1.0,1.0
