star_radius_min,star_radius_max,n,log_slope,spearman_rho
0.1,10.0,4711,1.6093977606523948,0.8174666408967041
0.5,2.0,4326,1.7615288083198886,0.8951165154067864
0.8,1.2,2230,1.971553350083599,0.9753483823423014
0.9,1.1,1168,1.9906238227073638,0.9930421427414712
