tjd,aperture_difference_flux,scaled_aperture_flux,mit_difference_flux,residual
1325.323974336618,1.0409774780273438,2743.554196876491,2876.6176578744203,-133.06346099792927
1325.344807926582,2.779590606689453,6012.012730349449,2484.5784169223225,3527.4343134271267
1325.3656415177095,1.0609397888183594,2781.0818009058835,-1799.6442768638753,4580.726077769759
1325.3864751099131,-0.9381237030029297,-977.0033194023059,-5145.706903031737,4168.703583629431
1325.407308703136,-3.323179244995117,-5460.723711546166,-4793.883790012244,-666.8399215339214
1325.4281422974059,-2.566211700439453,-4037.6831341010247,-3464.967883633818,-572.7152504672067
1325.4489758926375,-1.2719478607177734,-1604.5669786058434,-3329.1919415114658,1724.6249629056224
1325.4698094888008,-0.6590404510498047,-452.34833931624974,-2621.0928768880462,2168.7445375717966
1325.4906430858941,-0.4100456237792969,15.74272393781132,-1601.7426287495548,1617.4853526873662
1325.511476683832,-0.7103404998779297,-548.7884728892033,-2078.4874813955867,1529.6990085063835
1325.532310282642,0.4554901123046875,1642.8831245204485,-4494.742907164686,6137.626031685134
1325.553143882239,-3.345643997192383,-5502.955712335214,-5290.601938809988,-212.35377352522664
1325.573977482622,-1.1189899444580078,-1317.0178980083774,-4533.382000492443,3216.3641024840654
1325.594811083761,0.8544731140136719,2392.9403828881455,-3308.399051433379,5701.339434321524
1325.615644685599,-0.9120502471923828,-927.9872342616801,-4120.0988441110585,3192.1116098493785
1325.6364782881346,0.1809406280517578,1126.7512778930072,-6030.743434570606,7157.494712463613
1325.65731189134,-3.7595062255859375,-6280.984768814252,-3671.501250274166,-2609.4835185400857
1325.678145495186,-0.40717124938964844,21.14632600854452,-2966.016300789689,2987.1626267982338
1325.698979099614,-0.9676036834716797,-1032.4234080587444,-3961.481571293549,2929.058163234805
1325.719812704653,0.3353252410888672,1416.9824383503992,-3908.791872216602,5325.7743105670015
1325.740646310245,-1.3576850891113281,-1765.7463526479996,-4279.925706021394,2514.1793533733944
1325.76147991639,-1.1451148986816406,-1366.1307961920756,-4952.545693446235,3586.4148972541598
1325.7823135230296,0.6007556915283203,1915.971205017538,-4860.0705958202825,6776.04180083782
1325.803147130164,-2.8548336029052734,-4580.2700411650085,-5384.763192615251,804.4931514502423
1325.823980737794,-0.6215190887451172,-381.81107326750123,-6314.482537034558,5932.671463767057
1325.8448143458595,-1.8100719451904297,-2616.1987366815624,-4907.694494160697,2291.4957574791347
1325.865647954362,0.08667182922363281,949.5332097152241,-4337.080076557419,5286.613286272643
1325.886481563272,-1.9426307678222656,-2865.399095217653,-4461.46779519873,1596.0686999810764
1325.9073151725884,-1.4782600402832031,-1992.4179574943646,-3436.533054095411,1444.1150966010464
1325.9281487822846,0.30515480041503906,1360.2643377831407,-3987.106672866722,5347.371010649863
1325.9489823923595,-1.1734676361083984,-1419.4317549057114,-6535.181985337745,5115.750230432033
1325.9698160027535,-1.776641845703125,-2553.3527290546604,-7482.281258284674,4928.928529230014
1325.990649613497,-1.551401138305664,-2129.9175783347146,-5324.202058477028,3194.2844801423134
1326.0114832245304,-0.5593490600585938,-264.93621626979063,-4041.7118532485047,3776.775636978714
1326.0323168358855,0.19664955139160156,1156.2828416982886,-4231.177422529688,5387.460264227976
1326.053150447532,0.2108173370361328,1182.9171855479278,-3325.039231151186,4507.956416699114
1326.0739840594395,0.9555778503417969,2583.009486116697,-4238.760761171507,6821.770247288204
1326.094817671609,-1.761627197265625,-2525.1263484967226,-5811.979483682447,3286.853135185724
1326.1156512840394,-1.7532539367675781,-2509.385264826836,-3445.4411491101096,936.0558842832734
1326.1364848966746,2.5024547576904297,5491.018717558827,-3299.3566020078547,8790.375319566681
1326.157318509572,-0.5873641967773438,-317.6025117010646,-3954.5691547168126,3636.966643015748
1326.178152122674,0.3082561492919922,1366.094634377044,-2623.207432276723,3989.302066653767
1326.198985735949,-0.4676227569580078,-92.49784388516423,-4107.247198825318,4014.7493549401543
1326.219819349428,-2.1613292694091797,-3276.5354037991683,-4729.997544599158,1453.4621407999894
1326.2406529631112,-1.3388042449951172,-1730.2518225231233,-2884.4744399280416,1154.2226174049183
1326.2614865769385,-0.8763084411621094,-860.7953967013151,-245.6778511135169,-615.1175455877982
1326.2823201909425,3.776195526123047,7885.553082555608,-1689.024652509806,9574.577735065413
1326.3031538050914,-1.9977951049804688,-2969.103792689283,-4160.539065630837,1191.435272941554
1326.3239874193855,-0.9183597564697266,-939.8486248721548,-3662.8115687570375,2722.962943884883
1326.3448210338252,-1.1080608367919922,-1296.4720188675005,-3903.888853487154,2607.4168346196534
1326.3656546483799,-2.3262271881103516,-3586.5307677163355,-2412.450751208369,-1174.0800165079663
1326.3864882630535,1.5733833312988281,3744.436121502935,-2972.96969094664,6717.405812449575
1326.4073218778426,-1.3482418060302734,-1747.9937090831686,-1696.1510582315268,-51.84265085164179
1326.428155492748,1.575225830078125,3747.8998770439625,-448.8891203003366,4196.788997344299
1326.44898910774,-0.037567138671875,715.9735361376854,-2383.123658100892,3099.0971942385777
1326.469822722791,-0.3350372314453125,156.7527140065937,-1950.0974229078404,2106.850136914434
1326.4906563379582,0.256134033203125,1268.1090777831973,-1105.1376524034308,2373.246730186628
1326.511489953213,-0.6598854064941406,-453.9367903562862,-229.37891202042613,-224.5578783358601
