catalogue,source_id,parallax_mas,parallax_error_mas,identity
Hipparcos I/311/hip2,HIP 91262,130.23,0.36,source-checked Vega
Gaia DR3 cone result,2097892344993257344,1.542,0.013214312,brightest returned row; not assumed to be Vega
