half_width_A,order,ew_A
25,1,1.6837270496434735
25,2,1.736122453834421
35,1,1.7926051392782636
35,2,1.8032193084475516
45,1,1.8496282855343567
45,2,2.3095647483211534
55,1,1.8957787836269397
55,2,2.7861049253156436
65,1,1.84707617626323
65,2,3.5788566652525913
