event_left_out,median_depth_ppm
0,416.9524173394112
1,416.9524173394112
2,421.1707457141278
4,421.1707457141278
5,416.9524173394112
6,421.1707457141278
7,421.1707457141278
8,416.9524173394112
9,421.1707457141278
10,416.9524173394112
