event,depth_ppm,in_transit_cadences
0,694.151961034395,11
1,462.9461201471896,12
2,406.9914361377602,11
4,111.03774778087327,11
5,492.29093207192597,12
6,416.9524173394112,11
7,388.9726480738043,12
8,443.64843959254773,12
9,342.87776197572396,10
10,421.1707457140168,12
