injected_depth_ppm,median_recovered_ppm,p16_ppm,p84_ppm
0,-22.346373199533254,-139.9762601262555,53.63532918575053
200,177.65362680044473,60.02373987372247,253.6353291857285
400,377.6536268003672,260.02373987370044,453.6353291857065
600,577.6536268004562,460.02373987378945,653.6353291857955
800,777.6536268004342,660.0237398737675,853.6353291857735
1000,977.6536268004121,860.0237398737454,1053.6353291857515
