pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
TIC 237913194 b,TIC 237913194,2020,Transit,15.168865,0.575,0.011,-0.011,1.117,1.942,1.026,5788.0
WASP-61 b,WASP-61,2012,Transit,3.8559,0.0,,,1.41,2.68,1.82,6250.0
HD 27894 b,HD 27894,2005,Radial Velocity,18.01939,0.047,0.012,-0.011,1.26,0.619,0.81,4875.0
HATS-11 b,HATS-11,2016,Transit,3.619188,0.34,,,1.60852886,0.83,1.33,6563.0
HATS-29 b,HATS-29,2016,Transit,4.6058749,0.158,,,1.251,0.653,1.032,5670.0
TOI-3474 b,TOI-3474,2025,Transit,3.8795105,0.13,,,1.309,0.61,1.121,6020.0
TOI-4329 b,TOI-4329,2022,Transit,2.9223,0.068,0.079,-0.079,1.5,0.45,1.538,6000.0
WASP-129 b,WASP-129,2016,Transit,5.748145,0.096,,,0.93,1.0,1.0,5900.0
WASP-33 b,WASP-33,2010,Transit,1.21987,0.0,,,1.593,2.093,1.495,7430.0
HAT-P-23 b,HAT-P-23,2010,Transit,1.212884,0.106,0.044,-0.044,1.368,2.09,1.13,5905.0
WASP-120 b,WASP-120,2016,Transit,3.61126721,0.057,0.022,-0.018,1.39,4.85,1.393,6450.0
WASP-72 b,WASP-72,2012,Transit,2.21673,0.0,,,1.29,2.3,2.78,6250.0
HD 118203 b,HD 118203,2005,Radial Velocity,6.1349779,0.3136,0.0075,-0.0075,1.14,2.14,1.27,5742.0
HATS-4 b,HATS-4,2014,Transit,2.516729,0.013,0.016,-0.016,1.02,1.323,1.001,5403.0
HD 163607 b,HD 163607,2012,Radial Velocity,75.2203,0.7441,0.0071,-0.0071,1.24,0.7836,1.12,5522.0
KOI-13 b,KOI-13,2011,Transit,1.763588,0.00064,0.00012,-0.00016,1.512,9.28,1.72,7650.0
Kepler-433 b,Kepler-433,2015,Transit,5.33408384,0.119,0.079,-0.079,1.45,2.82,1.46,6360.0
TOI-5688 A b,TOI-5688 A,2024,Transit,2.94815527,0.128,0.078,-0.077,0.92,0.39,0.6,3713.0
WASP-92 b,WASP-92,2016,Transit,2.1746742,0.0,,,1.461,0.805,1.19,6280.0
TOI-201 b,TOI-201,2021,Transit,52.9786,0.275,0.009,-0.009,1.01704163,0.51600171,1.32,6423.0
WASP-16 b,WASP-16,2009,Transit,3.1186,0.0,,,1.22,1.24,1.78,5700.0
TOI-1181 b,TOI-1181,2022,Transit,2.103189,0.011,0.007,-0.008,1.519,1.179,1.467,6054.0
WASP-108 b,WASP-108,2020,Transit,2.67555212374,0.0,,,1.35,0.892,1.167,6783.0
HD 209458 b,HD 209458,1999,Radial Velocity,3.52474859,0.0,,,1.39,0.73,1.23,6091.0
WASP-78 b,WASP-78,2012,Transit,2.17518,0.0,,,1.93,1.11,1.87,6100.0
