group,n,fraction_e_gt_0p1,ci95_low,ci95_high
P < 5 d,584,0.17294520547945205,0.14443475441234632,0.20573016800337723
10 ≤ P < 100 d,215,0.5534883720930233,0.48667788246917915,0.618421033083403
