sep_from_pulsar_arcsec,shift_arcsec,pa_shift_deg,pa_radial_deg,flux
11.019019332856892,0.018907776354399875,340.4770525387668,167.63354417386125,39.41642247372067
70.13835708705693,0.04022801087383969,153.88338416091145,324.9682536454743,37.82134435578369
24.048553699965723,0.033649506369107005,172.53545356515824,357.99392545051467,35.454851518969505
21.58772352222696,0.09049512318078946,203.66403106385067,72.97712623857153,29.791214604819437
12.65178314787679,0.037415917105890574,205.90550559516993,174.79743991949945,29.076683228308358
53.71118403220722,0.04619524675532274,343.16228296728815,223.95211767948305,27.831873851168556
5.0924421828582815,0.07572264061064708,193.47891309641747,41.46568861402708,26.30290736784345
38.811786719347076,0.16604689952460136,359.31467759307276,88.22467204971902,23.778113387540877
71.9662279898897,0.09286282259378806,124.8857161242231,325.88664200717795,23.41274143851089
36.97512464473244,0.03368785924283123,94.2942458987798,236.23176474297887,23.075958263955567
53.39857974392635,0.1025950738098693,228.30298862431525,106.22227099296661,22.76334662486792
5.089544644338858,0.0804290924029593,156.28284833723183,41.37694581851052,22.32188148084056
53.40277850245738,0.10259507388377702,228.30298942698366,106.21095454510534,19.226807674021295
43.24043131576,0.0751175166774276,281.1515302243847,121.29178055850883,18.335793964064152
5.90413561920041,0.008710590432061644,62.02971023801828,184.3650512570887,16.583799221508862
38.84966486891614,0.10856286022624911,145.3332549880918,60.33867082255258,12.931849012694595
18.833455452339837,0.1990166239440557,332.77769082794964,58.96071543705184,10.974435600154967
48.155639123867765,0.08450735639044277,166.53463506837397,30.066288602168175,9.957190770736348
25.320102960632152,0.02934745801343489,181.37841598523136,221.91499891180968,8.402616179385936
41.11795327599175,0.06961071381281124,230.0835656157644,118.03126356571543,6.478994966616946
46.71512220164032,0.035864688452729866,139.65732268432996,0.5062103452492328,6.136629842191571
45.19254962670494,0.06692687988385129,139.05734127419686,323.77468992707645,5.2768293675962745
40.638215826852196,0.029296846493503625,346.8547181586678,307.44806592250376,4.363433547569074
31.845090435939564,0.05332988927781504,142.73369220095503,266.5849757707722,4.282378517057783
55.43491238212144,0.08297584410243732,149.35966572135584,308.63987568445435,4.260315073195269
28.697311587233944,0.029688194126612374,190.83341340535947,127.22937967808137,4.100107131893681
31.649160193182524,0.04745645649667214,123.76614919774445,76.33976993729168,3.145533575756122
45.140634866794784,0.06976126211477533,150.71939830485303,28.326186608222805,3.1406398319069955
38.19714687635635,0.06101939863407357,103.07036935017581,318.9310200548766,2.8711227331553117
66.51858678231359,0.27102842402097554,55.182465223122726,16.855131230364773,2.8603701877045786
