background_percentile,axis_ratio,half_light_radius_display_px,centroid_x,centroid_y
10,0.6466186227391981,899.390107191317,2765.962580988438,857.7746884583612
20,0.6644523331472931,882.3015158616934,2800.414284182844,850.2612079792381
30,0.6912034840323931,861.1308088749356,2837.293615390758,841.1714393584118
40,0.7236993372290836,826.5335318516796,2860.039325541716,814.0839401379233
