time,flux,error,quality
260.2446439835476,525931.0,20.12567710876465,0
260.26507710740407,525958.125,20.12627601623535,0
260.28551013103424,525968.0,20.124189376831055,0
260.30594335466594,525979.5,20.126523971557617,0
260.3263764780568,525968.0,20.125383377075195,0
260.3468095012213,525998.5625,20.126880645751953,0
260.36724262438656,525986.25,20.127038955688477,0
260.3876758473125,525992.5,20.12779998779297,0
260.40810887001135,526062.125,20.1302433013916,0
260.42854199271096,525932.4375,20.12515640258789,0
260.44897521517123,525954.0,20.128398895263672,8192
260.4694082374044,525966.25,20.128253936767578,0
260.4898413596384,525924.5625,20.128339767456055,0
260.510274581633,525901.375,20.128583908081055,0
260.53070760363335,525899.375,20.12711524963379,0
260.55114072540164,525910.625,20.130714416503906,0
260.5715738469298,525857.0625,20.126150131225586,0
260.5920070682332,525903.25,20.128965377807617,0
260.6124400895351,525867.4375,20.129758834838867,0
260.63287321083044,525919.625,20.131004333496094,0
260.65330643166817,525883.0625,20.13245391845703,0
260.6737394525044,525953.25,20.13187026977539,128
260.69417257310124,525875.9375,20.128259658813477,8192
260.7146055937046,525928.375,20.129667282104492,0
260.7350388140767,525911.5,20.128843307495117,0
260.7554719344407,525925.375,20.131540298461914,0
260.77590505434637,525962.375,20.132789611816406,0
260.796338174252,525955.25,20.131267547607422,0
260.8167712941504,525976.625,20.132471084594727,0
260.83720431382244,525940.625,20.132278442382812,0
260.8576374332624,525890.4375,20.132036209106445,0
260.87807065246307,525951.9375,20.12917137145996,0
260.8985037716702,525945.1875,20.13165283203125,0
260.9189367908766,525925.25,20.131040573120117,262144
260.9393700096116,525939.0625,20.127878189086914,8192
260.9598030283523,525956.625,20.131441116333008,0
260.980236146861,525929.125,20.132036209106445,0
261.00066936536314,525921.8125,20.130565643310547,0
261.0211023836382,525933.9375,20.132530212402344,0
261.04153550191404,525930.3125,20.133989334106445,0
261.06196861971694,525941.4375,20.129180908203125,0
261.0824017375271,525931.625,20.128562927246094,0
261.1028348553373,525967.1875,20.12920379638672,0
261.1232679729146,525947.75,20.132272720336914,0
261.1437011902526,525953.9375,20.132144927978516,0
261.16413420736353,525989.75,20.130542755126953,0
261.18456732446793,525947.875,20.12775230407715,0
261.20500034157885,525919.25,20.132081985473633,0
261.22543355822563,525920.375,20.132448196411133,0
261.24586667487165,525999.4375,20.129138946533203,0
261.26629969150963,525969.4375,20.128860473632812,0
261.28673290769075,525961.1875,20.13242530822754,0
261.30716602409666,525984.875,20.133394241333008,0
261.3275991400442,525915.0,20.128889083862305,0
261.34803215599095,525909.5,20.13283920288086,0
261.3684653717064,525873.1875,20.131715774536133,0
261.3888984874138,525854.25,20.131607055664062,0
261.40933150289493,525916.125,20.131731033325195,0
261.42976471813745,525947.625,20.133066177368164,0
261.45019783315365,525969.125,20.129423141479492,0
261.49106406318606,525876.0625,20.130783081054688,0
261.5114971777293,525888.125,20.132225036621094,0
261.53193019251194,525953.3125,20.130748748779297,8192
261.55236330682965,525932.8125,20.132221221923828,0
261.57279652114084,525971.25,20.130197525024414,0
261.5932296352257,525962.625,20.133155822753906,0
261.61366264930984,526001.5,20.132902145385742,0
261.6340958631554,525996.6875,20.13396453857422,0
261.6545289767746,525970.875,20.13371467590332,0
261.67496199039306,525984.125,20.1343936920166,0
261.69539510377217,525999.875,20.132259368896484,0
261.7158283169265,525988.5625,20.135011672973633,0
261.7362613300793,525980.25,20.13397216796875,0
261.75669444299274,525960.0625,20.130401611328125,0
261.7771276556814,525948.875,20.13380241394043,0
261.79756066836853,525945.3125,20.131900787353516,0
261.8179937808163,525934.8125,20.131805419921875,0
261.8384268932714,525953.4375,20.134851455688477,0
261.8588600054936,525941.3125,20.13399314880371,0
261.87929311747575,525970.625,20.131649017333984,0
261.89972622946516,525924.8125,20.133363723754883,0
261.9201594412152,525967.0625,20.134998321533203,0
261.94059245297103,526019.3125,20.13263702392578,0
261.96102556426194,525981.125,20.133634567260742,0
261.9814587757792,525962.0625,20.131656646728516,0
262.0018917868365,525965.0625,20.131290435791016,0
262.0223248978946,525963.375,20.133451461791992,0
262.04275790871907,525921.0625,20.132911682128906,0
262.0631911195378,525911.625,20.13580894470215,0
262.0836242301302,525940.1875,20.134971618652344,0
262.1040573404898,526022.8125,20.13255500793457,0
262.12449045084213,526000.8125,20.134403228759766,0
262.1449235609689,526027.4375,20.134916305541992,0
262.1653566710884,526030.125,20.136180877685547,8192
262.18578968098154,525945.5625,20.134796142578125,0
262.2062228906434,525889.5,20.13162612915039,0
262.2266560003045,525876.1875,20.133743286132812,0
262.24708900972473,525871.8125,20.133338928222656,0
262.26752221892093,525989.75,20.1340389251709,0
262.2879552281156,525905.25,20.136396408081055,0
262.30838833707094,525944.4375,20.13804054260254,8320
262.32882144591713,525934.1875,20.136817932128906,0
262.3492545546469,525953.25,20.135549545288086,0
262.3696876631366,525976.625,20.132617950439453,0
262.3901207715171,525952.1875,20.136791229248047,0
262.4105538797812,526003.25,20.136545181274414,0
262.43098698792164,525974.375,20.137508392333984,0
262.4514200959529,525996.4375,20.134693145751953,8192
262.47185330375214,526020.0625,20.13735580444336,0
262.49228631142614,525993.3125,20.137624740600586,0
262.51271941899176,525969.75,20.13815689086914,0
262.5331524263238,525952.375,20.136165618896484,8192
262.55358563353366,525962.6875,20.132083892822266,0
262.5740187406336,525979.6875,20.138269424438477,0
262.5944517476164,525973.25,20.137527465820312,0
262.614884954477,525925.1875,20.136629104614258,0
262.6353180611113,525962.25,20.136465072631836,0
262.6557511676292,525970.375,20.137828826904297,0
262.67618417402264,525950.0625,20.13741111755371,0
262.69661738019204,525968.1875,20.134735107421875,0
262.7170504863607,526042.4375,20.13728141784668,0
262.73748349228845,525946.75,20.13730239868164,128
262.7579166979922,525962.1875,20.135953903198242,128
262.77834980369516,526006.125,20.13960838317871,0
262.7987828091573,525975.9375,20.138545989990234,0
262.81921601451177,525962.1875,20.139440536499023,0
262.8396491197491,525925.0625,20.135364532470703,0
262.86008212486195,525926.125,20.133344650268555,0
262.88051522975,525928.5,20.13840103149414,0
262.90094843452243,525964.3125,20.139101028442383,0
262.92138143916964,525971.5625,20.140607833862305,0
262.94181454370846,525959.0625,20.13802146911621,0
262.9622477480152,525970.8125,20.13941192626953,0
262.9826808521975,525956.3125,20.140106201171875,0
263.0031138562699,525987.0625,20.13886833190918,0
263.02354696022667,525926.0,20.14031410217285,0
263.0439801640605,525863.375,20.136798858642578,0
263.0644131676672,525836.1875,20.137176513671875,0
263.0848462711583,525880.8125,20.137630462646484,0
263.10527947452647,525963.8125,20.134763717651367,0
263.12571247766755,525953.25,20.139265060424805,0
263.146145580693,525909.125,20.139883041381836,0
263.16657878359547,525966.0,20.13993263244629,0
263.1870117863873,525901.25,20.136825561523438,0
263.2074448890635,525926.125,20.136783599853516,0
263.22787799149955,525992.0,20.138601303100586,0
263.2483110938265,525954.625,20.139564514160156,0
263.268744196037,525966.75,20.136384963989258,0
263.28917729812383,525944.25,20.139511108398438,0
263.30961049998587,525927.5625,20.137033462524414,0
263.33004350172996,525900.5625,20.13905143737793,0
263.3504766033511,525884.375,20.13913917541504,0
263.3709096048624,525897.0625,20.138809204101562,0
263.39134280625876,525902.875,20.139060974121094,0
263.41177590741427,525958.25,20.137989044189453,0
263.43220900846063,525967.6875,20.141752243041992,0
263.4526421093906,525917.0625,20.136621475219727,0
263.4730752100804,525884.25,20.139394760131836,0
263.49350831077754,525928.625,20.140193939208984,0
263.51394141124183,525944.0625,20.139963150024414,0
263.5343745115824,525918.0,20.140241622924805,0
263.5548076118139,525984.5,20.14111328125,0
263.57524061181175,525957.5625,20.141633987426758,0
263.59567381168745,525944.875,20.13849639892578,0
263.61610691145324,525984.6875,20.142990112304688,0
263.63653991110186,525948.4375,20.138668060302734,0
263.6569731106283,525870.5,20.141332626342773,0
263.67740620992845,525915.5,20.140487670898438,8192
263.6978392091114,525891.1875,20.139896392822266,0
263.71827230817144,525907.25,20.139516830444336,0
263.7387054071223,525937.5625,20.139223098754883,128
263.7591385058404,525872.625,20.139379501342773,0
263.77957160455117,525933.75,20.140850067138672,0
263.80000480303715,525935.5625,20.140974044799805,0
263.8204378012888,525941.3125,20.14076042175293,0
263.8408708995339,525938.0,20.140838623046875,0
263.8613038975527,525904.75,20.13872528076172,0
263.88173709557304,525848.5625,20.139217376708984,0
263.9021701933525,525793.4375,20.13802146911621,0
263.92260319090565,525855.1875,20.14101219177246,0
263.9430363884603,525932.9375,20.141788482666016,0
263.9634694857741,525959.9375,20.141820907592773,0
