id,ra,dec,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w
2834,3.616302,-30.4565,4805.487,975.5058,1,1,0,0,0,9,7.917799,22.1707,0.7492654,2.774834,7.65744,14.90147,19.24567,,1.310007,1.30415,1.322591,0.1159955,0.0064,0.32,-0.8511451,0.2662058,0.2284665,0.05946021,0.2315981,0.3975516,0.4325695,0.2122075,0.6292487,0.09358231,0.1665063,0.6204338,0.2646339,0.1315483,0.665986,0.4996155,0.126134,0.5477959,0.4801744,0.198977,0.2180383
2877,3.612851,-30.45633,5073.21,991.0529,1,1,0,0,0,9,7.329108,3.277309,7.116744,7.22442,7.341839,7.467251,7.541704,,1.315177,1.309067,1.326899,0.1060399,0.064,0.32,-0.2665951,0.2366463,0.227423,1.482518,0.228071,0.322478,1.385173,0.2088235,0.5111654,1.391086,0.1662526,0.4895489,1.334893,0.1315929,0.5235369,1.322597,0.1348803,0.3768447,2.452188,0.2062674,0.1596078
2894,3.602882,-30.45626,5846.64,997.1097,1,1,0,0,0,9,13.93003,1.852237,0.5111864,3.178528,12.34081,14.4906,16.01925,,1.330781,1.322672,1.345622,0.138653,0.016,0.32,0.1465019,0.3082591,0.2304126,0.1909835,0.2979368,0.3248599,0.001929386,0.2770705,0.4991647,0.703694,0.2304739,0.4379192,0.7853685,0.1807233,0.4771861,0.5810175,0.1756229,0.3821217,0.4548311,0.2711371,0.1587967
2907,3.634756,-30.45621,3373.826,1000.973,1,1,0,0,0,4,13.39858,0.3412245,0.5231479,3.235046,10.36545,16.84528,19.41412,,1.275158,1.270945,1.287444,0.1060778,0.016,0.32,,,,,,,,,,,,,0.9366013,0.2972372,0.1149158,0.9474854,0.2734874,0.1026501,0.9531897,0.4166377,0.0438099
2916,3.6154,-30.45621,4875.499,1002.193,1,1,0,0,0,9,6.65687,8.046804,0.1130451,4.818129,6.613791,6.685379,6.73344,,1.310248,1.305095,1.321408,0.117849,0.0352,0.32,0.2274343,0.2568267,0.2235724,0.3830832,0.2208482,0.3982144,0.3528177,0.1992834,0.6498938,0.3537876,0.158483,0.6237814,0.6108105,0.129485,0.6260912,1.110319,0.1246911,0.5105673,0.0335901,0.1937464,0.2094654
2917,3.600029,-30.45622,6067.986,1001.339,1,1,0,0,0,9,6.150775,1.65256,0.6689368,2.534956,6.1252,6.427624,6.602357,,1.315017,1.307424,1.325537,0.641465,0.0928,0.32,2.63724,1.179886,0.2340301,4.398127,1.137461,0.3316536,3.208942,1.05991,0.5075745,4.309009,0.8593802,0.4686837,4.77532,0.6778897,0.5046744,6.546957,0.6743566,0.385654,4.497745,1.055322,0.1559776
2933,3.601008,-30.45612,5991.992,1010.18,1,1,0,0,0,9,6.667121,3.712321,0.19802,1.039792,4.642725,8.450475,14.81661,,1.318317,1.311769,1.329932,0.1034086,0.016,0.32,-0.04065659,0.2207867,0.2357204,0.3102496,0.2391043,0.2647126,0.4486552,0.2000658,0.5024396,0.298987,0.1685678,0.4296283,0.458464,0.1236844,0.5346767,0.5322952,0.1248109,0.3970671,0.2211514,0.1954642,0.1603576
2975,3.611832,-30.45598,5152.299,1022.566,1,1,0,0,0,9,6.666092,1.86849,0.1154728,0.9852549,4.416763,6.625227,10.84444,,1.31696,1.30936,1.330327,0.1303691,0.032,0.32,0.15335,0.2746171,0.2282565,0.6473952,0.2655268,0.3215643,0.2624577,0.2448493,0.5025356,0.6214735,0.1933904,0.4889985,0.6486494,0.1621783,0.4658765,0.9940914,0.1587908,0.3674964,0.5329944,0.2512285,0.1454192
2978,3.599965,-30.45597,6072.907,1024.078,1,1,0,0,0,9,6.691258,0.9170389,0.09055626,1.027757,4.682926,6.648584,8.224389,,1.318566,1.312054,1.332553,0.1884911,0.016,0.32,0.4563615,0.4427886,0.2328846,0.8617257,0.4237875,0.3348448,0.6543041,0.3975867,0.5055409,0.7675175,0.3219543,0.4679984,0.8061172,0.2577263,0.4893215,1.333467,0.2598415,0.3640344,0.436362,0.4033274,0.1496578
3017,3.602602,-30.45576,5868.393,1042.609,1,1,0,0,0,9,6.148458,8.06861,0.1032625,1.163976,4.325499,6.455785,11.10775,,1.320314,1.312255,1.331344,0.09597086,0.0224,0.32,0.2754643,0.2286443,0.2317952,0.3120416,0.2296781,0.3025464,0.4110164,0.2054872,0.5022752,0.5349498,0.1658103,0.4682751,0.4449629,0.1353503,0.4708523,0.6077614,0.1438277,0.3153304,0.3778748,0.2159376,0.1385637
