fit_end_tjd,alpha,first_light_mjd
1348,1.3714446427322198,58341.73851432338
1349,1.6596771813183382,58341.38849287646
1350,1.5408066606952513,58341.57317258194
1351,1.480413852949022,58341.67586948196
1352,1.4945070387359736,58341.64672866169
1353,1.5448385468952648,58341.536229968144
