line_mask_half_width_A,slope
15,-3.7135106147217916
20,-3.714704177871209
25,-3.714879601743811
30,-3.7151316059141233
35,-3.715818446213219
40,-3.7155198326547523
45,-3.7160536553164243
50,-3.7155920850435376
55,-3.7161912120963225
60,-3.716737672686117
