filter,unit,p01,median,p997,mapping
F150W,MJy/sr,-0.02474209604784846,0.30851098895072937,18.161467262267486,blue
F200W,MJy/sr,0.0053499133932808935,0.26478289836564384,25.44387340384558,green
F444W,MJy/sr,-0.04346904117614127,0.03212196200813365,26.5662672797521,red
