RA,DEC,f555w,f555w_err,f435w,f435w_err,f475w,f475w_err,f606w,f606w_err,f814w,f814w_err
6.058304472363391,-72.11002473234366,22.03913697234618,0.07755874764709618,22.54565745743144,0.09792734425120146,22.440119952529493,0.10762827705359145,21.233349541143873,0.03764465058491756,20.599761839511963,0.024046730379186674
6.050802616995725,-72.10957198242406,21.587897237762288,0.008272034516023853,23.16354323675661,0.02804456044063655,22.637619674107732,0.013206117423772437,21.6257919695662,0.0079774569972063,20.887603645771954,0.010204238493985997
6.044611667159735,-72.1006097256967,22.677539829984408,0.07943488691708553,23.814971400294212,0.13023648571187174,23.104667526081457,0.08309493735529955,22.052489517526645,0.051903639066318084,21.199928260191577,0.039002627216331416
6.098371285656006,-72.09824998724935,21.674230037721674,0.0204246401429384,22.710537961521744,0.02091916730556603,22.231354364643366,0.010317775529871943,21.295104610114507,0.017155129294585677,20.64174810365536,0.01269387875628195
6.0825354117400705,-72.09468496649431,21.38265994602605,0.009295038820344903,22.336254932247208,0.013351933088800828,21.958883277724347,0.007471581880030594,21.05762468528529,0.00615318793458768,20.44507957193818,0.006605819223116775
6.100702172972179,-72.094358980512,21.50356066074602,0.006530913316283741,22.485527604533345,0.010559032972332941,22.01869018331704,0.005699012953653823,21.14752774329692,0.004321370896759126,20.53405531688523,0.0033736373148906085
5.985059176196808,-72.09354877881678,18.690958278624873,0.0074714221838137395,19.126938201115138,0.004396800787682977,18.874972128499365,0.005664676263331095,18.5032142249022,0.005508150692184801,18.369602188199742,0.007183283305644666
6.087069559648118,-72.09340887746555,22.015098734447225,0.02457283711879122,23.3453703983,0.06851475694141519,22.81645812098784,0.045209076702464115,21.75597469678815,0.0235648505938735,20.932219687381803,0.025667095886150383
5.947840763116466,-72.09332722924262,22.17957246076698,0.054124987991534895,23.007770211691735,0.06453135050632783,22.79065513185885,0.06981885440950177,21.73234543326697,0.041688725895409375,20.85990249551702,0.03496882459772503
6.056353304417159,-72.09330592778275,20.800658089140523,0.009359347403414105,21.61495590826584,0.0169917362113321,21.23155549102342,0.010705930902087699,20.50073143396431,0.010683235782615022,20.039146885135935,0.014447152522257685
6.000334497677674,-72.09240970125553,20.718887633368457,0.028166225545057193,21.496780685331316,0.037591383599596094,21.160616471208705,0.03402635286817796,20.48593667818733,0.023549421524466534,20.045156566046792,0.026215588256774988
6.07039145013171,-72.09186454693166,18.780941573992752,0.0046052519032416415,19.241990866649743,0.003965686935677384,19.008170188743364,0.004286517293331865,18.649974272661574,0.00402015654774057,18.489617501611193,0.0039705867975919126
6.064886967686496,-72.09155834141525,22.634365419470893,0.05669371389405612,23.859806869311853,0.08930968968885658,23.193885228773745,0.06141899376029704,22.050689398522834,0.03810875670201504,21.34629167673733,0.03595733527779748
6.0526873261056275,-72.09148416813996,20.708806769575435,0.023362176858425007,21.592717321176707,0.01986429196805757,21.13240445035897,0.020898162644553523,20.432234563470963,0.021281916012074523,19.96155923385826,0.02557460965289753
6.011989456261535,-72.09090137977242,19.200377435232316,0.02159774714151386,19.706524242230458,0.019338611373347477,19.435897559205067,0.016548359252618376,19.016809709292644,0.013678868703128785,18.779106479019518,0.047129057277715235
6.092926620134687,-72.09066853640171,22.132447335690873,0.027933255087565764,23.328907934977103,0.05473390563148771,22.742290236950986,0.037589422747020665,21.642924670116876,0.020419488966740517,20.762343620511153,0.025550984176537818
6.037388007608927,-72.0900830434154,20.40054432113222,0.029736488155565573,21.066340474545868,0.038170765780225324,20.753861587775972,0.031358914017606675,20.18898041401293,0.026253937543602446,19.775114690171478,0.0457315453010517
6.067345509992647,-72.08970490960684,22.36714756323308,0.036253214359106715,23.350826593605454,0.060495845491882604,22.95437994593283,0.05027864434876781,21.83118466422122,0.025348138304109907,21.067884739784382,0.019161064091053767
6.033397795150018,-72.08968408832725,17.814065232904095,0.006107877700188624,18.173447330724166,0.006502637521167109,17.997878968320776,0.006678304508802422,17.657164842140283,0.007026171446217329,17.562257682757817,0.009239667096392915
5.971611646326166,-72.08945121124282,19.850621821601397,0.003518511088208129,20.507186932003393,0.004852052658546836,20.16051030172968,0.004154258803622711,19.663389178673704,0.004049463102567138,19.365415891011786,0.004757022772933623
6.072961318041686,-72.08915437092023,19.69009896754108,0.0047170749265536245,20.30492006161552,0.006721177236157556,19.96809529984953,0.005857733142742959,19.501533452478427,0.004328378749775542,19.238394059016485,0.00878890843444398
6.117124326589762,-72.08911181933873,22.548359337439106,0.09550729437830756,24.132199616029496,0.20784707168050462,23.26230841581671,0.13247745448255693,21.939576834381306,0.05804692817779356,21.067732662282275,0.04980245761177833
6.068478305872524,-72.08903473147689,22.615630331509973,0.06524730456267185,24.1526987556228,0.18915620968932162,23.45473062793109,0.10595540487633284,22.07829505350633,0.044355493457502275,21.16997250180276,0.042809704346574454
6.099835735017586,-72.0889290462799,21.813821014341595,0.011858782615066375,22.883409915705364,0.02167577711531079,22.407655040968493,0.00976619281718298,21.406451575005093,0.00718574893713126,20.735780608496476,0.005857880552544901
6.048661896415275,-72.08890105783068,18.031507206703413,0.003983773946606399,18.452678646344012,0.0035144841412303174,18.245929586475846,0.0031884263608474308,17.924241640584114,0.0035990570443516843,17.775407651202976,0.0046648147172526295
5.963367229750438,-72.08870870898718,19.38273063493452,0.0030519613741515875,19.94862010093719,0.0028147076978256884,19.664034515574897,0.002678464276097678,19.217894442121207,0.0028477423975208265,19.001273753995243,0.0035732645936092534
6.0567888870196445,-72.08851894409759,19.949900288767697,0.02787188523090316,20.600716030956065,0.028824502515915465,20.29122566358882,0.021905353122622546,19.70166395394203,0.018802500433838368,19.39103212161001,0.030861789940630296
6.024100501638363,-72.08831973060995,18.864940167902308,0.026580769222733742,19.421102062668716,0.028971001500524708,19.143947676302247,0.011708001249944719,18.69669418159897,0.027653771802889558,18.50210783936295,0.03669358287833843
6.061766327812368,-72.08822109919205,21.132688107824738,0.02795420267101174,21.985266362440584,0.02682662990980685,21.520237056227145,0.022023779791907477,20.775220081771394,0.018328305988067378,20.250640984940986,0.03219618937364054
